model,seed,best_epoch,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,model_file,meta_file,report_file
TCN,42,66,0.846963846963847,0.902070902070902,0.922330097087379,0.769230769230769,0.599815773411722,0.817807089859852,0.946341463414634,0.857442348008386,0.826636050516648,0.905357142857143,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_transition_rich_v3_seed42_staged.mat,E:\Matlab\Simulink\S-Function_16\data\models\TCN_meta_transition_rich_v3_seed42_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\transition_rich_v3_seed42\tcn_staged\TCN_train_report.md
GRU,42,16,0.942084942084942,0.883116883116883,0.909385113268608,0.710875331564987,0.409232363554221,0.915086562242374,0.917073170731707,0.968553459119497,0.96211251435132,0.978571428571429,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_transition_rich_v3_seed42_h96_l2_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_transition_rich_v3_seed42_h96_l2_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\transition_rich_v3_seed42\gru_h96_l2_inputstats\GRU_train_report.md
