step,time_s,theta_hat_rad,theta_hat_deg,label_main,label_turn,conf_main,truth_main,truth_turn,theta_truth_rad
125,1.24,0,0,1,0,1,1,0,0
126,1.25,0,0,1,0,1,1,0,0
127,1.26,0,0,1,0,1,1,0,0
128,1.27,0,0,1,0,1,1,0,0
129,1.28,0,0,1,0,1,1,0,0
130,1.29,0,0,1,0,1,1,0,0
131,1.3,0,0,1,0,1,1,0,0
132,1.31,0,0,1,0,1,1,0,0
133,1.32,0,0,1,0,1,1,0,0
134,1.33,0,0,1,0,1,1,0,0
135,1.34,0,0,1,0,1,1,0,0
136,1.35,0,0,1,0,1,1,0,0
137,1.36,0,0,1,0,1,1,0,0
138,1.37,0,0,1,0,1,1,0,0
139,1.38,0,0,1,0,1,1,0,0
140,1.39,0,0,1,0,1,1,0,0
141,1.4,0,0,1,0,1,1,0,0
142,1.41,0,0,1,0,1,1,0,0
143,1.42,0,0,1,0,1,1,0,0
144,1.43,0,0,1,0,1,1,0,0
145,1.44,0,0,1,0,1,1,0,0
146,1.45,0,0,1,0,1,1,0,0
147,1.46,0,0,1,0,1,1,0,0
148,1.47,0,0,1,0,1,1,0,0
149,1.48,0,0,1,0,1,1,0,0
150,1.49,0,0,1,0,1,1,0,0
151,1.5,0,0,1,0,1,1,0,0
152,1.51,0,0,1,0,1,1,0,0
153,1.52,0,0,1,0,1,1,0,0
154,1.53,0,0,1,0,1,1,0,0
155,1.54,0,0,1,0,1,1,0,0
156,1.55,0,0,1,0,1,1,0,0
157,1.56,0,0,1,0,1,1,0,0
158,1.57,0,0,1,0,1,1,0,0
159,1.58,0,0,1,0,1,1,0,0
160,1.59,0,0,1,0,1,1,0,0
161,1.6,0,0,1,0,1,1,0,0
162,1.61,0,0,1,0,1,1,0,0
163,1.62,0,0,1,0,1,1,0,0
164,1.63,0,0,1,0,1,1,0,0
165,1.64,0,0,1,0,1,1,0,0
166,1.65,0,0,1,0,1,1,0,0
167,1.66,0,0,1,0,1,1,0,0
168,1.67,0,0,1,0,1,1,0,0
169,1.68,0,0,1,0,1,1,0,0
170,1.69,0,0,1,0,1,1,0,0
171,1.7,0,0,1,0,1,1,0,0
172,1.71,0,0,1,0,1,1,0,0
173,1.72,0,0,1,0,1,1,0,0
174,1.73,0,0,1,0,1,1,0,0
175,1.74,0,0,1,0,1,1,0,0
176,1.75,0,0,1,0,1,1,0,0
177,1.76,0,0,1,0,1,1,0,0
178,1.77,0,0,1,0,1,1,0,0
179,1.78,0,0,1,0,1,1,0,0
180,1.79,0,0,1,0,1,1,0,0
181,1.8,0,0,1,0,1,1,0,0
182,1.81,0,0,1,0,1,1,0,0
183,1.82,0,0,1,0,1,1,0,0
184,1.83,0,0,1,0,1,1,0,0
185,1.84,0,0,1,0,1,1,0,0
186,1.85,0,0,1,0,1,1,0,0
187,1.86,0,0,1,0,1,1,0,0
188,1.87,0,0,1,0,1,1,0,0
189,1.88,0,0,1,0,1,1,0,0
190,1.89,0,0,1,0,1,1,0,0
191,1.9,0,0,1,0,1,1,0,0
192,1.91,0,0,1,0,1,1,0,0
193,1.92,0,0,1,0,1,1,0,0
194,1.93,0,0,1,0,1,1,0,0
195,1.94,0,0,1,0,1,1,0,0
196,1.95,0,0,1,0,1,1,0,0
197,1.96,0,0,1,0,1,1,0,0
198,1.97,0,0,1,0,1,1,0,0
199,1.98,0,0,1,0,1,1,0,0
200,1.99,0,0,1,0,1,1,0,0
201,2,0,0,1,0,1,1,0,0
202,2.01,0,0,1,0,1,1,0,0
203,2.02,0,0,1,0,1,1,0,0
204,2.03,0,0,1,0,1,1,0,0
205,2.04,0,0,1,0,1,1,0,0
206,2.05,0,0,1,0,1,1,0,0
207,2.06,0,0,1,0,1,1,0,0
208,2.07,0,0,1,0,1,1,0,0
209,2.08,0,0,1,0,1,1,0,0
210,2.09,0,0,1,0,1,1,0,0
211,2.1,0,0,1,0,1,1,0,0
212,2.11,0,0,1,0,1,1,0,0
213,2.12,0,0,1,0,1,1,0,0
214,2.13,0,0,1,0,1,1,0,0
215,2.14,0,0,1,0,1,1,0,0
216,2.15,0,0,1,0,1,1,0,0
217,2.16,0,0,1,0,1,1,0,0
218,2.17,0,0,1,0,1,1,0,0
219,2.18,0,0,1,0,1,1,0,0
220,2.19,0,0,1,0,1,1,0,0
221,2.2,0,0,1,0,1,1,0,0
222,2.21,0,0,1,0,1,1,0,0
223,2.22,0,0,1,0,1,1,0,0
224,2.23,0,0,1,0,1,1,0,0
225,2.24,0,0,1,0,1,1,0,0
226,2.25,0,0,1,0,1,1,0,0
227,2.26,0,0,1,0,1,1,0,0
228,2.27,0,0,1,0,0.99999988079071,1,0,0
229,2.28,0,0,1,0,0.99999988079071,1,0,0
230,2.29,0,0,1,0,0.99999988079071,1,0,0
231,2.3,0,0,1,0,0.99999988079071,1,0,0
232,2.31,0,0,1,0,0.99999988079071,1,0,0
233,2.32,0,0,1,0,0.99999988079071,1,0,0
234,2.33,0,0,1,0,0.99999988079071,1,0,0
235,2.34,0,0,1,0,0.99999988079071,1,0,0
236,2.35,0,0,1,0,0.99999988079071,1,0,0
237,2.36,0,0,1,0,0.99999988079071,1,0,0
238,2.37,0,0,1,0,0.99999988079071,1,0,0
239,2.38,0,0,1,0,0.99999988079071,1,0,0
240,2.39,0,0,1,0,0.99999988079071,1,0,0
241,2.4,0,0,1,0,0.99999988079071,1,0,0
242,2.41,0,0,1,0,0.99999988079071,1,0,0
243,2.42,0,0,1,0,0.99999988079071,1,0,0
244,2.43,0,0,1,0,0.99999988079071,1,0,0
245,2.44,0,0,1,0,0.99999988079071,1,0,0
246,2.45,0,0,1,0,0.99999988079071,1,0,0
247,2.46,0,0,1,0,0.99999988079071,1,0,0
248,2.47,0,0,1,0,0.99999988079071,1,0,0
249,2.48,0,0,1,0,0.99999988079071,1,0,0
250,2.49,0,0,1,0,0.99999988079071,1,0,0
251,2.5,0,0,1,0,0.99999988079071,1,0,0
252,2.51,0,0,1,0,0.99999988079071,1,0,0
253,2.52,0,0,1,0,0.99999988079071,1,0,0
254,2.53,0,0,1,0,0.99999988079071,1,0,0
255,2.54,0,0,1,0,0.99999988079071,1,0,0
256,2.55,0,0,1,0,0.99999988079071,1,0,0
257,2.56,0,0,1,0,0.99999988079071,1,0,0
258,2.57,0,0,1,0,0.99999988079071,1,0,0
259,2.58,0,0,1,0,0.99999988079071,1,0,0
260,2.59,0,0,1,0,0.99999988079071,1,0,0
261,2.6,0,0,1,0,0.99999988079071,1,0,0
262,2.61,0,0,1,0,0.99999988079071,1,0,0
263,2.62,0,0,1,0,0.99999988079071,1,0,0
264,2.63,0,0,1,0,0.99999988079071,1,0,0
265,2.64,0,0,1,0,0.99999988079071,1,0,0
266,2.65,0,0,1,0,0.99999988079071,1,0,0
267,2.66,0,0,1,0,0.99999988079071,1,0,0
268,2.67,0,0,1,0,0.99999988079071,1,0,0
269,2.68,0,0,1,0,0.99999988079071,1,0,0
270,2.69,0,0,1,0,0.99999988079071,1,0,0
271,2.7,0,0,1,0,0.99999988079071,1,0,0
272,2.71,0,0,1,0,0.99999988079071,1,0,0
273,2.72,0,0,1,0,0.99999988079071,1,0,0
274,2.73,0,0,1,0,0.99999988079071,1,0,0
275,2.74,0,0,1,0,0.99999988079071,1,0,0
276,2.75,0,0,1,0,0.99999988079071,1,0,0
277,2.76,0,0,1,0,0.99999988079071,1,0,0
278,2.77,0,0,1,0,0.99999988079071,1,0,0
279,2.78,0,0,1,0,0.99999988079071,1,0,0
280,2.79,0,0,1,0,0.99999988079071,1,0,0
281,2.8,0,0,1,0,0.99999988079071,1,0,0
282,2.81,0,0,1,0,0.99999988079071,1,0,0
283,2.82,0,0,1,0,0.99999988079071,1,0,0
284,2.83,0,0,1,0,0.99999988079071,1,0,0
285,2.84,0,0,1,0,0.99999988079071,1,0,0
286,2.85,0,0,1,0,0.99999988079071,1,0,0
287,2.86,0,0,1,0,0.99999988079071,1,0,0
288,2.87,0,0,1,0,0.99999988079071,1,0,0
289,2.88,0,0,1,0,0.99999988079071,1,0,0
290,2.89,0,0,1,0,0.99999988079071,1,0,0
291,2.9,0,0,1,0,0.99999988079071,1,0,0
292,2.91,0,0,1,0,0.99999988079071,1,0,0
293,2.92,0,0,1,0,0.99999988079071,1,0,0
294,2.93,0,0,1,0,0.99999988079071,1,0,0
295,2.94,0,0,1,0,0.99999988079071,1,0,0
296,2.95,0,0,1,0,0.99999988079071,1,0,0
297,2.96,0,0,1,0,0.99999988079071,1,0,0
298,2.97,0,0,1,0,0.99999988079071,1,0,0
299,2.98,0,0,1,0,0.99999988079071,1,0,0
300,2.99,0,0,1,0,0.99999988079071,1,0,0
301,3,0,0,1,0,0.99999988079071,1,0,0
302,3.01,0,0,1,0,0.99999988079071,1,0,0
303,3.02,0,0,1,0,0.99999988079071,1,0,0
304,3.03,0,0,1,0,0.99999988079071,1,0,0
305,3.04,0,0,1,0,0.99999988079071,1,0,0
306,3.05,0,0,1,0,0.99999988079071,1,0,0
307,3.06,0,0,1,0,0.99999988079071,1,0,0
308,3.07,0,0,1,0,0.99999988079071,1,0,0
309,3.08,0,0,1,0,0.99999988079071,1,0,0
310,3.09,0,0,1,0,0.99999988079071,1,0,0
311,3.1,0,0,1,0,0.99999988079071,1,0,0
312,3.11,0,0,1,0,0.99999988079071,1,0,0
313,3.12,0,0,1,0,0.99999988079071,1,0,0
314,3.13,0,0,1,0,0.99999988079071,1,0,0
315,3.14,0,0,1,0,1,1,0,0
316,3.15,0,0,1,0,1,1,0,0
317,3.16,0,0,1,0,1,1,0,0
318,3.17,0,0,1,0,1,1,0,0
319,3.18,0,0,1,0,1,1,0,0
320,3.19,0,0,1,0,1,1,0,0
321,3.2,0,0,1,0,1,1,0,0
322,3.21,0,0,1,0,1,1,0,0
323,3.22,0,0,1,0,1,1,0,0
324,3.23,0,0,1,0,1,1,0,0
325,3.24,0,0,1,0,1,1,0,0
326,3.25,0,0,1,0,1,1,0,0
327,3.26,0,0,1,0,1,1,0,0
328,3.27,0,0,1,0,1,1,0,0
329,3.28,0,0,1,0,1,1,0,0
330,3.29,0,0,1,0,1,1,0,0
331,3.3,0,0,1,0,1,1,0,0
332,3.31,0,0,1,0,1,1,0,0
333,3.32,0,0,1,0,1,1,0,0
334,3.33,0,0,1,0,1,1,0,0
335,3.34,0,0,1,0,1,1,0,0
336,3.35,0,0,1,0,1,1,0,0
337,3.36,0,0,1,0,1,1,0,0
338,3.37,0,0,1,0,1,1,0,0
339,3.38,0,0,1,0,1,1,0,0
340,3.39,0,0,1,0,1,1,0,0
341,3.4,0,0,1,0,1,1,0,0
342,3.41,0,0,1,0,1,1,0,0
343,3.42,0,0,1,0,1,1,0,0
344,3.43,0,0,1,0,1,1,0,0
345,3.44,0,0,1,0,1,1,0,0
346,3.45,0,0,1,0,1,1,1,0
347,3.46,0,0,1,0,1,1,1,0
348,3.47,0,0,1,0,1,1,1,0
349,3.48,0,0,1,0,1,1,1,0
350,3.49,0,0,1,0,1,1,1,0
351,3.5,0,0,1,0,1,1,1,0
352,3.51,0,0,1,0,1,1,1,0
353,3.52,0,0,1,0,1,1,1,0
354,3.53,0,0,1,0,1,1,1,0
355,3.54,0,0,1,0,1,1,1,0
356,3.55,0,0,1,0,1,1,1,0
357,3.56,0,0,1,0,1,1,1,0
358,3.57,0,0,1,0,1,1,1,0
359,3.58,0,0,1,0,1,1,1,0
360,3.59,0,0,1,0,1,1,1,0
361,3.6,0,0,1,0,1,1,1,0
362,3.61,0,0,1,0,1,1,1,0
363,3.62,0,0,1,0,0.99999988079071,1,1,0
364,3.63,0,0,1,0,0.99999988079071,1,1,0
365,3.64,0,0,1,0,0.99999988079071,1,1,0
366,3.65,0,0,1,0,0.99999988079071,1,1,0
367,3.66,0,0,1,0,0.99999988079071,1,1,0
368,3.67,0,0,1,0,0.999999761581421,1,1,0
369,3.68,0,0,1,0,0.999999761581421,1,1,0
370,3.69,0,0,1,0,0.999999642372131,1,1,0
371,3.7,0,0,1,0,0.999999523162842,1,1,0
372,3.71,0,0,1,0,0.999999403953552,1,1,0
373,3.72,0,0,1,0,0.999999284744263,1,1,0
374,3.73,0,0,1,0,0.999998927116394,1,1,0
375,3.74,0,0,1,0,0.999998450279236,1,1,0
376,3.75,0,0,1,0,0.999997973442078,1,1,0
377,3.76,0,0,1,0,0.999997138977051,1,1,0
378,3.77,0,0,1,0,0.999996185302734,1,1,0
379,3.78,0,0,1,0,0.99999463558197,1,1,0
380,3.79,0,0,1,0,0.999992847442627,1,1,0
381,3.8,0,0,1,0,0.999990582466125,1,1,0
382,3.81,0,0,1,0,0.999987721443176,1,1,0
383,3.82,0,0,1,0,0.999984860420227,1,1,0
384,3.83,0,0,1,0,0.999982237815857,1,1,0
385,3.84,0,0,1,0,0.999979615211487,1,1,0
386,3.85,0,0,1,0,0.999976992607117,1,1,0
387,3.86,0,0,1,0,0.999973177909851,1,1,0
388,3.87,0,0,1,0,0.999969601631165,1,1,0
389,3.88,0,0,1,0,0.999967098236084,1,1,0
390,3.89,0,0,1,0,0.999965786933899,1,1,0
391,3.9,0,0,1,0,0.999965071678162,1,1,0
392,3.91,0,0,1,0,0.999964356422424,1,1,0
393,3.92,0,0,1,0,0.999964475631714,1,1,0
394,3.93,0,0,1,0,0.999963998794556,1,1,0
395,3.94,0,0,1,0,0.999962568283081,1,1,0
396,3.95,0,0,1,0,0.99996030330658,1,1,0
397,3.96,0,0,1,0,0.999958515167236,1,1,0
398,3.97,0,0,1,0,0.999957084655762,1,1,0
399,3.98,0,0,1,0,0.999956011772156,1,1,0
400,3.99,0,0,1,0,0.999955534934998,1,1,0
401,4,0,0,1,0,0.999956130981445,1,1,0
402,4.01,0,0,1,0,0.999956250190735,1,1,0
403,4.02,0,0,1,0,0.999958038330078,1,1,0
404,4.03,0,0,1,0,0.999959230422974,1,1,0
405,4.04,0,0,1,0,0.999959826469421,1,1,0
406,4.05,0,0,1,0,0.999961972236633,1,1,0
407,4.06,0,0,1,0,0.999964594841003,1,1,0
408,4.07,0,0,1,1,0.999968767166138,1,1,0
409,4.08,0,0,1,1,0.999973654747009,1,1,0
410,4.09,0,0,1,1,0.999977588653564,1,1,0
411,4.1,0,0,1,1,0.999981284141541,1,1,0
412,4.11,0,0,1,1,0.9999840259552,1,1,0
413,4.12,0,0,1,1,0.999986886978149,1,1,0
414,4.13,0,0,1,1,0.999989032745361,1,1,0
415,4.14,0,0,1,1,0.999990582466125,1,1,0
416,4.15,0,0,1,1,0.999991893768311,1,1,0
417,4.16,0,0,1,1,0.999992847442627,1,1,0
418,4.17,0,0,1,1,0.999993801116943,1,1,0
419,4.18,0,0,1,1,0.99999475479126,1,1,0
420,4.19,0,0,1,1,0.999995231628418,1,1,0
421,4.2,0,0,1,1,0.999995827674866,1,1,0
422,4.21,0,0,1,1,0.999996304512024,1,1,0
423,4.22,0,0,1,1,0.999996662139893,1,1,0
424,4.23,0,0,1,1,0.999996900558472,1,1,0
425,4.24,0,0,1,1,0.999997138977051,1,1,0
426,4.25,0,0,1,1,0.999997496604919,1,1,0
427,4.26,0,0,1,1,0.999997615814209,1,1,0
