t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
8.8,1,0,0.0063877934589982,0.999951362609863,1.24452270711117e-09,4.86752978758886e-05,1.54155355147623e-10,0.999999284744263,7.04704632426001e-07,0.999951362609863,0.999999284744263,0,0,0
9,1,0,0.00562188122421503,0.999908208847046,2.7298916460694e-09,9.18308724067174e-05,6.21923790244949e-10,0.999998569488525,1.45977446663892e-06,0.999908208847046,0.999998569488525,0,0,0
9.2,1,0,0.00433721859008074,0.999819457530975,6.54101039998523e-09,0.000180554881808348,2.68526090252408e-09,0.999997138977051,2.86750082523213e-06,0.999819457530975,0.999997138977051,0,0,0
9.4,1,0,0.00250219646841288,0.9995978474617,1.70080092232183e-08,0.0004021996865049,1.18546363836458e-08,0.999994874000549,5.11576763528865e-06,0.9995978474617,0.999994874000549,0,0,0
9.6,1,0,0.000629552640020847,0.998994529247284,4.49925110501681e-08,0.00100541394203901,5.46826584013616e-08,0.999990940093994,9.02121064427774e-06,0.998994529247284,0.999990940093994,0,0,0
9.8,1,0,-0.000854226760566235,0.997436225414276,1.10461542135454e-07,0.0025636306963861,2.57614203746925e-07,0.999985575675964,1.41831069413456e-05,0.997436225414276,0.999985575675964,0,0,0
10,1,0,-0.00190118607133627,0.994229674339294,2.64599037791413e-07,0.00577005697414279,1.24751556995761e-06,0.999977111816406,2.16432272281963e-05,0.994229674339294,0.999977111816406,0,0,0
10.2,1,0,-0.00296524073928595,0.988152801990509,6.01892679696903e-07,0.0118465693667531,6.28887755738106e-06,0.999958515167236,3.51849921571556e-05,0.988152801990509,0.999958515167236,0,0,0
10.4,1,0,-0.00371499825268984,0.976925492286682,1.20654078727966e-06,0.023073373362422,2.87258553726133e-05,0.999916195869446,5.50533441128209e-05,0.976925492286682,0.999916195869446,0,0,0
10.6,1,0,-0.00429313909262419,0.957952618598938,2.15161412597809e-06,0.0420452505350113,0.00011005497071892,0.99982362985611,6.63954124320298e-05,0.957952618598938,0.99982362985611,0,0,0
10.8,1,0,-0.00437059160321951,0.939778327941895,3.25882410834311e-06,0.0602183826267719,0.000355368247255683,0.999573528766632,7.11934189894237e-05,0.939778327941895,0.999573528766632,0,0,0
11,1,0,-0.0042311092838645,0.926270842552185,4.57312944490695e-06,0.0737246125936508,0.00099576881621033,0.998924314975739,7.989884034032e-05,0.926270842552185,0.998924314975739,0,0,0
11.2,1,0,-0.00445763673633337,0.91408509016037,6.19385309619247e-06,0.0859086960554123,0.00218053883872926,0.997742414474487,7.70423648646101e-05,0.91408509016037,0.997742414474487,0,0,0
11.4,1,0,-0.0045971991494298,0.93268096446991,7.37154732632916e-06,0.0673117339611053,0.00399176869541407,0.995933353900909,7.48649763409048e-05,0.93268096446991,0.995933353900909,0,0,0
11.6,1,0,-0.00513692107051611,0.958144068717957,7.75965236243792e-06,0.0418481528759003,0.00633842824026942,0.993590354919434,7.11396423866972e-05,0.958144068717957,0.993590354919434,0,0,0
11.8,1,0,-0.00537282880395651,0.973898470401764,7.60019020162872e-06,0.026093989610672,0.00915730278939009,0.99077296257019,6.97629802743904e-05,0.973898470401764,0.99077296257019,0,0,0
12,1,0,-0.00543229561299086,0.98324179649353,7.21816149962251e-06,0.0167509894818068,0.012592788785696,0.987337410449982,6.9825655373279e-05,0.98324179649353,0.987337410449982,0,0,0
