case_name,neg_weight,downhill_weight,lambda_turn,turn_weight_method,best_epoch,score,acc_main,acc_turn,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,model_file,report_file
neg2p0_down0p15_turn0p45_sqrt_inverse,2,0.15,0.45,sqrt_inverse,64,0.188575041189966,0.939325842696629,0.784269662921348,1.35483734721422,0.969811320754717,0.777777777777778,0.907407407407407,0.924812030075188,0.827586206896552,0.0113207547169811,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p15_turn0p45_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p15_turn0p45_sqrt_inverse\TCN_train_report.md
neg4p0_down0p15_turn0p10_sqrt_inverse,4,0.15,0.1,sqrt_inverse,65,0.188764865307289,0.925842696629213,0.784269662921348,0.92816467582039,0.947169811320755,0.777777777777778,0.907407407407407,0.924812030075188,0.827586206896552,0.030188679245283,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p15_turn0p10_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p15_turn0p10_sqrt_inverse\TCN_train_report.md
neg4p0_down0p15_turn0p60_none,4,0.15,0.6,none,64,0.192977660029745,0.932584269662921,0.8,1.37660517139929,0.962264150943396,0.777777777777778,0.901234567901235,0.917293233082707,0.827586206896552,0.0188679245283019,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p15_turn0p60_none.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p15_turn0p60_none\TCN_train_report.md
neg2p0_down0p15_turn0p10_sqrt_inverse,2,0.15,0.1,sqrt_inverse,44,0.193586515049279,0.921348314606742,0.78876404494382,0.988922158505201,0.950943396226415,0.777777777777778,0.888888888888889,0.902255639097744,0.827586206896552,0.0264150943396226,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p15_turn0p10_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p15_turn0p10_sqrt_inverse\TCN_train_report.md
neg4p0_down0p15_turn0p45_none,4,0.15,0.45,none,64,0.193806333165611,0.921348314606742,0.793258426966292,1.02812547658203,0.950943396226415,0.777777777777778,0.888888888888889,0.902255639097744,0.827586206896552,0.0264150943396226,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p15_turn0p45_none.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p15_turn0p45_none\TCN_train_report.md
neg4p0_down0p15_turn0p30_sqrt_inverse,4,0.15,0.3,sqrt_inverse,64,0.195295319997531,0.930337078651685,0.786516853932584,1.23950745075083,0.950943396226415,0.777777777777778,0.91358024691358,0.932330827067669,0.827586206896552,0.0264150943396226,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg4p0_down0p15_turn0p30_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg4p0_down0p15_turn0p30_sqrt_inverse\TCN_train_report.md
neg2p0_down0p25_turn0p45_none,2,0.25,0.45,none,68,0.196444338130344,0.937078651685393,0.793258426966292,1.56280572577986,0.966037735849057,0.777777777777778,0.907407407407407,0.924812030075188,0.827586206896552,0.0113207547169811,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p25_turn0p45_none.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p25_turn0p45_none\TCN_train_report.md
neg2p0_down0p25_turn0p10_sqrt_inverse,2,0.25,0.1,sqrt_inverse,70,0.197468814774223,0.919101123595506,0.786516853932584,0.994078019235324,0.939622641509434,0.777777777777778,0.901234567901235,0.917293233082707,0.827586206896552,0.030188679245283,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p25_turn0p10_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p25_turn0p10_sqrt_inverse\TCN_train_report.md
neg2p0_down0p25_turn0p10_none,2,0.25,0.1,none,61,0.199254503499359,0.928089887640449,0.791011235955056,1.39148682629737,0.962264150943396,0.777777777777778,0.888888888888889,0.902255639097744,0.827586206896552,0.0113207547169811,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p25_turn0p10_none.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p25_turn0p10_none\TCN_train_report.md
neg2p0_down0p15_turn0p30_sqrt_inverse,2,0.15,0.3,sqrt_inverse,48,0.199754378352419,0.930337078651685,0.784269662921348,1.39073375062366,0.962264150943396,0.777777777777778,0.895061728395062,0.909774436090226,0.827586206896552,0.0150943396226415,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p15_turn0p30_sqrt_inverse.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p15_turn0p30_sqrt_inverse\TCN_train_report.md
neg2p0_down0p25_turn0p30_none,2,0.25,0.3,none,49,0.205995340294893,0.921348314606742,0.795505617977528,1.48007218661761,0.939622641509434,0.777777777777778,0.907407407407407,0.917293233082707,0.862068965517241,0.0339622641509434,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_neg2p0_down0p25_turn0p30_none.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\sweeps\20260425_134313\neg2p0_down0p25_turn0p30_none\TCN_train_report.md
