epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_base,train_loss_turn_base,train_loss_theta_base,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,train_loss_transition_focal_raw,train_loss_transition_focal_weighted,train_loss_stall_focal_raw,train_loss_stall_focal_weighted,train_loss_theta_smooth,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_base,val_loss_turn_base,val_loss_theta_base,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_loss_transition_focal_raw,val_loss_transition_focal_weighted,val_loss_stall_focal_raw,val_loss_stall_focal_weighted,val_loss_theta_smooth,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,val_flat_as_stall_ratio,val_stall_as_flat_ratio,val_cm_main,val_cm_turn,alpha,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.0009998286624877785,fixed,0.9214632172421251,1.8429264344842502,0.7010869725630832,0.20372463848404201,0.016651602395250063,0.7010869725630832,0.20372463848404201,0.016651602395250063,0.7010869725630832,1.0186231738570901,0.02020266607992107,0.5224699678903656,0.0,1.4051517106002613,0.0,0.0,0.7744922869099009,0.5663794007127114,0.203191787617455,0.004921094213986671,0.5663794007127114,0.203191787617455,0.004921094213986671,0.5663794007127114,1.0159589258356572,0.006948605358993814,0.5188265268389685,0.0,2.7422353246376545,0.0,0.0,9.59886892591814,0.8189445196211096,0.4322056833558863,0.7230914112590027,0.4955112609613714,0.2411366711772666,0.8322056833558863,0.622437971952535,0.5509478672985783,0.3245341614906832,3.303626775741577,10.552123069763184,8.802931785583496,6.787206649780273,11.245625495910645,8.695115089416504,7.655190944671631,16.48016929626465,5.857217311859131,14.39501667022705,0.2171383649110794,10.31295108795166,nan,0.528158295281583,0.11904761904761904,0.8925233644859814,0.0,0.2857142857142857,"[[347, 0, 310], [12, 5, 25], [317, 5, 2674]]","[[465, 128, 251], [699, 555, 670], [244, 106, 577]]",0.1277293711900711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0009993147673772868,fixed,0.5933847960560903,1.1867695921121806,0.3953881784340483,0.1935762680110932,0.004420350600813585,0.3953881784340483,0.1935762680110932,0.004420350600813585,0.3953881784340483,0.967881327893111,0.0056163303766928584,0.5430505135234035,0.0,0.959131029673573,0.0,0.0,0.6267599374741437,0.41543584994276095,0.20807845320688695,0.0032456252829793017,0.41543584994276095,0.20807845320688695,0.0032456252829793017,0.41543584994276095,1.0403922496532394,0.004517985985227463,0.572622433260426,0.0,3.0297257058030054,0.0,0.0,6.657737614841908,0.9063599458728011,0.41434370771312584,0.8695335318410247,0.5099294835653584,0.04573748308525034,0.8189445196211096,0.42179072276159657,0.6172985781990521,0.2981366459627329,2.794264078140259,7.843222141265869,8.635062217712402,5.905674457550049,7.894589900970459,7.366386413574219,6.37261438369751,7.156185626983643,5.849895000457764,7.014155864715576,-0.33739644289016724,9.734781265258789,nan,0.8797564687975646,0.23809523809523808,0.921562082777036,0.0,0.2857142857142857,"[[578, 0, 79], [12, 10, 20], [214, 21, 2761]]","[[521, 122, 201], [874, 619, 431], [404, 132, 391]]",0.14589719474315643,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.000998458666866564,fixed,0.45469962411051157,0.9093992482210231,0.26133672578328027,0.18873863116288056,0.004624266121042913,0.26133672578328027,0.18873863116288056,0.004624266121042913,0.26133672578328027,0.943693140351597,0.006016096723384214,0.5401518847636703,0.0,0.6742070346333253,0.0,0.0,0.5196894056903493,0.3189833246967951,0.19733825732067892,0.003367822700720759,0.3189833246967951,0.19733825732067892,0.003367822700720759,0.3189833246967951,0.98669126048301,0.004607184235440096,0.5532570364994673,0.0,2.445632719574181,0.0,0.0,6.333399723363767,0.9028416779431664,0.47144790257104197,0.8995761387009664,0.5302873525030865,0.04411366711772666,0.7447902571041949,0.6213592233009708,0.566350710900474,0.33695652173913043,3.017141819000244,7.505774021148682,10.27175235748291,5.597959041595459,7.122793197631836,7.511465549468994,5.264607906341553,7.628879070281982,5.388640403747559,6.521637439727783,2.1319785118103027,8.862732887268066,nan,0.9771689497716894,0.23809523809523808,0.8958611481975968,0.0,0.11904761904761904,"[[642, 0, 15], [5, 10, 27], [272, 40, 2684]]","[[478, 141, 225], [574, 688, 662], [241, 110, 576]]",0.15422050654888153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0009972609476841365,fixed,0.39673060059035364,0.7934612011807073,0.2092297115854,0.18311723810523411,0.0043836485958948955,0.2092297115854,0.18311723810523411,0.0043836485958948955,0.2092297115854,0.9155861692936611,0.005795435227703429,0.5325965505992373,0.0,0.5059956426415754,0.0,0.0,0.49928760333377387,0.28998651747290594,0.20282591411564121,0.006475170956942201,0.28998651747290594,0.20282591411564121,0.006475170956942201,0.28998651747290594,1.0141295515474673,0.009289251640691084,0.6105421719918876,0.0,2.6942746188809163,0.0,0.0,7.950882712167923,0.9317997293640055,0.4189445196211096,0.9298744377186644,0.588649384343268,0.07090663058186739,0.5694181326116373,0.7195253505933118,0.5260663507109005,0.3245341614906832,4.639540195465088,10.23857593536377,11.715126991271973,8.15178394317627,10.198799133300781,13.784980773925781,8.430846214294434,5.488198757171631,7.750455379486084,6.220286846160889,-1.4509813785552979,5.50533390045166,nan,0.802130898021309,0.23809523809523808,0.9699599465954606,0.0,0.023809523809523808,"[[527, 0, 130], [1, 10, 31], [76, 14, 2906]]","[[444, 61, 339], [581, 437, 906], [207, 53, 667]]",0.16465510427951813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.000995722430686905,fixed,0.36780410332308755,0.7356082066461751,0.18447363613445736,0.18015094770354004,0.0031795189993560694,0.18447363613445736,0.18015094770354004,0.0031795189993560694,0.18447363613445736,0.9007547256936322,0.004259411774168788,0.5368694466373017,0.0,0.42349936259337917,0.0,0.0,0.44158352110156834,0.23858711338010952,0.19976445688123792,0.0032319466970956736,0.23858711338010952,0.19976445688123792,0.0032319466970956736,0.23858711338010952,0.998822266855485,0.004709987395161987,0.5883306328272787,0.0,2.0796287986458717,0.0,0.0,6.022885309480143,0.9307171853856563,0.478213802435724,0.9406418059856931,0.5663581884846165,0.027604871447902572,0.6024357239512855,0.6968716289104638,0.5165876777251185,0.36180124223602483,3.2171902656555176,7.632188320159912,7.690073013305664,7.337246894836426,7.635716438293457,8.045965194702148,7.486209392547607,5.076745510101318,6.615560531616211,5.214636325836182,-1.0170319080352783,4.9895920753479,nan,0.9467275494672754,0.3333333333333333,0.9355807743658211,0.0,0.09523809523809523,"[[622, 0, 35], [4, 14, 24], [181, 12, 2803]]","[[436, 151, 257], [443, 685, 796], [150, 131, 646]]",0.17178216576576233,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0009938441702975688,fixed,0.34329604573889966,0.6865920914777993,0.16652972136233518,0.17394925638879158,0.002817066557263885,0.16652972136233518,0.17394925638879158,0.002817066557263885,0.16652972136233518,0.8697462708354754,0.0036836642729926113,0.5220245380779238,0.0,0.41802656871673516,0.0,0.0,0.49002172300070324,0.28757037549444725,0.20000825839694364,0.002443095829390766,0.28757037549444725,0.20000825839694364,0.002443095829390766,0.28757037549444725,1.0000412826931686,0.003637310101541014,0.5789620160249961,0.0,2.1304487759538495,0.0,0.0,5.721568092819784,0.9125845737483085,0.45223274695534504,0.9204933903314606,0.5784579761300179,0.07253044654939107,0.5926928281461434,0.7518878101402373,0.4928909952606635,0.3416149068322981,2.767322063446045,6.743523120880127,7.309645652770996,6.532764434814453,6.732534408569336,7.132848739624023,5.734428405761719,3.586636781692505,5.628295421600342,4.345763683319092,-0.4840640723705292,3.964259147644043,nan,0.7168949771689498,0.38095238095238093,0.9629506008010681,0.0,0.0,"[[471, 0, 186], [0, 16, 26], [69, 42, 2885]]","[[416, 92, 336], [447, 558, 919], [148, 82, 697]]",0.18133454024791718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0009916274537819772,fixed,0.3234297597065358,0.6468595194130716,0.14956977842193642,0.17164834414638244,0.002211636611330003,0.14956977842193642,0.17164834414638244,0.002211636611330003,0.14956977842193642,0.8582417059308194,0.002979464754804255,0.5269409830369435,0.0,0.3321249187976022,0.0,0.0,0.4692338236613912,0.26661437862780807,0.20121579181518864,0.0014036567752843114,0.26661437862780807,0.20121579181518864,0.0014036567752843114,0.26661437862780807,1.0060789435900275,0.0019724108855944523,0.611850487427718,0.0,2.23223149950272,0.0,0.0,4.587126434889443,0.9331529093369418,0.456021650879567,0.9428456272888992,0.600736764838539,0.061163734776725306,0.5312584573748309,0.651564185544768,0.6445497630331753,0.358695652173913,1.9000797271728516,4.962106227874756,6.6518096923828125,4.433767795562744,4.94007682800293,4.596644401550293,4.642553806304932,4.371175765991211,4.900537967681885,5.44005012512207,1.2913494110107422,6.080848217010498,nan,0.9041095890410958,0.40476190476190477,0.9469292389853138,0.0,0.07142857142857142,"[[594, 0, 63], [3, 17, 22], [154, 5, 2837]]","[[544, 69, 231], [690, 537, 697], [272, 51, 604]]",0.19407881796360016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0009890738003669026,fixed,0.30561907727908466,0.6112381545581693,0.1354136744051968,0.16794835231529764,0.0022570529646524207,0.1354136744051968,0.16794835231529764,0.0022570529646524207,0.1354136744051968,0.8397417441060059,0.0029949687683578563,0.5251465710684035,0.0,0.3072258341864772,0.0,0.0,0.45943911309493896,0.25638411590307747,0.20184321423264093,0.0012117786598246903,0.25638411590307747,0.20184321423264093,0.0012117786598246903,0.25638411590307747,1.009216062319295,0.0017546990073471253,0.6091209930560586,0.0,2.248635382247548,0.0,0.0,4.295047693796725,0.9369418132611638,0.5012178619756428,0.9436587977191491,0.5907786778697702,0.06305818673883627,0.5450608930987821,0.7238403451995685,0.5308056872037915,0.3695652173913043,1.7974070310592651,4.884909629821777,4.783953666687012,4.898340225219727,4.884909629821777,4.538341045379639,4.970439434051514,2.726271867752075,3.9919705390930176,4.357048511505127,0.3350059986114502,5.168991565704346,nan,0.8143074581430746,0.5238095238095238,0.969626168224299,0.0,0.047619047619047616,"[[535, 0, 122], [2, 22, 18], [76, 15, 2905]]","[[448, 149, 247], [399, 733, 792], [127, 129, 671]]",0.20476201176643372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.000986184960198838,fixed,0.29402659565230177,0.5880531913046035,0.12780110465884534,0.16443693685628258,0.0017885533418041315,0.12780110465884534,0.16443693685628258,0.0017885533418041315,0.12780110465884534,0.8221846694803201,0.0023746108448631973,0.5061364184346748,0.0,0.2473328311991373,0.0,0.0,0.42922323711508825,0.23272146522918155,0.19526282101667944,0.0012389453266607408,0.23272146522918155,0.19526282101667944,0.0012389453266607408,0.23272146522918155,0.9763140943118135,0.0018078809363971664,0.5473876519761324,0.0,2.0997181263093694,0.0,0.0,4.314794072764659,0.9399188092016239,0.4914749661705007,0.9444016112584029,0.5863578636001604,0.06305818673883627,0.5751014884979703,0.7529665587918015,0.5580568720379147,0.4052795031055901,1.793635368347168,5.158009052276611,6.077463626861572,4.886042594909668,5.115726470947266,5.241982936859131,5.312485218048096,3.1203243732452393,3.4500045776367188,4.716115474700928,1.0536991357803345,5.992974758148193,nan,0.9467275494672754,0.5714285714285714,0.9435914552736983,0.0,0.0,"[[622, 0, 35], [0, 24, 18], [156, 13, 2827]]","[[471, 139, 234], [458, 647, 819], [131, 98, 698]]",0.21434767544269562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0009829629131445337,fixed,0.2796528673704252,0.5593057347408504,0.1168778071141559,0.16051410943660988,0.0022609477649563484,0.1168778071141559,0.16051410943660988,0.0022609477649563484,0.1168778071141559,0.802570533435829,0.0029272654165528856,0.5004107007256826,0.0,0.25084273460768863,0.0,0.0,0.4543305156679373,0.2560834796809376,0.19706941005825512,0.0011776276540858054,0.2560834796809376,0.19706941005825512,0.0011776276540858054,0.2560834796809376,0.985347032740571,0.00157662298503875,0.6158377028769827,0.0,2.4991543129240545,0.0,0.0,3.87117574903898,0.9401894451962111,0.49851150202976996,0.9486215556124264,0.6299829082722601,0.05953991880920163,0.4798376184032476,0.6828478964401294,0.6279620853080569,0.37732919254658387,1.7438453435897827,4.409914493560791,5.0092315673828125,4.1217942237854,4.376465797424316,4.280376434326172,4.295312881469727,3.6317145824432373,3.114391565322876,3.8942902088165283,1.4912891387939453,4.3374409675598145,nan,0.9452054794520548,0.5714285714285714,0.9442590120160214,0.0,0.0,"[[621, 0, 36], [0, 24, 18], [159, 8, 2829]]","[[530, 156, 158], [639, 679, 606], [192, 102, 633]]",0.22600412368774414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
