epoch,lr,train_loss,val_loss,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall
1,0.0009999238475781956,0.7347263804082336,0.5429455559510676,7.472644449690323,0.8024549290372075,0.648638281549674,0.79517783720844,0.6160962348090505,0.17491369390103567,0.523590333716916,0.5842911877394636,0.452991452991453,0.4023809523809524,2.9213051795959473,8.204636573791504,6.585050106048584,8.074767112731934,8.265481948852539,5.637343406677246,12.284423828125,8.324919700622559,6.661038398742676,8.783347129821777,-2.1710524559020996,10.081695556640625,nan,0.6070726915520629,0.3404255319148936,0.8615309605070697
2,0.0009996954135095479,0.35966263722688196,0.3549627038908499,4.758370573988929,0.8841580360567702,0.6029919447640967,0.8959806907144915,0.6431602867277731,0.05638665132336018,0.4507096279248178,0.7126436781609196,0.6153846153846154,0.3595238095238095,2.1586334705352783,5.684196472167969,4.823343276977539,5.4137115478515625,5.9809088706970215,4.659688472747803,7.722755432128906,5.373454570770264,4.394846439361572,5.766251087188721,1.5240190029144287,8.050881385803223,nan,0.8919449901768173,0.574468085106383,0.8893222818137494
3,0.0009993147673772868,0.25039455190068083,0.3572789438391811,5.075434679447185,0.8933640199462984,0.685078634445723,0.9062663550757715,0.6625802777423347,0.07019562715765247,0.42577675489067895,0.6264367816091954,0.5705128205128205,0.44047619047619047,2.3916373252868652,6.042590618133545,6.281121730804443,4.9668378829956055,6.07300329208374,5.66756534576416,8.799657821655273,5.409876346588135,5.417741775512695,7.08157205581665,1.0255887508392334,9.561145782470703,nan,0.925343811394892,0.6808510638297872,0.8902974158946855
4,0.000998782025129912,0.19863487503272226,0.27624818208256946,5.109639950441036,0.9194476409666283,0.6985040276179517,0.9411821670983812,0.672855952183754,0.03375527426160337,0.42002301495972383,0.6130268199233716,0.5427350427350427,0.44285714285714284,2.214383125305176,6.197120189666748,3.965578079223633,5.3468427658081055,6.523660182952881,4.20811653137207,11.365385055541992,6.483099937438965,5.686379909515381,7.641573905944824,-2.0962133407592773,8.447554588317871,nan,0.9646365422396856,0.7446808510638298,0.9122379327157484
5,0.0009980973490458726,0.1687033561888503,0.34286050430467224,3.9691957219212126,0.9121595703874185,0.7034906022247794,0.9579357087200072,0.6710015781279941,0.02339854238588416,0.41810510164940545,0.6111111111111112,0.5641025641025641,0.45476190476190476,1.6871017217636108,4.699240684509277,3.394819974899292,3.292325496673584,4.915105819702148,4.0598649978637695,5.722146511077881,5.9855170249938965,4.814410209655762,6.305501937866211,-1.099568247795105,6.8555073738098145,nan,0.9646365422396856,0.7021276595744681,0.9039492930277914
6,0.0009972609476841365,0.14272380481423114,0.27156460660145026,4.098786073792571,0.9443805140007672,0.6536248561565017,0.9678188869122579,0.7004936788364378,0.019562715765247412,0.383199079401611,0.710727969348659,0.5683760683760684,0.4261904761904762,1.8852330446243286,4.744009971618652,3.9101152420043945,3.6370320320129395,4.939810752868652,4.08173942565918,4.977608680725098,4.824312686920166,5.504655361175537,7.01674222946167,2.0363993644714355,8.502599716186523,nan,0.9292730844793713,0.7021276595744681,0.9536811311555339
7,0.000996273075820661,0.1329775133991799,0.21342535706191945,4.612879120209375,0.9516685845799769,0.6532412734944381,0.9658998773149056,0.7000658221369329,0.020713463751438434,0.38434982738780205,0.6628352490421456,0.5918803418803419,0.40476190476190477,2.252291679382324,5.613495826721191,3.897759199142456,4.967211723327637,5.923051357269287,4.579606056213379,6.001186370849609,7.204760551452637,5.966208457946777,7.185453414916992,1.653104305267334,7.16030216217041,nan,0.9037328094302554,0.8085106382978723,0.9668454412481716
8,0.000995134034370785,0.11968309390582019,0.22397671064335495,3.3393426672383217,0.9547372458764863,0.6302263137706176,0.9741084772175097,0.6913738007641237,0.011891062523973917,0.397391637897967,0.6800766283524904,0.6538461538461539,0.4238095238095238,1.421355962753296,4.06395959854126,3.681117296218872,2.7860963344573975,4.1173295974731445,2.7215023040771484,4.028049945831299,4.90428352355957,4.16086483001709,5.314751625061035,1.5619481801986694,7.747404098510742,nan,0.9823182711198428,0.7872340425531915,0.9517308629936616
9,0.0009938441702975688,0.1143513586094908,0.25467899794957166,3.310064180340365,0.9459148446490219,0.6440352896049099,0.9659321920324581,0.7003578926416787,0.022247794399693134,0.3732259301879555,0.7452107279693486,0.5876068376068376,0.47619047619047616,1.4510833024978638,3.8443100452423096,3.9970641136169434,3.4843008518218994,3.8539609909057617,2.6328911781311035,4.390375137329102,5.539507865905762,3.992159605026245,5.770966529846191,0.2056225687265396,6.430859088897705,nan,0.9607072691552063,0.723404255319149,0.947342759629449
10,0.000992403876506104,0.11371429853199115,0.21297741647328186,2.962566632867855,0.9574223245109321,0.6774069812044495,0.9742061449405535,0.6913588520363798,0.016877637130801686,0.37284234752589185,0.6245210727969349,0.5897435897435898,0.4880952380952381,1.3577487468719482,3.6636977195739746,3.9253616333007812,3.2913498878479004,3.6334800720214844,2.6585569381713867,5.216413974761963,4.095264434814453,3.3059051036834717,4.771719455718994,0.19694553315639496,6.131969928741455,nan,0.925343811394892,0.8085106382978723,0.9687957094100439
