controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
ModernTCN_turn_seed101_champion,all,0,190,190,18951,0.0273817167042973,0.0813942394560621,3.04253567160796,0.0357905140388164,0.0971495849873885,0.025447538317634,0.126625803468147,0.0085578094591967,0.0433027783728731,0.575137880537959,1.06867585704609,152.120908808093,288.110570323955,0,0,0.0777522053718589,0.350901370283819,0,0,0,1.18279894791005,1.08754260920118,0.00707255837362756,0.0225361,0.02648128,0.03387376,3.500176,0,0.444973726540696,2.92667747813411,0.475996564726098,0.00821710436403999,0.0106496551243781,98.1900691256398,67.0518706136879,0.518947622495776,97.1870604781997,91.0025062656642,10.5026677899466,45.0794153342832,0,54.9205846657169,34.6630784655163,54.3401403619862,10.9967811724975
ModernTCN_stage2_l020_tt30_lr_seed303,all,0,190,190,18951,1.13049615601253,2.26251426979501,127.593020944147,0.307104623247889,0.878967069809671,0.438572417374505,0.98,0.0522696423749274,0.303958198517366,13.3678452827016,44.4016462438613,341.926627142762,686.304493396794,21.1492797213867,18.6111550841644,0.768470587478735,1.60114981921591,29.7451321829983,13.756529998417,0,367.418046927656,19.1681261776098,0.0313969247789709,0.0232171,0.02804436,0.0357544,0.4765531,0,0.709195927621168,6.01564018208257,0.648767187883812,0.0125014419390407,0.0114466204575061,91.1825233496913,36.2408316183843,3.83779869659667,87.3136427566807,41.077694235589,10.5869137882617,49.1847395915783,0,50.8152604084217,13.7618067648145,47.9710833201414,38.2671099150441
ModernTCN_stage2_l020_tt30_lr_seed101,all,0,190,190,18951,0.047773045535427,0.245375950491019,4.16792825102134,0.0471736705754943,0.177090639395235,0.0287133148228273,0.126625803468147,0.0164457336042971,0.141667086652363,0.589130442794113,1.13148789646912,152.17556020777,286.377209258099,0,0,0.104043516082828,0.490430153384355,0,0,0,5.56963294767671,2.35992767016244,0.019347849451363,0.0231019,0.02735209,0.03419158,0.3837976,0,0.523731171163408,2.19361557033528,0.581644968279798,0.0109952515498973,0.00948266239340406,98.4644609783125,61.0363569204791,0.627564566739078,97.7590248476324,82.4812030075188,8.5650098286998,44.7100416864545,0,55.2899583135455,30.7741016305208,55.4535380718696,13.7723602976096
