epoch,lr,train_loss,val_loss,val_score,val_acc_main,val_acc_turn,val_acc_turn_transition,val_theta_mae_deg,val_flat_recall,val_stall_recall,val_slope_recall
1,0.0009998286624877785,0.5826134674778116,0.22218786049179914,0.807761546590196,0.9338414634146341,0.7603658536585366,0.37659574468085105,2.4706883430480957,0.9258142340168878,0.9195804195804196,0.9468562874251497
2,0.0009993147673772868,0.16047855282494494,0.16010742957999066,0.6122098685170804,0.9506097560975609,0.7926829268292683,0.4765957446808511,2.237093925476074,0.9420989143546441,0.9230769230769231,0.9670658682634731
3,0.000998458666866564,0.1126174598723147,0.14188759406892265,0.5092687519625425,0.9512195121951219,0.8204268292682927,0.551063829787234,2.193084955215454,0.9463208685162847,0.9405594405594405,0.9595808383233533
4,0.0009972609476841365,0.09113826087529217,0.13652330935001372,0.5194019355131173,0.9557926829268293,0.8158536585365853,0.5191489361702127,1.7525447607040405,0.9481302774427021,0.9475524475524476,0.9670658682634731
5,0.000995722430686905,0.07726385022066541,0.1554292851831855,0.49699843833529395,0.9606707317073171,0.8121951219512196,0.5446808510638298,1.3526424169540405,0.9493365500603136,0.9055944055944056,0.9865269461077845
6,0.0009938441702975688,0.06944194305303109,0.20418555460325102,0.6072958815889651,0.9463414634146341,0.8323170731707317,0.4978723404255319,1.5673084259033203,0.9378769601930036,0.7867132867132867,0.9910179640718563
7,0.0009916274537819772,0.05885548299440233,0.12450400721736071,0.4877125023985131,0.964329268292683,0.8375,0.5170212765957447,1.526968002319336,0.9505428226779252,0.9125874125874126,0.9925149700598802
8,0.0009890738003669026,0.05848496970408853,0.14414432957404996,0.4650678431316553,0.9588414634146342,0.8378048780487805,0.5553191489361702,1.2141863107681274,0.9469240048250904,0.9055944055944056,0.9850299401197605
9,0.000986184960198838,0.05107179417503499,0.148701867025073,0.46070902318705775,0.9582317073170732,0.8466463414634147,0.5659574468085107,1.3396737575531006,0.9487334137515079,0.916083916083916,0.9790419161676647
10,0.0009829629131445337,0.05039819154627699,0.12038342930921694,0.45504485860196314,0.961890243902439,0.8371951219512195,0.5425531914893617,1.3421133756637573,0.9505428226779252,0.9335664335664335,0.9820359281437125
11,0.0009794098674340962,0.04731708893515803,0.13237317269895135,0.4209950086098603,0.9661585365853659,0.8551829268292683,0.5765957446808511,1.2643665075302124,0.9583835946924005,0.9090909090909091,0.9880239520958084
12,0.0009755282581475765,0.04224557247090802,0.17699200467365545,0.4733361876709943,0.9621951219512195,0.8524390243902439,0.5723404255319149,1.220381259918213,0.9535585042219542,0.8671328671328671,0.9932634730538922
13,0.000971320745546089,0.04472762253953787,0.1312415625990891,0.38769538172861423,0.9625,0.8588414634146342,0.6,0.8868752717971802,0.9487334137515079,0.9125874125874126,0.9902694610778443
