case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,disturbance_scale,disturbance_noise_scale,disturbance_process_scale,noise_enabled,noise_signature,process_signature,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
1,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,0,0,0,0,3.76872664625997,802.54,1,ok,,1173.7413987,14950,0.0134775690316834,0.0770469831729982,0.039299520584602,0.0986311199444154,0.0491983059656787,0.0190879072225409,12626.6869790255,0,0,0,0.0096369,0.353467605,0.443021768,0,
2,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,0,0,0,0,3.76872664625997,802.54,2,ok,,1147.179363,14950,0.0134830474981147,0.0770338234549753,0.0394055670697358,0.0988418147282779,0.0492033093483842,0.0193512023346472,12509.2704115839,0,0,0,0.00947335,0.34627634,0.405410037,0,
3,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,0,0,0,0,3.76872664625997,802.54,3,ok,,1117.2994938,14950,0.0134863510237891,0.0769822900486801,0.0395057472474062,0.0990483319890103,0.0492065215463955,0.0194536691992369,12503.7548652992,0,0,0,0.00944295,0.341761695,0.360439779,0,
4,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,1,ok,,1116.6281404,14950,0.0134277818887654,0.0773367288074029,0.0392008709580035,0.100842883968704,0.051328839496615,0.0206887962591194,1756992.97152273,0,0,0,0.0093416,0.34245501,0.360782995,0,
5,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,2,ok,,1115.1092792,14950,0.0135598138105183,0.0761287784897199,0.0371130561638219,0.0943225352099897,0.0506997617253608,0.0202342181147592,1481910.33881844,0,0,0,0.00932035,0.342059975,0.360675053,0,
6,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,3,ok,,1112.4058218,14950,0.013387542500942,0.0768257131762441,0.0362702112081496,0.0923521212722194,0.0507724878712464,0.0210086347714925,1394256.15215443,0,0,0,0.009333,0.34097762,0.360263007,0,
7,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,1,ok,,1115.9984007,14950,0.0135631132366261,0.0776356845358744,0.0370238505434137,0.0945629703182345,0.0516594173806842,0.0220105064123571,1793094.28294439,0,0,0,0.00935245,0.342129355,0.361718164,0,
8,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,2,ok,,1112.4096986,14950,0.0135871008752042,0.0782648883854465,0.0365483525712367,0.0926625863999515,0.0513057979755117,0.0208494874689318,1423695.4293221,0,0,0,0.00935225,0.340779085,0.359593824,0,
9,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,3,ok,,1111.5229024,14950,0.0134888679732492,0.0755634048700279,0.0389313598163276,0.0991614959876927,0.0513961875209752,0.0212570537942894,1705783.98187822,0,0,0,0.00930725,0.34062046,0.360360316,0,
10,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,0,0,0,0,0,3.76872664625997,802.54,1,ok,,882.7641746,11950,0.0448797593025739,0.180144034038025,0.0439180147476069,0.264867658919228,0.00538050175105019,0.0446718621094689,551.098011716401,0,0,0,0.00941825,0.3408778,0.358247054,0,
