candidate_id,role,replacement_decision,J_control,rank_by_J_control,closed_loop_v2_status,closed_loop_v2_failures,n_paths,ey_rmse_mean,xy_rmse_mean,epsi_rmse_mean,j_du_mean,omega_cmd_rms_mean,main_acc_pct_mean,turn_acc_pct_mean
uncertainty_seed101_rerun_20260622,seed101_anchor,AnchorOnlyNotFullReplacement,0.94411711953914,1,pass,none,3,0.0296269727303799,0.553890709479584,0.0379209992142139,4.68786764219691,0.0710415972600494,92.4382837181255,53.9766889668855
baseline_lock,ModernTCN_small_baseline,AnchorOnlyNotFullReplacement,1,2,pass,reference,3,0.0340541598964198,0.600747319384481,0.0395281150431306,4.73336252454802,0.0725761346213963,94.4445123562036,53.6149667029795
ua_seed21,same_recipe_non101_seed,AnchorOnlyNotFullReplacement,1.13638158707013,3,pass,none,3,0.0465832825836547,0.55813879940855,0.047221060932995,5.29839329683462,0.0777235748578882,93.4741349127894,62.4237914144975
ua_seed42,same_recipe_non101_seed,AnchorOnlyNotFullReplacement,11.9154967909798,4,pass,none,3,0.256449583915538,3.66591952530886,0.116475958937402,187.59045166008,0.244318660915203,92.007687165511,46.280528867462
