metric,mean,std,min,max
acc_main,0.978329809725159,0,0.978329809725159,0.978329809725159
acc_turn,0.940803382663848,0,0.940803382663848,0.940803382663848
acc_turn_pure,0.953307392996109,0,0.953307392996109,0.953307392996109
acc_turn_transition,0.698924731182796,0,0.698924731182796,0.698924731182796
theta_mae_deg,0.490640108609755,0,0.490640108609755,0.490640108609755
flat_recall,0.9938884644767,0,0.9938884644767,0.9938884644767
stall_recall,0.903846153846154,0,0.903846153846154,0.903846153846154
slope_recall,0.947269303201507,0,0.947269303201507,0.947269303201507
uphill_recall,0.826446280991736,0,0.826446280991736,0.826446280991736
downhill_recall,0.720848056537102,0,0.720848056537102,0.720848056537102
theta_abs_le_8_mae_deg,0.490640108609755,0,0.490640108609755,0.490640108609755
theta_abs_le_10_mae_deg,0.490640108609755,0,0.490640108609755,0.490640108609755
theta_pos_6_8_mae_deg,0.530782982903364,0,0.530782982903364,0.530782982903364
theta_pos_6_8_bias_deg,-0.182655076669805,0,-0.182655076669805,-0.182655076669805
theta_neg_8_6_mae_deg,0.388239962933312,0,0.388239962933312,0.388239962933312
theta_neg_8_6_bias_deg,0.257799911681583,0,0.257799911681583,0.257799911681583
