seed,status,source,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall
21,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed21\metrics_test.csv,0.9600222098833981,0.5066629650194336,0.45156482861400893,0.8770052790641785,2.4368855953216553,7.109313488006592,0.9338624338624338,0.6875,0.9767272727272728
42,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed42\metrics_test.csv,0.9672404219877846,0.5644086618545253,0.4977645305514158,0.8750448226928711,3.421408176422119,5.893237590789795,0.9404761904761905,0.6979166666666666,0.984
101,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101\metrics_test.csv,0.967518045530261,0.5871737923375903,0.4918032786885246,0.6092251539230347,2.2706704139709473,5.244269371032715,0.958994708994709,0.6979166666666666,0.9792727272727273
