run_tag,metric,direction,baseline,threshold,value,delta_vs_baseline_good_positive,pass
densepatch_select_stall_seed21,acc_main,>=,0.9669627984453082,0.9639627984453082,0.9514158800666297,-0.015546918378678498,False
densepatch_select_stall_seed21,acc_turn,>=,0.5788450860632982,0.5738450860632982,0.6029983342587452,0.024153248195446952,True
densepatch_select_stall_seed21,acc_turn_transition,>=,0.4977645305514158,0.4977645305514158,0.5171385991058122,0.019374068554396384,True
densepatch_select_stall_seed21,theta_mae_deg,<=,0.6793947815895081,0.6893947815895081,0.5706025958061218,0.10879218578338623,True
densepatch_select_stall_seed21,flat_recall,>=,0.9695767195767195,0.9595767195767195,0.9656084656084656,-0.003968253968253954,True
densepatch_select_stall_seed21,stall_recall,>=,0.71875,0.66875,0.6145833333333334,-0.10416666666666663,False
densepatch_select_stall_seed21,slope_recall,>=,0.974909090909091,0.9699090909090909,0.9592727272727273,-0.01563636363636367,False
densepatch_select_stall_seed21,theta_edge_p95_abs_err,<=,2.755056858062744,2.755056858062744,2.4979312419891357,0.2571256160736084,True
densepatch_mainweight_seed21,acc_main,>=,0.9669627984453082,0.9639627984453082,0.9494725152692949,-0.01749028317601331,False
densepatch_mainweight_seed21,acc_turn,>=,0.5788450860632982,0.5738450860632982,0.5902276513048307,0.011382565241532472,True
densepatch_mainweight_seed21,acc_turn_transition,>=,0.4977645305514158,0.4977645305514158,0.5216095380029806,0.023845007451564815,True
densepatch_mainweight_seed21,theta_mae_deg,<=,0.6793947815895081,0.6893947815895081,0.6235453486442566,0.055849432945251465,True
densepatch_mainweight_seed21,flat_recall,>=,0.9695767195767195,0.9595767195767195,0.9695767195767195,0.0,True
densepatch_mainweight_seed21,stall_recall,>=,0.71875,0.66875,0.6145833333333334,-0.10416666666666663,False
densepatch_mainweight_seed21,slope_recall,>=,0.974909090909091,0.9699090909090909,0.9556363636363636,-0.01927272727272733,False
densepatch_mainweight_seed21,theta_edge_p95_abs_err,<=,2.755056858062744,2.755056858062744,2.902961015701294,-0.1479041576385498,False
densepatch_wide24_seed21,acc_main,>=,0.9669627984453082,0.9639627984453082,0.9511382565241533,-0.0158245419211549,False
densepatch_wide24_seed21,acc_turn,>=,0.5788450860632982,0.5738450860632982,0.5846751804553026,0.005830094392004437,True
densepatch_wide24_seed21,acc_turn_transition,>=,0.4977645305514158,0.4977645305514158,0.5171385991058122,0.019374068554396384,True
densepatch_wide24_seed21,theta_mae_deg,<=,0.6793947815895081,0.6893947815895081,0.5422297716140747,0.13716500997543335,True
densepatch_wide24_seed21,flat_recall,>=,0.9695767195767195,0.9595767195767195,0.966931216931217,-0.002645502645502562,True
densepatch_wide24_seed21,stall_recall,>=,0.71875,0.66875,0.6770833333333334,-0.04166666666666663,True
densepatch_wide24_seed21,slope_recall,>=,0.974909090909091,0.9699090909090909,0.9563636363636364,-0.01854545454545453,False
densepatch_wide24_seed21,theta_edge_p95_abs_err,<=,2.755056858062744,2.755056858062744,2.413189649581909,0.34186720848083496,True
