path_tag,path_file,status,message,Np,Nc,duration_s,n_samples,valid_steps,completion_ratio,J,fail_count,ey_rmse,epsi_rmse,ev_rmse,eomega_rmse,cons_L1,cons_Linf,F_peak,omega_peak,F_sat_rate,omega_sat_rate,dF_peak,domega_peak,solve_avg_ms,solve_max_ms,first_fail_step,first_fail_reason,first_fail_qpcode,elapsed_sec
path_closed_loop_long_updown_theta10_v1,E:\Matlab\Simulink\S-Function_16\data\paths\path_closed_loop_long_updown_theta10_v1.mat,ok,,30,10,44,4401,4401,1,56.3736420212932,0,0.952182940400458,0.146698771634839,0.119901290478996,0.0824108293112627,0.154390698757608,1.04234285856118,660.272231217757,0.534626298037253,0.00499886389456942,0,400,0.139750126790485,8.51856139513747,158.3449,NaN,,,102.8635407
path_closed_loop_sharp_turn_transition_theta10_v1,E:\Matlab\Simulink\S-Function_16\data\paths\path_closed_loop_sharp_turn_transition_theta10_v1.mat,ok,,30,10,52,5201,5201,1,88.6411603532009,0,1.30221620740045,0.180022407046479,0.1115725462795,0.0596380509691559,0.350918605525074,1.64325093957168,660.000003587474,0.91542028200525,0,0,400,0.9,7.66118457988847,13.2084,NaN,,,115.193007
path_factory_logistics_showcase_theta10_v10,E:\Matlab\Simulink\S-Function_16\data\paths\path_factory_logistics_showcase_theta10_v10.mat,ok,,30,10,245.82,24583,24583,1,283.009634738214,0,2.17546748741474,0.0248410656490097,0.0690863716470117,0.013518064253264,0.810053084104701,5.42592367199285,660.000000000001,0.215501246796775,0.000406785176748159,0,400,0.00389614800194238,7.98899373144043,13.3612,NaN,,,544.6594692
path_factory_logistics_showcase_theta10_v3,E:\Matlab\Simulink\S-Function_16\data\paths\path_factory_logistics_showcase_theta10_v3.mat,ok,,30,10,190,19001,19001,1,279.752456592553,0,2.57865289827144,0.335000524327672,0.117255689294718,0.08704688792148,1.14122621671134,5.26070219575376,665.249999983409,1.3315,0.00410504710278406,0.0591021525182885,400.000000000001,0.9,8.25809141097838,17.8,NaN,,,434.7475402
path_industrial_lite,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial_lite.mat,ok,,30,10,150,15001,15001,1,57.4786098686122,0,0.95405793109279,0.0934106446299425,0.0718285592780742,0.0469595282652764,0.180007746051683,1.06486327270955,660.722138333978,1.20505127160636,0.00339977334844344,0,400.000000000001,0.561014483445212,7.98491886540896,13.3677,NaN,,,335.5135805
path_modern_tcn_demo_loop_v1,E:\Matlab\Simulink\S-Function_16\data\paths\path_modern_tcn_demo_loop_v1.mat,ok,,30,10,180,18001,18001,1,160.699911696291,0,1.86593331415038,0.147123690259036,0.0700351185833921,0.0641578027665718,0.67018088828424,3.00483850438012,667.726215864599,1.33551251632167,0.000666629631687128,0.0183878673407033,400.000000000002,0.9,8.25410651074941,17.5849,NaN,,,412.7429566
path_modern_tcn_demo_loop_v2,E:\Matlab\Simulink\S-Function_16\data\paths\path_modern_tcn_demo_loop_v2.mat,ok,,30,10,180,18001,18001,1,200.856851342176,0,1.93832978946541,0.157654992305782,0.0706913828307242,0.0670762126853311,0.846925405321923,3.77335800085655,664.487745915759,1.31104246574115,0.00161102160991056,0,400.000000000002,0.9,8.27537291817122,12.8083,NaN,,,413.596984
