epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.0009990133642141358,0.01032708902679234,0.08373993051139635,0.1326070712420478,0.5642977356910706,0.8949195742607117,0.017775805667042732,0.6658617258071899,0.9851609466555057,0.9511452705273571,0.7789855072463768
2,0.000996057350657239,0.009220946337787134,0.08375946222288896,0.13345972031937753,0.5920683145523071,0.9644408226013184,-0.0030830122996121645,0.7811154127120972,0.9851609466555057,0.9511452705273571,0.7789855072463768
3,0.0009911436253643444,0.009239890337341504,0.08381302255311338,0.15311076929134082,0.5248599052429199,1.0540343523025513,0.16878369450569153,0.9544875025749207,0.9851609466555057,0.9511452705273571,0.7789855072463768
4,0.0009842915805643156,0.009266784771886036,0.08379445406318065,0.14843217854264953,0.5966942310333252,1.0369967222213745,0.0034916498698294163,0.9819479584693909,0.9851609466555057,0.9511452705273571,0.7789855072463768
5,0.0009755282581475769,0.009304542074977235,0.08376384513110623,0.13288739073846664,0.5728445649147034,0.9787799119949341,0.17537987232208252,0.7983412146568298,0.9851609466555057,0.9511452705273571,0.7789855072463768
6,0.0009648882429441258,0.009257755255262966,0.08376665669821158,0.1347980128743815,0.636438250541687,0.9550818204879761,-0.062091417610645294,0.822676420211792,0.9851609466555057,0.9511452705273571,0.7789855072463768
7,0.0009524135262330099,0.009269449181441184,0.08377173714258657,0.13302781784993023,0.5772624015808105,0.9452794790267944,0.08661224693059921,0.839993417263031,0.9851609466555057,0.9511452705273571,0.7789855072463768
8,0.0009381533400219318,0.00927099749348057,0.08387197129902943,0.2401850792270991,0.5504270195960999,1.2204042673110962,0.2985019087791443,1.0982043743133545,0.9851609466555057,0.9511452705273571,0.7789855072463768
9,0.0009221639627510075,0.009255234855218158,0.08375039652412898,0.13484372960993637,0.638504147529602,0.8704468011856079,0.06161430478096008,0.7538630366325378,0.9851609466555057,0.9511452705273571,0.7789855072463768
10,0.0009045084971874736,0.009291098409303282,0.08387138132768791,0.209926539426656,0.640250027179718,1.187273621559143,-0.17906220257282257,1.1206955909729004,0.9851609466555057,0.9511452705273571,0.7789855072463768
11,0.0008852566213878945,0.009271872874745044,0.08380307128416077,0.1343732627474248,0.6210660934448242,0.9853833317756653,0.06911705434322357,1.0179740190505981,0.9851609466555057,0.9511452705273571,0.7789855072463768
12,0.0008644843137107056,0.009229179741114563,0.08411523614544528,0.3789855230476666,0.8360270857810974,1.4665766954421997,-0.4561029374599457,1.456884741783142,0.9851609466555057,0.9511452705273571,0.7789855072463768
13,0.0008422735529643443,0.009256651815876895,0.08382624125346393,0.18591623910176824,0.5843729972839355,1.0917367935180664,0.2796294093132019,0.864886999130249,0.9851609466555057,0.9511452705273571,0.7789855072463768
