case_tag,path_tag,disturbance_level,seed,noise_scale,process_scale,controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
path_closed_loop_long_updown_theta10_v1_d0_seed0,path_closed_loop_long_updown_theta10_v1,0,0,0,0,ModernTCN,all,0,44,44,4351,0.0334339210955141,0.089866551674413,0.874494384521712,0.0207123221005022,0.0528322717397297,0.0636577494385886,0.146863183581791,0.0181466054331191,0.0566686141290029,0.315671153909618,0.653788428420479,189.319956196479,272.743771800294,0,0,0.063267544512929,0.152343990631656,0,0,0,14.2367741593444,3.77316489366895,0.000918982354090888,0.0240559,0.035267725,0.0461701079999999,2.0724762,0,0.774817731241961,2.55338858376083,1.03760336700404,0.0351688081478763,0.0385656164063561,93.1739829924155,77.4764421971961,19.5205479452055,96.3741007194245,64.8106904231626,0,19.0990576878878,0,80.9009423121122,6.68811767409791,93.3118823259021,0
path_closed_loop_long_updown_theta10_v1_d0_seed0,path_closed_loop_long_updown_theta10_v1,0,0,0,0,GRU,all,0,44,44,4351,0.0442358065730015,0.121807991488976,1.13182104863533,0.0366434562791281,0.116673206492099,0.0970428865320661,0.177443021540353,0.0511731959906656,0.197934880942152,0.597169312559796,1.16595983478906,189.752218418552,272.195168197695,0,0,0.1269088744922,0.964057273903771,0.643530222937256,0,0,1.60686231059683,1.26753466562572,0.0147709862208497,0.0125291,0.01863502,0.022660241,0.4004623,0,0.377007157266612,2.25182521746118,0.667196886487468,0.0342844650726356,0.0334544356863339,85.9112847621237,66.8352102964836,48.2876712328767,94.5323741007194,85.7461024498886,48.661800486618,14.7782119053091,0,85.2217880946909,21.3973799126638,59.9632268444036,18.6393932429327
path_closed_loop_long_updown_theta10_v1_d0_seed0,path_closed_loop_long_updown_theta10_v1,0,0,0,0,TCN,all,0,44,44,4351,0.0486561023128172,0.112198810959734,1.32017104857365,0.0453219553758785,0.164721726791925,0.131512363507601,0.24428832028472,0.0570306697801469,0.213516132006858,0.854675129781067,1.8744315642399,192.784260615657,377.594254842955,0,0,0.129737164691428,1.30498427023647,0.827396000919329,0,0,46.7564436772639,6.83780838865354,0.0286376906061702,0.0114008,0.01686983,0.02169993,0.5054503,0,0.571618966163734,1.78084795115398,1.81130864905715,0.0364611627949686,0.0784879895558647,75.1321535279246,78.2808549758676,0,68.863309352518,45.8797327394209,30.0486618004866,45.0011491611124,0,54.9988508388876,6.34336934038152,86.6697310962997,6.98689956331878
path_closed_loop_long_updown_theta10_v1_d1_seed21,path_closed_loop_long_updown_theta10_v1,1,21,1,0.35,ModernTCN,all,0,44,44,4351,0.0449676005510403,0.124533239172537,1.2424279250133,0.0857322478300485,0.270248515914792,0.09128289367439,0.267360868610383,0.0666501368274076,0.326089174773327,1.20655169955789,2.14951894689294,196.226387960297,376.015481953013,0,0,0.111305825808141,0.622431876488623,0.0459664444955183,0,0,34.8575438022985,5.90402018345682,0.00945915604013457,0.0239216,0.038842885,0.048457596,1.859891,0,0.821778015213042,2.46322474505569,1.5460165941371,0.0500000000000001,0.0462551284149269,80.3953114226615,79.1542174212825,23.0593607305936,81.2661870503597,38.0846325167038,23.4793187347932,30.4527694782809,0,69.5472305217191,3.93013100436681,91.6341071018157,4.43576189381751
path_closed_loop_long_updown_theta10_v1_d1_seed21,path_closed_loop_long_updown_theta10_v1,1,21,1,0.35,GRU,all,0,44,44,4351,0.0631603579802643,0.183821419995083,1.71697642445148,0.0828559796282367,0.259138962973622,0.125934191693559,0.213856778901757,0.0729312604250779,0.351324306851905,1.30598813485958,2.39362035366168,196.636439341391,286.695941411223,0,0,0.153855098919168,1.09253642594994,1.1261778901402,0,0,2.58246351382185,1.60688274421808,0.0197828247733431,0.0133419,0.0208616,0.025235133,0.3484945,0,0.742351028912135,1.91852800000001,0.977896234412074,0.0721693980729604,0.0374932626419888,88.1406573201563,52.7924615031027,22.4885844748858,90.8201438848921,0,0,22.9372558032636,0,77.0627441967364,26.2008733624454,73.7991266375546,0
path_closed_loop_long_updown_theta10_v1_d1_seed21,path_closed_loop_long_updown_theta10_v1,1,21,1,0.35,TCN,all,0,44,44,4351,0.0501766251922386,0.12270028842361,1.3282912176068,0.0561071954761311,0.173519781305118,0.16722124300567,0.266188999313021,0.0569800241244017,0.284819569493978,0.978422762450121,1.69965546030909,198.268522760213,587.475073573056,0,0,0.11900462382733,0.883551393188215,0.620547000689497,0,0,49.5854789617937,7.04167855138811,0.0155608712603926,0.0106221,0.015372045,0.019994492,0.3666171,0,0.627952329977535,2.24398438120159,3.0786296003212,0.0500000000000001,0.0788399905973436,50.4251896115835,68.0533210756148,0,37.9280575539568,0,0,69.7081130774535,0,30.2918869225465,4.09101356010113,95.9089864398989,0
path_closed_loop_long_updown_theta10_v1_d2_seed21,path_closed_loop_long_updown_theta10_v1,2,21,1.5,0.7,ModernTCN,all,0,44,44,4351,0.0508654313607012,0.144425831906325,1.4019376473932,0.105240185886072,0.317755560247919,0.107645856407501,0.274688338848765,0.0761144874689712,0.257447033679426,1.48707385269835,2.53942700739974,203.318569678336,406.583120328059,0,0,0.122212615776314,0.576480976280068,0,0,0,46.7042339861161,6.83404009536668,0.0114000454692686,0.0232277,0.033391205,0.047286072,0.3582449,0,0.759208499851447,2.76159702328115,1.6006701910336,0.0500000000000001,0.0445480956499093,79.3380831992645,79.1082509767869,19.7488584474886,79.1079136690647,53.2293986636971,14.963503649635,32.8430245920478,0,67.1569754079522,5.49299011721443,91.6800735463112,2.82693633647437
path_closed_loop_long_updown_theta10_v1_d2_seed21,path_closed_loop_long_updown_theta10_v1,2,21,1.5,0.7,GRU,all,0,44,44,4351,0.082402806905276,0.239009929492639,2.29746953213931,0.115262894246572,0.363939474498262,0.145814470564226,0.270210818071415,0.0825816375905719,0.311139009972721,1.80469427364024,3.25261572417505,202.724322600713,291.600129849439,0,0,0.17942389588394,1.2855321437388,1.44794300160883,0,0,10.8562178566756,3.29479264925772,0.0236485744372864,0.0121056,0.017998155,0.023014683,0.0900948,0,0.99870129536577,2.62061967101306,1.12132112153524,0.0860821729485749,0.0363734678939908,88.7841875430935,51.620317168467,13.2420091324201,89.294964028777,0,0,26.0170075844633,0,73.9829924155367,25.3275109170306,74.6724890829694,0
path_closed_loop_long_updown_theta10_v1_d2_seed21,path_closed_loop_long_updown_theta10_v1,2,21,1.5,0.7,TCN,all,0,44,44,4351,0.0838311473381475,0.329988935077628,2.05054008303702,0.1279017979928,0.397985271197645,0.18537477275863,0.275421362951071,0.0858602421798442,0.36772077548108,1.52103947113583,2.66655414578765,221.815541303426,720.000000000874,1.95357389105953,1.76970811307745,0.199133732378092,1.44000000007732,2.57412089174902,0.643530222937256,0,1384.94517014145,37.2147468675329,0.0882367661161083,0.0109085,0.01759994,0.0354968809999999,0.3808553,0,0.659008867004401,2.20078848386155,3.97811242350601,0.0500000000000001,0.0892181403006824,38.1291657090324,69.2484486324983,0,22.5323741007194,0,0,82.0041369800046,0,17.9958630199954,2.29832222477591,97.7016777752241,0
path_closed_loop_sharp_turn_transition_theta10_v1_d0_seed0,path_closed_loop_sharp_turn_transition_theta10_v1,0,0,0,0,ModernTCN,all,0,52,52,5151,0.0376599158553922,0.10387850214626,1.14884713136075,0.0317757205506566,0.081851285585075,0.0663822453477951,0.157851761279854,0.0500431562167017,0.195755965557379,0.347437814712547,0.751763619937987,157.804225068851,320.162722614888,0,0,0.126619009912231,0.795612704929521,0.62123859444768,0,0,25.1040713844366,5.01037999908799,0.0127925437502603,0.0245243,0.044478975,0.049634804,2.1765604,0,0.817630164537665,2.83061126711799,0.928606875612803,0.0231204871631957,0.0318145015377174,95.9619491360901,78.9943700252378,7.49375520399667,97.0126582278481,59.7033374536465,58.3460949464012,23.8594447680062,0,76.1405552319938,10.3280916326927,71.7142302465541,17.9576781207533
