disturbance_level,controller,case_count,overall_rank_mean,overall_rank_worst,overall_rank_sum_mean,ey_rmse_mean,ey_peak_worst,epsi_rmse_mean,xy_rmse_mean,j_du_mean,viol_rate_mean,theta_mae_deg_mean,main_acc_pct_mean,turn_acc_pct_mean
0,ModernTCN,2,1,1,18.5,0.0355469184754531,0.10387850214626,0.0262440213255794,0.331554484311082,19.6704227718905,0,0.796223947889813,94.5679660642528,78.2354061112169
0,GRU,2,2,2,23.5,0.0412558840499722,0.121807991488976,0.0420409358147317,0.571555895009439,1.51426429062764,0,0.34122042666376,89.0534874596873,69.1291174759452
0,TCN,2,3,3,36,0.0551964417664556,0.179386947625455,0.0691181458391067,0.927329873742253,353.042647761464,0,0.506021941117845,73.5493809767365,77.2204119569689
1,ModernTCN,2,1,1,21,0.0618243380831671,0.349053991302696,0.118477301599856,1.2880090207718,205.777477018079,0,0.862482529288343,84.9753687767549,71.22144961532
1,GRU,2,2.5,3,27,0.0764763056240461,0.331257594567804,0.114334022862338,1.38741121128461,307.312326383112,0,0.668207883702788,89.6731242337532,51.4107910311087
1,TCN,2,2.5,3,30,0.0686256501164708,0.380291467823512,0.110432771511977,1.4244246921982,669.075300905377,0,0.555337307148419,43.4614785176923,63.4966663619192
2,ModernTCN,2,1,1,20.5,0.0819161577952851,0.509897527414139,0.151940577602543,1.65873739953958,709.759315301423,0,0.789577290126397,82.7771759424783,70.6451757698922
2,GRU,2,2,2,26.5,0.116988256040168,0.534564801682278,0.161371357239755,1.88417040689658,292.18071075242,0,0.97518823782631,90.121078434719,50.9703216593645
2,TCN,2,3,3,31,0.0956503584081863,0.506458578555389,0.16574122517229,1.85974172403234,1101.80559179301,0,0.63258853378633,34.2363941532931,64.0942301403609
