phase,method,run_tag,status,promotable,can_enter_next_phase,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall,main_failure_reason,evidence_file,offline_safe,theta_raw_mae_deg,theta_sched_mae_deg,theta_sched_smoothness,low_conf_window_ratio,rate_limit_hit_ratio,theta_smooth_status,alpha_final,flat_theta_reg_lambda
E2_hard_sample_loss,transition_focal=0.5;stall_focal=0.2,fs_t05_s02_sm000_seed21,PASS_negative_not_eligible,false,false,0.9566907273736813,0.4838978345363687,0.5067064083457526,0.954511821269989,3.753903388977051,8.250229835510254,0.9312169312169312,0.6979166666666666,0.9727272727272728,"acc_main >= 0.963963, actual 0.956691; acc_turn >= 0.573845, actual 0.483898; theta_mae_deg <= 0.689395, actual 0.954512; flat_recall >= 0.959577, actual 0.931217; theta_edge_p95_abs_err <= 2.755057, actual 3.753903; flat_peak_theta_error <= 5.335740, actual 8.250230",results/modern_tcn_sci_innovation/02_hard_sample_loss/hard_sample_loss_master_table.csv,,,,,,,disabled_contract_limited,,
E3_physics_group_gate,physics_group_gate_alpha_init=0.1,pg_alpha01_seed21,PASS_negative_not_eligible,false,false,0.9658523042754026,0.578012215435869,0.5126676602086438,0.635008692741394,3.253798246383667,5.831337928771973,0.9695767195767195,0.6354166666666666,0.9763636363636363,"stall_recall >= 0.668750, actual 0.635417; theta_edge_p95_abs_err <= 2.755057, actual 3.253798; flat_peak_theta_error <= 5.335740, actual 5.831338",results/modern_tcn_sci_innovation/03_physics_group_gate/physics_group_gate_master_table.csv,,,,,,,,0.3643222153186798,
E3_physics_group_gate,physics_group_gate_alpha_init=0.0,pg_alpha0_seed21,PASS_negative_not_eligible,false,false,0.9572459744586341,0.5777345918933926,0.5081967213114754,0.6577229499816895,3.4221646785736084,6.597940444946289,0.9206349206349206,0.6354166666666666,0.9785454545454545,"acc_main >= 0.963963, actual 0.957246; flat_recall >= 0.959577, actual 0.920635; stall_recall >= 0.668750, actual 0.635417; theta_edge_p95_abs_err <= 2.755057, actual 3.422165; flat_peak_theta_error <= 5.335740, actual 6.597940",results/modern_tcn_sci_innovation/03_physics_group_gate/physics_group_gate_master_table.csv,,,,,,,,0.20843319594860077,
E4_mode_conditioned_theta,mode_theta_detach_flatreg=0.01,mode_theta_detach_flatreg001_seed21,PASS_negative_not_safe_eligible,false,false,0.9697390338700722,0.5813436979455858,0.4828614008941878,0.6164333820343018,2.6512889862060547,6.068907737731934,0.966931216931217,0.6666666666666666,0.9810909090909091,"stall_recall >= 0.668750, actual 0.666667; acc_turn_transition >= 0.487765, actual 0.482861; flat_peak_theta_error <= 5.635740, actual 6.068908",results/modern_tcn_sci_innovation/04_mode_conditioned_theta/mode_theta_master_table.csv,,,,,,,,,0.01
E4_mode_conditioned_theta,mode_theta_detach_flatreg=0.03,mode_theta_detach_flatreg003_seed21,PASS_negative_not_safe_eligible,false,false,0.9583564686285397,0.579400333148251,0.4918032786885246,0.6668739914894104,2.8699493408203125,5.95268440246582,0.9365079365079365,0.7083333333333334,0.9730909090909091,"acc_main >= 0.963963, actual 0.958356; flat_recall >= 0.959577, actual 0.936508; flat_peak_theta_error <= 5.635740, actual 5.952684",results/modern_tcn_sci_innovation/04_mode_conditioned_theta/mode_theta_master_table.csv,,,,,,,,,0.03
E4_mode_conditioned_theta,mode_theta_detach_flatreg=0.0,mode_theta_detach_flatreg000_seed21,PASS_negative_not_safe_eligible,false,false,0.970294280955025,0.5874514158800667,0.5067064083457526,0.6515087485313416,3.6929423809051514,6.434471607208252,0.9682539682539683,0.6979166666666666,0.9803636363636363,"flat_peak_theta_error <= 5.635740, actual 6.434472; theta_edge_p95_abs_err <= 3.055057, actual 3.692942",results/modern_tcn_sci_innovation/04_mode_conditioned_theta/mode_theta_master_table.csv,,,,,,,,,0.0
E5_confidence_scheduling,confidence_scheduling_main_conf_c=0.6_d=0.2,cs_main_c06_d02,PASS_offline_safety_failed,false,false,,,,,9.725618834793568,9.631826210021973,,,,theta_sched_mae_deg 1.294800 > raw+0.010 0.689395; flat_peak_theta_error 9.631826 > raw+0.300 5.635740; theta_edge_p95_abs_err 9.725619 > raw+0.300 2.493127,results/modern_tcn_sci_innovation/05_confidence_scheduling/confidence_scheduling_master_table.csv,False,0.6793947954610611,1.2948003058541557,0.0388555635562966,0.009439200444197668,0.11438089950027762,,,
E5_confidence_scheduling,confidence_scheduling_main_turn_conf_c=0.6_d=0.1,cs_mainturn_c06_d01,PASS_offline_safety_failed,false,false,,,,,9.825618834793568,9.731826210021973,,,,theta_sched_mae_deg 1.307092 > raw+0.010 0.689395; flat_peak_theta_error 9.731826 > raw+0.300 5.635740; theta_edge_p95_abs_err 9.825619 > raw+0.300 2.493127,results/modern_tcn_sci_innovation/05_confidence_scheduling/confidence_scheduling_master_table.csv,False,0.6793947954610611,1.3070920024824109,0.008565273953840914,0.15935591338145474,0.10105496946141032,,,
E5_confidence_scheduling,confidence_scheduling_main_conf_c=0.7_d=0.1,cs_main_c07_d01,PASS_offline_safety_failed,false,false,,,,,9.825618834793568,9.731826210021973,,,,theta_sched_mae_deg 1.305653 > raw+0.010 0.689395; flat_peak_theta_error 9.731826 > raw+0.300 5.635740; theta_edge_p95_abs_err 9.825619 > raw+0.300 2.493127,results/modern_tcn_sci_innovation/05_confidence_scheduling/confidence_scheduling_master_table.csv,False,0.6793947954610611,1.3056532780437453,0.009810115570348305,0.01526929483620211,0.11549139367018323,,,
E5_confidence_scheduling,confidence_scheduling_main_conf_c=0.6_d=0.1,cs_main_c06_d01,PASS_offline_safety_failed,false,false,,,,,9.825618834793568,9.731826210021973,,,,theta_sched_mae_deg 1.305653 > raw+0.010 0.689395; flat_peak_theta_error 9.731826 > raw+0.300 5.635740; theta_edge_p95_abs_err 9.825619 > raw+0.300 2.493127,results/modern_tcn_sci_innovation/05_confidence_scheduling/confidence_scheduling_master_table.csv,False,0.6793947954610611,1.3056532780437453,0.009880209028292232,0.009439200444197668,0.11632426429761243,,,
E5_confidence_scheduling,rate_limit_only_delta=0.1,rate_limit_only_d01,PASS_offline_safety_failed,false,false,,,,,9.825618834793568,9.731826210021973,,,,theta_sched_mae_deg 1.305625 > raw+0.010 0.689395; flat_peak_theta_error 9.731826 > raw+0.300 5.635740; theta_edge_p95_abs_err 9.825619 > raw+0.300 2.493127,results/modern_tcn_sci_innovation/05_confidence_scheduling/confidence_scheduling_master_table.csv,False,0.6793947954610611,1.3056247694367364,0.009903594544540591,0.0,0.11660188784008883,,,
