epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.00019989930665413147,0.040972252797398835,0.11645677818830293,0.9118337310735363,0.7487846612930298,1.3575782775878906,0.41930821537971497,1.259161114692688,0.9836544074722708,0.819614711033275,0.650294695481336
2,0.00019959742939952392,0.03469673101504483,0.11643544460988782,1.0942488041075173,0.7611657381057739,1.5450267791748047,0.31212514638900757,1.5198479890823364,0.9836544074722708,0.819614711033275,0.650294695481336
3,0.00019909497617679348,0.03481421935321447,0.1153567725552221,0.6410239237665661,0.7392147779464722,1.2061620950698853,0.1910155862569809,1.1012789011001587,0.9836544074722708,0.819614711033275,0.650294695481336
4,0.00019839295885986296,0.034710766544661736,0.11508591527470495,0.6598626648842577,0.7093350887298584,1.2228337526321411,0.007726497016847134,1.171812653541565,0.9836544074722708,0.819614711033275,0.650294695481336
5,0.00019749279121818235,0.034608132042802484,0.1162017707501457,0.8510387586018477,0.7374127507209778,1.3430525064468384,-0.31238850951194763,1.3398463726043701,0.9836544074722708,0.819614711033275,0.650294695481336
6,0.00019639628606958533,0.0345997797513079,0.11527353365537513,0.7046109606741,0.6459906697273254,1.2615512609481812,-0.07795573770999908,1.2193946838378906,0.9836544074722708,0.819614711033275,0.650294695481336
7,0.00019510565162951537,0.034653832799890746,0.11554472447659492,0.8715551847327769,0.6910277009010315,1.3993195295333862,0.16397304832935333,1.4182865619659424,0.9836544074722708,0.819614711033275,0.650294695481336
8,0.00019362348706397373,0.0346162687216652,0.11532286688102593,0.696967042528367,0.7176510691642761,1.253348708152771,0.19657106697559357,1.2947474718093872,0.9836544074722708,0.819614711033275,0.650294695481336
9,0.0001919527772551451,0.03458931434020364,0.1152944890157006,0.693926307904924,0.7332584261894226,1.250448226928711,0.11248408257961273,1.2701398134231567,0.9836544074722708,0.819614711033275,0.650294695481336
10,0.0001900968867902419,0.03452484246940589,0.11544710670864798,0.6800285760047089,0.7152289152145386,1.2391903400421143,-0.1750798374414444,1.229217290878296,0.9836544074722708,0.819614711033275,0.650294695481336
11,0.0001880595531856738,0.03434192285658734,0.11531076803411995,0.694668328309757,0.7254778742790222,1.251247525215149,-0.12425857037305832,1.2244300842285156,0.9836544074722708,0.819614711033275,0.650294695481336
12,0.00018584487936018661,0.03412680848022995,0.11517319838710507,0.6215781424479899,0.7495879530906677,1.189850926399231,-0.023087799549102783,1.1490041017532349,0.9836544074722708,0.819614711033275,0.650294695481336
13,0.00018345732537213027,0.03408328446746678,0.11507951842280625,0.6203906683762539,0.7300892472267151,1.1894268989562988,-0.10645057260990143,1.1453397274017334,0.9836544074722708,0.819614711033275,0.650294695481336
14,0.00018090169943749476,0.0340783139819163,0.11501850200391832,0.6092975367363425,0.7181870341300964,1.1805310249328613,0.09798982739448547,1.1532357931137085,0.9836544074722708,0.819614711033275,0.650294695481336
15,0.000178183148246803,0.03412365611460313,0.11506614057696221,0.5961276712848808,0.7002434134483337,1.1699650287628174,0.09998469799757004,1.092295527458191,0.9836544074722708,0.819614711033275,0.650294695481336
16,0.00017530714660036112,0.03475964821806612,0.11633158347287237,0.7796532972767228,0.7245691418647766,1.285988688468933,-0.30575504899024963,1.2435927391052246,0.9836544074722708,0.819614711033275,0.650294695481336
17,0.00017227948638273916,0.03462104998935829,0.11690642518114779,0.8961927596944177,0.7635138034820557,1.354034185409546,-0.38860926032066345,1.335854411125183,0.9836544074722708,0.819614711033275,0.650294695481336
18,0.00016910626489868649,0.03430647927644318,0.1150330067489903,0.655980194886604,0.7310665845870972,1.2190991640090942,0.0644460916519165,1.1548726558685303,0.9836544074722708,0.819614711033275,0.650294695481336
19,0.00016579387259397124,0.03408536781416161,0.11543394869625116,0.710229830204684,0.731446385383606,1.2639635801315308,-0.11740873008966446,1.2713875770568848,0.9836544074722708,0.819614711033275,0.650294695481336
20,0.00016234898018587334,0.034403380966627234,0.11608556591918158,0.9445043935707647,0.7637519240379333,1.430818796157837,0.2810688018798828,1.4107016324996948,0.9836544074722708,0.819614711033275,0.650294695481336
21,0.0001587785252292473,0.03433460530450567,0.11528335760906991,0.7075388396853204,0.7511788010597229,1.2565760612487793,0.21433162689208984,1.1427925825119019,0.9836544074722708,0.819614711033275,0.650294695481336
22,0.00015508969814521023,0.03430857845073731,0.11499627740043544,0.601913104362512,0.7251652479171753,1.174221396446228,-0.0904533788561821,1.121657371520996,0.9836544074722708,0.819614711033275,0.650294695481336
23,0.0001512899277405906,0.03411078441129742,0.11529419236254845,0.6402875977033023,0.7861125469207764,1.2044281959533691,-0.18247807025909424,1.1612330675125122,0.9836544074722708,0.819614711033275,0.650294695481336
24,0.00014738686624729983,0.03417589614667838,0.11533174753815405,0.685620996956972,0.7754166126251221,1.2424421310424805,0.04063553363084793,1.2572120428085327,0.9836544074722708,0.819614711033275,0.650294695481336
25,0.00014338837391175577,0.03397524519671167,0.11501391651299149,0.5874947476578836,0.7156002521514893,1.1624305248260498,0.1370343416929245,1.0896577835083008,0.9836544074722708,0.819614711033275,0.650294695481336
26,0.00013930250316539233,0.03399376615168888,0.11517283916734354,0.6396454155457714,0.7540013790130615,1.1955299377441406,0.22780103981494904,1.0775648355484009,0.9836544074722708,0.819614711033275,0.650294695481336
27,0.00013513748240813424,0.03426606847901349,0.1153711533153259,0.7503469889949393,0.7682614922523499,1.2791975736618042,0.2519867718219757,1.1945109367370605,0.9836544074722708,0.819614711033275,0.650294695481336
28,0.0001309016994374947,0.034087047547053634,0.11515715670425573,0.5812261528939324,0.7534040212631226,1.156142234802246,-0.14272013306617737,1.1515116691589355,0.9836544074722708,0.819614711033275,0.650294695481336
29,0.00012660368455666746,0.034493155200583256,0.11617027100021214,0.7785272937611627,0.7969303131103516,1.269822120666504,-0.3464159369468689,1.2710614204406738,0.9836544074722708,0.819614711033275,0.650294695481336
30,0.0001222520933956314,0.03469332563906111,0.11545556898501208,0.7920709365154404,0.7379283308982849,1.3010586500167847,0.2927773594856262,1.2250170707702637,0.9836544074722708,0.819614711033275,0.650294695481336
31,0.00011785568947986363,0.034594591632263826,0.11510603588729036,0.6417435745574358,0.7226756811141968,1.2073842287063599,-0.05083729326725006,1.197001338005066,0.9836544074722708,0.819614711033275,0.650294695481336
32,0.00011342332658176551,0.03456089915428235,0.11509842586513855,0.604742168901968,0.7645306587219238,1.1755096912384033,-0.07656081020832062,1.1498783826828003,0.9836544074722708,0.819614711033275,0.650294695481336
33,0.00010896393089034332,0.03451860891909382,0.1157220497475127,0.8630405667158454,0.7742327451705933,1.3460428714752197,0.3318597376346588,1.261508584022522,0.9836544074722708,0.819614711033275,0.650294695481336
34,0.00010448648303505147,0.03412840786297101,0.11505565343895505,0.6342114668931885,0.7404614686965942,1.20070481300354,0.1338321715593338,1.1736520528793335,0.9836544074722708,0.819614711033275,0.650294695481336
