model,seed,best_epoch,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,main_confidence_mean,main_low_conf_0p60_ratio,main_low_conf_0p70_ratio,turn_confidence_mean,turn_low_conf_0p60_ratio,turn_low_conf_0p70_ratio,turn_right_recall,turn_straight_recall,turn_left_recall,theta_mae_deg,theta_abs_le_8_mae_deg,theta_abs_le_8_rmse_deg,theta_abs_le_8_bias_deg,theta_abs_le_10_mae_deg,theta_abs_le_10_rmse_deg,theta_abs_le_10_bias_deg,theta_pos_6_8_mae_deg,theta_pos_6_8_rmse_deg,theta_pos_6_8_bias_deg,theta_pos_6_8_n,theta_neg_8_6_mae_deg,theta_neg_8_6_rmse_deg,theta_neg_8_6_bias_deg,theta_neg_8_6_n,theta_flat_abs_p95_deg,theta_flat_bias_deg,theta_near_flat_abs_p95_deg,theta_near_flat_bias_deg,theta_flat_turn_abs_p95_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,checkpoint_file,onnx_file,report_file
ModernTCN-small,11,18,0.9709302325581395,0.9207188160676533,0.9382990550305725,0.5806451612903226,0.9858592904602138,0.0047568710359408035,0.01427061310782241,0.9368062648979171,0.021141649048625793,0.054439746300211415,0.9298245614035088,0.9393442622950819,0.8552971576227391,1.9115886688232422,1.9115885496139526,5.12397575378418,-1.3852745294570923,1.9115885496139526,5.12397575378418,-1.3852745294570923,2.145808219909668,2.594452381134033,-1.8850553035736084,68.0,1.0570024251937866,1.3196860551834106,-0.8310627937316895,55.0,9.179861068725586,-1.4257038831710815,9.797175407409668,-1.3512883186340332,5.227203845977783,0.9908326967150497,0.8269230769230769,0.935969868173258,0.8099173553719008,0.7314487632508834,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed11\modern_tcn_seed11.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed11\ModernTCN_train_report.md
ModernTCN-small,21,39,0.9661733615221987,0.9275898520084567,0.943301834352418,0.6236559139784946,0.9880930181420619,0.004228329809725159,0.011099365750528542,0.9536346088513671,0.0200845665961945,0.046511627906976744,0.9298245614035088,0.9459016393442623,0.8682170542635659,1.038273811340332,1.038273811340332,2.312354564666748,0.1292913258075714,1.038273811340332,2.312354564666748,0.1292913258075714,1.2845999002456665,1.5095155239105225,-1.0092177391052246,68.0,0.6660230755805969,0.8549287915229797,-0.5943410992622375,55.0,4.139725208282471,0.17834633588790894,4.854937553405762,0.21274906396865845,2.8722047805786133,0.9770817417876242,0.8846153846153846,0.9472693032015066,0.8236914600550964,0.7314487632508834,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed21\modern_tcn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed21\ModernTCN_train_report.md
ModernTCN-small,42,35,0.9778012684989429,0.9334038054968288,0.9488604780433574,0.6344086021505376,0.9916172340511654,0.006342494714587738,0.012156448202959831,0.9479523667265203,0.02536997885835095,0.052854122621564484,0.9228070175438596,0.9581967213114754,0.8630490956072352,1.156435489654541,1.1564353704452515,1.6507046222686768,-0.5637611746788025,1.1564353704452515,1.6507046222686768,-0.5637611746788025,1.7810182571411133,2.042881965637207,1.0641409158706665,68.0,0.6997464895248413,0.891339123249054,-0.4208281636238098,55.0,3.3356549739837646,-0.8251846432685852,3.6976587772369385,-0.7786893248558044,3.1975607872009277,0.9908326967150497,0.9038461538461539,0.9529190207156308,0.8236914600550964,0.7455830388692579,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed42\modern_tcn_seed42.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed42\ModernTCN_train_report.md
ModernTCN-small,73,29,0.9725158562367865,0.9307610993657506,0.9455252918287937,0.6451612903225806,0.9906991810160138,0.004228329809725159,0.011627906976744186,0.9447068132643531,0.02536997885835095,0.0459830866807611,0.9087719298245615,0.9565573770491803,0.8656330749354005,1.1464123725891113,1.1464124917984009,2.444693088531494,-0.46989932656288147,1.1464124917984009,2.444693088531494,-0.46989932656288147,1.2954282760620117,1.5140043497085571,0.6115440130233765,68.0,0.733484148979187,0.8689945340156555,-0.1364772915840149,55.0,5.212220668792725,-0.577892005443573,5.987853050231934,-0.4793330430984497,3.699699878692627,0.9923605805958747,0.8846153846153846,0.9322033898305084,0.8126721763085399,0.7208480565371025,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed73\modern_tcn_seed73.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed73\ModernTCN_train_report.md
ModernTCN-small,101,44,0.9730443974630021,0.9323467230443975,0.9466370205669816,0.6559139784946236,0.994967425094198,0.004228329809725159,0.005813953488372093,0.9522290046101958,0.022727272727272728,0.045454545454545456,0.9403508771929825,0.9516393442622951,0.8656330749354005,1.4445734024047852,1.4445734024047852,3.831589698791504,0.8075345158576965,1.4445734024047852,3.831589698791504,0.8075345158576965,0.6908068060874939,1.3207908868789673,-0.1538267582654953,68.0,1.6213802099227905,1.8652993440628052,1.621193766593933,55.0,7.305659770965576,0.762423574924469,9.184871673583984,0.850068986415863,3.230102062225342,0.9969442322383499,0.8653846153846154,0.9246704331450094,0.8209366391184573,0.6819787985865724,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed101\modern_tcn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_v6_longrun_diag2steer_seed101\ModernTCN_train_report.md
