model,seed,best_epoch,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,main_confidence_mean,main_low_conf_0p60_ratio,main_low_conf_0p70_ratio,turn_confidence_mean,turn_low_conf_0p60_ratio,turn_low_conf_0p70_ratio,turn_right_recall,turn_straight_recall,turn_left_recall,theta_mae_deg,theta_abs_le_8_mae_deg,theta_abs_le_8_rmse_deg,theta_abs_le_8_p95_abs_err_deg,theta_abs_le_8_max_abs_err_deg,theta_abs_le_8_bias_deg,theta_abs_le_10_mae_deg,theta_abs_le_10_rmse_deg,theta_abs_le_10_p95_abs_err_deg,theta_abs_le_10_max_abs_err_deg,theta_abs_le_10_bias_deg,theta_pos_8_10_mae_deg,theta_pos_8_10_rmse_deg,theta_pos_8_10_p95_abs_err_deg,theta_pos_8_10_max_abs_err_deg,theta_pos_8_10_bias_deg,theta_pos_8_10_n,theta_neg_10_8_mae_deg,theta_neg_10_8_rmse_deg,theta_neg_10_8_p95_abs_err_deg,theta_neg_10_8_max_abs_err_deg,theta_neg_10_8_bias_deg,theta_neg_10_8_n,theta_pos_6_8_mae_deg,theta_pos_6_8_rmse_deg,theta_pos_6_8_p95_abs_err_deg,theta_pos_6_8_max_abs_err_deg,theta_pos_6_8_bias_deg,theta_pos_6_8_n,theta_neg_8_6_mae_deg,theta_neg_8_6_rmse_deg,theta_neg_8_6_p95_abs_err_deg,theta_neg_8_6_max_abs_err_deg,theta_neg_8_6_bias_deg,theta_neg_8_6_n,theta_active_abs_ge_2_mae_deg,theta_active_abs_ge_2_p95_abs_err_deg,theta_neg_4_2_mae_deg,theta_neg_4_2_p95_abs_err_deg,theta_neg_4_2_bias_deg,theta_neg_2_0p5_mae_deg,theta_neg_2_0p5_p95_abs_err_deg,theta_neg_2_0p5_bias_deg,theta_pos_0p5_2_mae_deg,theta_pos_0p5_2_p95_abs_err_deg,theta_pos_0p5_2_bias_deg,theta_flat_abs_p95_deg,theta_flat_abs_max_deg,theta_flat_bias_deg,theta_near_flat_abs_p95_deg,theta_near_flat_abs_max_deg,theta_near_flat_bias_deg,theta_true_zero_mae_deg,theta_true_zero_abs_p95_deg,theta_true_zero_abs_max_deg,theta_true_zero_bias_deg,theta_flat_turn_abs_p95_deg,theta_flat_turn_abs_max_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,checkpoint_file,onnx_file,report_file,run_tag
ModernTCN-small,11,135,0.979373158317707,0.8931154567372087,0.9161976235146967,0.7551401869158878,0.9957020378556266,0.0024109295472810074,0.005089740155371015,0.9606555208194242,0.024645057594428074,0.048486472006429145,0.9003690036900369,0.8976234003656307,0.8715846994535519,0.2700086832046509,0.25503548979759216,0.43486496806144714,0.7966193556785583,7.640803337097168,0.05197253078222275,0.2700086534023285,0.4516344368457794,0.83059161901474,7.640803337097168,0.02616157941520214,0.34292489290237427,0.5098915100097656,1.1337865591049194,2.312105894088745,-0.22251594066619873,341.0,0.31457409262657166,0.5118374228477478,0.7963755130767822,2.787339925765991,0.052633073180913925,406.0,0.15719790756702423,0.23388245701789856,0.5044089555740356,1.1106215715408325,0.06601855903863907,300.0,0.2951972782611847,0.6152327656745911,0.822674572467804,7.640803337097168,0.07037714868783951,395.0,0.2742265462875366,0.8689457178115845,0.20423279702663422,0.5023725032806396,-0.031652309000492096,0.21856789290905,0.5324811339378357,-0.007435321807861328,0.385659396648407,1.2154701948165894,0.14824505150318146,2.1046676635742188,4.058157920837402,0.03874289244413376,1.0165860652923584,6.362360954284668,0.15099996328353882,nan,nan,nan,nan,0.8672752380371094,1.0554858446121216,0.9669749009247027,0.6153846153846154,0.9975515914655474,0.804905875641757,0.7863660762211487,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed11\modern_tcn_seed11.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed11\ModernTCN_train_report.md,modern_tcn_theta10_uniform_h0_v2_seed11
ModernTCN-small,21,158,0.980712563621752,0.9022234128047147,0.9233896185115698,0.7757009345794392,0.9953328690042883,0.0024109295472810074,0.005357621216180016,0.9687160727410542,0.017680150013394052,0.0334851326011251,0.8769987699876999,0.9209323583180987,0.8743169398907104,0.2518547475337982,0.24598118662834167,0.4374659061431885,0.8331584334373474,7.441193580627441,0.09012973308563232,0.2518547475337982,0.43939706683158875,0.819361686706543,7.441193580627441,0.08043539524078369,0.31288185715675354,0.42111653089523315,0.7921652793884277,1.7105149030685425,-0.07219526916742325,341.0,0.24210353195667267,0.46717026829719543,0.6370790600776672,2.787081241607666,0.14012503623962402,406.0,0.1731516569852829,0.22150996327400208,0.3607410192489624,0.9462313055992126,-0.06291287392377853,300.0,0.2573848068714142,0.6040526628494263,0.574346661567688,7.441193580627441,0.13460318744182587,395.0,0.25153183937072754,0.8333659172058105,0.21852447092533112,0.6480319499969482,-0.014285561628639698,0.2559186816215515,0.6320169568061829,-0.025362156331539154,0.34526726603507996,1.2935667037963867,0.21226637065410614,2.22318172454834,4.134258270263672,0.08001476526260376,1.2416744232177734,6.231029033660889,0.20336544513702393,nan,nan,nan,nan,0.6039579510688782,1.0859239101409912,0.9656538969616909,0.6923076923076923,0.9965022735222105,0.8106103822019395,0.7804616210413312,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed21\modern_tcn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed21\ModernTCN_train_report.md,modern_tcn_theta10_uniform_h0_v2_seed21
ModernTCN-small,42,68,0.9788373961960889,0.8722207339941066,0.8989993746091307,0.7121495327102804,0.9939842969143607,0.0021430484864720066,0.0034824537905170103,0.920201877037132,0.046879185641575144,0.09536565764800428,0.8290282902829028,0.8893967093235832,0.8688524590163934,0.3428342044353485,0.34766122698783875,0.5154353976249695,0.9456398487091064,7.10577392578125,-0.09436636418104172,0.3428341746330261,0.5216503143310547,0.9798582196235657,7.10577392578125,-0.09893785417079926,0.36441317200660706,0.5614832639694214,1.1387051343917847,2.815098285675049,-0.29105183482170105,341.0,0.29059940576553345,0.5304988622665405,1.2813998460769653,2.7007694244384766,0.03011453151702881,406.0,0.2897840142250061,0.34680280089378357,0.620508074760437,0.9832996129989624,-0.17614129185676575,300.0,0.41466158628463745,0.677646279335022,1.0433220863342285,7.10577392578125,-0.15099844336509705,395.0,0.3393244743347168,0.9427087306976318,0.33831676840782166,0.9036099910736084,-0.2192808836698532,0.3296964466571808,0.8189594149589539,-0.019686885178089142,0.4322761595249176,1.6898027658462524,0.07687805593013763,2.2194581031799316,4.207809925079346,0.003734901314601302,1.2243454456329346,6.0087738037109375,0.11940360069274902,nan,nan,nan,nan,1.1047474145889282,1.2437697649002075,0.9682959048877147,0.7008547008547008,0.9930045470444211,0.8043354249857387,0.7799248523886205,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed42\modern_tcn_seed42.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed42\ModernTCN_train_report.md,modern_tcn_theta10_uniform_h0_v2_seed42
ModernTCN-small,73,68,0.979641039378516,0.8722207339941066,0.8980612883051907,0.7177570093457943,0.9957443558024409,0.0008036431824270024,0.0034824537905170103,0.9160391683230454,0.04714706670238414,0.0977765871952853,0.8720787207872078,0.8651736745886655,0.8934426229508197,0.32807186245918274,0.30978071689605713,0.4797564744949341,0.8539385795593262,7.544318199157715,-0.045939404517412186,0.32807186245918274,0.5081784725189209,0.9201270937919617,7.544318199157715,-0.07967796921730042,0.4097524583339691,0.6107882261276245,1.3412604331970215,3.0535647869110107,-0.350338339805603,341.0,0.3887224495410919,0.6001929640769958,1.2732417583465576,2.9593303203582764,-0.09076360613107681,406.0,0.19451738893985748,0.2580505609512329,0.48667672276496887,1.5731230974197388,-0.10122896730899811,300.0,0.37435197830200195,0.6887226700782776,1.0919843912124634,7.544318199157715,-0.07734706252813339,395.0,0.3384949266910553,0.9543790817260742,0.33316370844841003,0.8263383507728577,-0.24737045168876648,0.24666276574134827,0.7177155017852783,-0.012442001141607761,0.3704105317592621,0.9866873621940613,0.15153756737709045,2.1760692596435547,3.9345703125,0.04254356026649475,1.3053723573684692,5.919585227966309,0.13481462001800537,nan,nan,nan,nan,0.8561411499977112,1.1366149187088013,0.9630118890356671,0.6666666666666666,0.9968520461699895,0.8123217341699943,0.7804616210413312,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed73\modern_tcn_seed73.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed73\ModernTCN_train_report.md,modern_tcn_theta10_uniform_h0_v2_seed73
ModernTCN-small,101,108,0.9742834181623359,0.8957942673452987,0.9202626641651032,0.7495327102803738,0.9942029378410182,0.0032145727297080095,0.006429145459416019,0.9498196052906365,0.025448700776855078,0.057594428073935174,0.8954489544895449,0.8944241316270567,0.9002732240437158,0.2820329964160919,0.2723299562931061,0.46091848611831665,0.8595596551895142,7.709791660308838,0.0444164015352726,0.2820329964160919,0.47512921690940857,0.9187337756156921,7.709791660308838,0.04323051497340202,0.37389522790908813,0.5593175292015076,1.2384233474731445,2.345447063446045,-0.03491188958287239,341.0,0.27344414591789246,0.4965883791446686,0.8237777352333069,2.7943224906921387,0.10048241168260574,406.0,0.1993640810251236,0.2724054455757141,0.48278939723968506,2.0681674480438232,-0.07671552896499634,300.0,0.2906217873096466,0.6416914463043213,0.9741455316543579,7.709791660308838,0.08528633415699005,395.0,0.2840331792831421,0.9327231645584106,0.23484115302562714,0.7028253674507141,-0.065335214138031,0.23687945306301117,0.8427686095237732,0.12940141558647156,0.36947935819625854,1.2914893627166748,0.28449589014053345,2.12088942527771,4.188134670257568,0.1820283681154251,1.0127062797546387,5.854071140289307,0.28237637877464294,nan,nan,nan,nan,0.7022517323493958,0.7969796061515808,0.9577278731836195,0.6495726495726496,0.9919552291010842,0.8077581289218483,0.7793880837359098,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed101\modern_tcn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed101\ModernTCN_train_report.md,modern_tcn_theta10_uniform_h0_v2_seed101
