epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.0009998286624877785,gradnorm,0.9589264777115046,1.918292317137152,0.7385980495903004,0.20363937482581293,0.016908731341873158,0.7385980495903004,1.018196858535539,0.020044136653221606,0.7357783618734719,0.5279779980082635,0.20363502352824875,0.004165337180544865,0.5279779980082635,1.0181751067325453,0.00533138311673485,8.232350174089346,0.8127198917456022,0.4167794316644114,0.7386493677688171,0.48118550650617026,0.22056833558863329,0.872530446549391,0.6202804746494067,0.5876777251184834,0.30745341614906835,3.096198320388794,8.783036231994629,9.194396018981934,7.301775932312012,8.898052215576172,10.307297706604004,8.08777904510498,9.488970756530762,4.850846767425537,7.863547325134277,2.1982264518737793,8.925261497497559,nan,0.5753424657534246,0.0,0.8761682242990654,nan,nan,nan,nan,nan,nan,0.9993330240249634,1.0013337135314941,0.9993330240249634,1.4583369493484497,0.21649618446826935,0.197836771607399,0.3940587043762207,0.019426822662353516,0.6328231692314148,0.6586854457855225,0.0
2,0.0009993147673772868,gradnorm,0.5735294025976649,1.1472063911639812,0.3761074844989163,0.19209581465962447,0.005399890793284025,0.3761074844989163,0.9604790579660365,0.006901430590730144,0.5121659140948192,0.3118156606273496,0.19771272767945136,0.002637526099992278,0.3118156606273496,0.9885636183341237,0.0035451167337445188,5.708305689394533,0.912043301759134,0.4322056833558863,0.8616619542914221,0.5258360252057998,0.11204330175913396,0.7656292286874155,0.697950377562028,0.5971563981042654,0.33540372670807456,2.62919020652771,6.917666912078857,8.08049488067627,6.047308444976807,6.741678714752197,8.659759521484375,6.119932174682617,5.944687366485596,4.277190685272217,5.380195617675781,0.805313229560852,6.130423069000244,nan,0.9421613394216134,0.21428571428571427,0.9152202937249666,nan,nan,nan,nan,nan,nan,0.9985878467559814,1.0023930072784424,0.9990191459655762,1.4583369493484497,0.21649618446826935,0.197836771607399,0.40832391381263733,0.02944713830947876,0.06218485161662102,0.8117239475250244,0.0
3,0.000998458666866564,gradnorm,0.43581079393111394,0.8715887143590416,0.2454303269129107,0.18608504421709238,0.004278985808770641,0.2454303269129107,0.9304252013377496,0.005516161562482641,0.48565271244320074,0.2851026418486532,0.1975580377169004,0.0029920302483937497,0.2851026418486532,0.987790173235701,0.0040560332060122365,6.196951441497575,0.9196211096075778,0.46711772665764545,0.9101198094459482,0.5511814133937502,0.0774018944519621,0.6876860622462787,0.6138079827400216,0.6007109004739336,0.3385093167701863,2.858480453491211,6.988376617431641,8.056425094604492,6.571445465087891,6.978951930999756,6.947550296783447,6.754105567932129,5.536479949951172,6.324714660644531,6.642447471618652,-1.0273947715759277,6.9026689529418945,nan,0.7792998477929984,0.21428571428571427,0.9602803738317757,nan,nan,nan,nan,nan,nan,0.9976339340209961,1.0032182931900024,0.9991477131843567,1.4583369493484497,0.21649618446826935,0.197836771607399,1.1837842464447021,0.03712090104818344,0.03354954719543457,2.531712055206299,0.0
4,0.0009972609476841365,gradnorm,0.38214187579086023,0.7641868560945528,0.1968282517799629,0.18165522913414536,0.0036099459076695465,0.1968282517799629,0.9082761312311419,0.0047533112708025025,0.5381214060705957,0.33445184789749216,0.2020832406893796,0.0015863213983978144,0.33445184789749216,1.0104161901628859,0.0021326678800642367,5.32410326389154,0.8936400541271989,0.4110960757780785,0.9145773499635834,0.5649181718247928,0.039512855209742896,0.6232746955345061,0.5997842502696872,0.6338862559241706,0.32298136645962733,1.9803286790847778,5.399726867675781,6.361545085906982,6.083420753479004,5.292582035064697,5.340324401855469,6.116581916809082,3.6611311435699463,4.341788291931152,5.064958095550537,-0.4171229600906372,5.922295570373535,nan,0.6879756468797564,0.23809523809523808,0.9479305740987984,nan,nan,nan,nan,nan,nan,0.9965581893920898,1.004002332687378,0.9994393587112427,1.4583369493484497,0.21649618446826935,0.197836771607399,0.9514938592910767,0.05018096789717674,0.02551901340484619,2.246493339538574,0.0
5,0.000995722430686905,gradnorm,0.35720935041454843,0.7143630128466749,0.177378040080466,0.17705711704343638,0.0027463482418368292,0.177378040080466,0.8852855683389957,0.0035690041194979855,0.42047939109382837,0.21946765215858233,0.19957580226038726,0.0014359346459555428,0.21946765215858233,0.9978790051075699,0.002092099382891162,4.596297654937648,0.9420838971583221,0.4489851150202977,0.9489039697577212,0.5690370980755985,0.015696887686062245,0.6224627875507442,0.6623516720604099,0.6030805687203792,0.33695652173913043,1.9925391674041748,5.1276984214782715,5.637196063995361,5.47532320022583,5.016208171844482,4.908936977386475,5.562156677246094,4.5227885246276855,4.146458625793457,4.954433917999268,1.4809226989746094,5.605462074279785,nan,0.958904109589041,0.3333333333333333,0.9469292389853138,nan,nan,nan,nan,nan,nan,0.9954047203063965,1.0047600269317627,0.9998352527618408,1.4583369493484497,0.21649618446826935,0.197836771607399,1.0696076154708862,0.06037505343556404,0.02539467066526413,2.610459327697754,0.0
6,0.0009938441702975688,gradnorm,0.3444846578010436,0.689002292339696,0.1685711090237225,0.1736203577380495,0.002309678466822683,0.1685711090237225,0.8681017767893322,0.002860678492163644,0.4278748973538653,0.22844340359245166,0.1972939917578265,0.0021375065981328527,0.22844340359245166,0.98646994595276,0.0031247761164803225,6.163315855641785,0.9420838971583221,0.46576454668470907,0.950066634492932,0.5888773132839513,0.011637347767253045,0.5780784844384304,0.7335490830636462,0.6125592417061612,0.38509316770186336,2.4310643672943115,6.655802249908447,5.86611795425415,5.30368185043335,6.789971828460693,5.815851211547852,5.426615238189697,6.8560590744018555,10.412760734558105,10.29971694946289,2.8120229244232178,7.866160869598389,nan,0.954337899543379,0.3333333333333333,0.9479305740987984,nan,nan,nan,nan,nan,nan,0.9942212104797363,1.0055062770843506,1.000272512435913,1.4583369493484497,0.21649618446826935,0.197836771607399,0.8222763538360596,0.11661306768655777,0.015530332922935486,1.9891951084136963,0.0
7,0.0009916274537819772,gradnorm,0.3347082238923155,0.669566489836793,0.16252625248913785,0.17024795649196486,0.002009034306021376,0.16252625248913785,0.8512397666355105,0.0025925645290044157,0.446986605979109,0.24189035645679788,0.20330324352029536,0.0017930078570994375,0.24189035645679788,1.0165162083099273,0.0025846551166134046,5.025297200714623,0.918809201623816,0.4665764546684709,0.9228293842174077,0.6010509841845446,0.07604871447902571,0.5388362652232747,0.7249190938511327,0.5248815165876777,0.37422360248447206,2.3444974422454834,5.682497978210449,7.105655193328857,6.026461601257324,5.390768527984619,6.288981914520264,6.03540563583374,4.735029220581055,4.537374973297119,5.325681686401367,1.182993769645691,4.731384754180908,nan,0.9421613394216134,0.47619047619047616,0.9198931909212283,nan,nan,nan,nan,nan,nan,0.9930315017700195,1.006195306777954,1.0007731914520264,1.4583369493484497,0.21649618446826935,0.197836771607399,2.3875772953033447,0.1666688323020935,0.02366490848362446,5.699959754943848,0.0
8,0.0009890738003669026,gradnorm,0.3143146030049956,0.6287209830704441,0.14622726570031655,0.1663190396369077,0.001814187741118873,0.14622726570031655,0.831595186414343,0.002357492394515125,0.4306816712364615,0.23303064805567666,0.1954133428240016,0.0022376815877295274,0.23303064805567666,0.9770666946416294,0.003196873304563926,5.44284481083858,0.9374830852503383,0.4741542625169147,0.9334507582966894,0.6016231511769972,0.06549391069012178,0.5623815967523681,0.6548004314994607,0.6279620853080569,0.36490683229813664,2.6678826808929443,6.164960861206055,7.767825603485107,6.000960826873779,6.062583923339844,7.515223503112793,6.13924503326416,3.0318524837493896,5.645608425140381,6.248313903808594,0.4030573070049286,6.638443470001221,nan,0.8097412480974124,0.47619047619047616,0.9719626168224299,nan,nan,nan,nan,nan,nan,0.9919043779373169,1.0068193674087524,1.0012762546539307,1.4583369493484497,0.21649618446826935,0.197836771607399,4.962010860443115,0.11361022293567657,0.02413048781454563,11.507015228271484,0.0
9,0.000986184960198838,gradnorm,0.30125426615573325,0.6026157654596043,0.13691253306893963,0.1627242793806582,0.001671071649424295,0.13691253306893963,0.8136213842793597,0.002136979057696475,0.4039027657576601,0.20588740517709186,0.1967028675931071,0.0013124856086200827,0.20588740517709186,0.9835143193824365,0.0017525255666536572,4.643087537069859,0.933423545331529,0.5006765899864682,0.9420900450455367,0.5937428673746509,0.06197564276048714,0.5677943166441136,0.5685005393743258,0.6315165876777251,0.39751552795031053,1.7603920698165894,4.997381210327148,4.591119289398193,4.742020606994629,5.066926956176758,4.760307788848877,4.969014644622803,4.915938377380371,4.03339958190918,5.373153209686279,2.531118154525757,6.342812538146973,nan,0.806697108066971,0.5714285714285714,0.9662883845126836,nan,nan,nan,nan,nan,nan,0.9907140731811523,1.0074610710144043,1.0018248558044434,1.4583369493484497,0.21649618446826935,0.197836771607399,3.404893159866333,0.08567371219396591,0.028330864384770393,8.164054870605469,0.0
10,0.0009829629131445337,gradnorm,0.30138624446658474,0.6031045618503826,0.13996127273909256,0.1600801555521079,0.0015108524887974192,0.13996127273909256,0.8004007635823943,0.001896506693108588,0.41078351865118024,0.21047032515799402,0.1994338186409864,0.0008793755110885056,0.21047032515799402,0.9971690756542273,0.0011842787300749443,3.5599372331529078,0.9464140730717185,0.5055480378890392,0.9511610613121811,0.6121858253542143,0.011637347767253045,0.5515561569688768,0.6601941747572816,0.5947867298578199,0.391304347826087,1.442812442779541,3.8331429958343506,4.320988178253174,3.9151389598846436,3.7654848098754883,3.5855417251586914,5.402416706085205,2.7095582485198975,3.757596492767334,4.12246036529541,-0.006359544117003679,4.51015043258667,nan,0.9649923896499238,0.47619047619047616,0.9489319092122831,nan,nan,nan,nan,nan,nan,0.9894838929176331,1.0081160068511963,1.0024000406265259,1.4583369493484497,0.21649618446826935,0.197836771607399,2.9586758613586426,0.15539614856243134,0.02375451661646366,6.3354268074035645,0.0
