epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_abs_max_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_theta_abs_le_8_mae_deg,val_theta_abs_le_10_mae_deg,val_theta_pos_6_8_mae_deg,val_theta_neg_8_6_mae_deg,val_theta_neg_4_2_mae_deg,val_theta_neg_4_2_p95_abs_err_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.0003999496469885013,0.6350703552354804,0.7859414442243663,7.575768510386812,0.5303422808647156,1.8572849035263062,0.9150599241256714,5.537920951843262,0.08701498061418533,0.9735377430915833,0.9398165345191956,0.5303423404693604,0.5303423404693604,1.0204888582229614,0.721560537815094,1.1062358617782593,4.129856109619141,0.974721941354904,0.9312436804853387,0.6090909090909091
2,0.00039979861330826294,0.061420693286655656,0.7422188179316969,6.75357583420013,0.6628594994544983,1.9228607416152954,0.9151189923286438,4.3026862144470215,0.4434686005115509,0.954766035079956,0.9462952017784119,0.6628595590591431,0.6628595590591431,1.5097541809082031,1.4202710390090942,1.5193445682525635,3.561671495437622,0.9737108190091001,0.9302325581395349,0.6090909090909091
3,0.0003995469750092912,0.07573741343801517,0.7467593083005583,7.214531362791121,0.576023280620575,1.6354566812515259,0.9542388916015625,5.567115306854248,-0.3359052240848541,0.9897031784057617,0.9830532670021057,0.5760232210159302,0.5760232210159302,0.6482791304588318,0.6759059429168701,1.4504896402359009,4.173877716064453,0.9737108190091001,0.9317492416582407,0.6090909090909091
4,0.0003991948587990478,0.13970013043308213,0.7664422438045845,9.228133910354396,0.5929517149925232,2.292412519454956,1.296446442604065,6.862685203552246,-0.20587164163589478,1.3392802476882935,1.3225224018096924,0.5929517149925232,0.5929517149925232,1.7761828899383545,1.9406551122665405,1.6915678977966309,2.504255533218384,0.9737108190091001,0.9312436804853387,0.6
5,0.0003987424419786485,0.04696196202361959,0.6974743143010308,6.431354296677515,0.39079952239990234,1.5940271615982056,0.8980483412742615,7.228957653045654,-0.06044350937008858,0.9137314558029175,0.913095235824585,0.39079952239990234,0.39079952239990234,0.7068164944648743,0.6922914981842041,0.966987669467926,3.3390119075775146,0.9737108190091001,0.9317492416582407,0.6
6,0.00039818995235358696,0.06705660043663125,0.7397471104039461,6.8853665591858695,0.4217255711555481,1.735563039779663,0.7842103838920593,5.87752103805542,-0.008417046628892422,0.8687120079994202,0.8323978185653687,0.4217255413532257,0.4217255413532257,1.386398196220398,0.6805776953697205,1.1978070735931396,3.7507760524749756,0.9737108190091001,0.9312436804853387,0.5818181818181818
7,0.00039753766811902755,0.060122556613470365,0.7939055807308433,6.667894367905857,0.5038410425186157,1.6290004253387451,0.8303807973861694,4.6645050048828125,0.1355442851781845,0.843275785446167,0.826403796672821,0.5038410425186157,0.5038410425186157,1.1122353076934814,1.1614036560058594,1.5792791843414307,3.9565322399139404,0.9726996966632963,0.9312436804853387,0.5818181818181818
8,0.0003967859177197259,0.05920462578031142,0.9725857714550802,10.436079872970481,0.538032591342926,2.0155928134918213,1.1626989841461182,5.338404655456543,0.20838789641857147,1.1740038394927979,1.1912130117416382,0.538032591342926,0.538032591342926,0.5792399644851685,0.7005327939987183,1.7530019283294678,5.080627918243408,0.9721941354903944,0.9332659251769464,0.6090909090909091
9,0.0003959350796846471,0.04219601634398152,0.7989992386651111,14.050679602329208,0.5799016356468201,2.0844178199768066,2.0877628326416016,6.544633865356445,-0.49856019020080566,2.0782010555267334,2.027529001235962,0.5799016356468201,0.5799016356468201,0.937160849571228,0.48771175742149353,0.8000104427337646,2.4177920818328857,0.9726996966632963,0.9337714863498483,0.6090909090909091
10,0.0003949855824363647,0.0685203970930928,0.7942316013231075,7.580754773889529,0.5858805775642395,1.7132258415222168,1.0857412815093994,4.285732269287109,-0.05536094307899475,1.1058422327041626,1.1057108640670776,0.5858805775642395,0.5858805775642395,0.7945894598960876,0.9793636798858643,1.5651566982269287,4.052630424499512,0.9732052578361982,0.9337714863498483,0.6090909090909091
