step,time_s,theta_hat_rad,theta_hat_deg,label_main,label_turn,conf_main,buffer_count,truth_main,truth_turn,theta_truth_rad
89,0.88,0,0,1,0,1,89,1,0,0
90,0.89,0,0,1,0,1,90,1,0,0
91,0.9,0,0,1,0,1,91,1,0,0
92,0.91,0,0,1,0,1,92,1,0,0
93,0.92,0,0,1,0,1,93,1,0,0
94,0.93,0,0,1,0,1,94,1,0,0
95,0.94,0,0,1,0,1,95,1,0,0
96,0.95,0,0,1,0,1,96,1,0,0
97,0.96,0,0,1,0,1,97,1,0,0
98,0.97,0,0,1,0,1,98,1,0,0
99,0.98,0,0,1,0,1,99,1,0,0
100,0.99,0,0,1,0,1,100,1,0,0
101,1,0,0,1,0,1,101,1,0,0
102,1.01,0,0,1,0,1,102,1,0,0
103,1.02,0,0,1,0,1,103,1,0,0
104,1.03,0,0,1,0,1,104,1,0,0
105,1.04,0,0,1,0,1,105,1,0,0
106,1.05,0,0,1,0,1,106,1,0,0
107,1.06,0,0,1,0,1,107,1,0,0
108,1.07,0,0,1,0,1,108,1,0,0
109,1.08,0,0,1,0,1,109,1,0,0
110,1.09,0,0,1,0,1,110,1,0,0
111,1.1,0,0,1,0,1,111,1,0,0
112,1.11,0,0,1,0,1,112,1,0,0
113,1.12,0,0,1,0,1,113,1,0,0
114,1.13,0,0,1,0,1,114,1,0,0
115,1.14,0,0,1,0,1,115,1,0,0
116,1.15,0,0,1,0,1,116,1,0,0
117,1.16,0,0,1,0,1,117,1,0,0
118,1.17,0,0,1,0,1,118,1,0,0
119,1.18,0,0,1,0,1,119,1,0,0
120,1.19,0,0,1,0,1,120,1,0,0
121,1.2,0,0,1,0,1,121,1,0,0
122,1.21,0,0,1,0,1,122,1,0,0
123,1.22,0,0,1,0,1,123,1,0,0
124,1.23,0,0,1,0,1,124,1,0,0
125,1.24,0,0,1,0,1,125,1,0,0
126,1.25,0,0,1,0,1,126,1,0,0
127,1.26,0,0,1,0,1,127,1,0,0
128,1.27,0,0,1,0,0.838128805160522,128,1,0,0
129,1.28,0,0,1,0,0.850970864295959,128,1,0,0
130,1.29,0,0,1,0,0.854386806488037,128,1,0,0
131,1.3,0,0,1,0,0.857241630554199,128,1,0,0
132,1.31,0,0,1,0,0.857640743255615,128,1,0,0
133,1.32,0,0,1,0,0.860815644264221,128,1,0,0
134,1.33,0,0,1,0,0.863314628601074,128,1,0,0
135,1.34,0,0,1,0,0.864997506141663,128,1,0,0
136,1.35,0,0,1,0,0.862451016902924,128,1,0,0
137,1.36,0,0,1,0,0.856600284576416,128,1,0,0
138,1.37,0,0,1,0,0.84881854057312,128,1,0,0
139,1.38,0,0,1,0,0.83901709318161,128,1,0,0
140,1.39,0,0,1,0,0.8264279961586,128,1,0,0
141,1.4,0,0,1,0,0.811898529529572,128,1,0,0
142,1.41,0,0,1,0,0.795299828052521,128,1,0,0
143,1.42,0,0,1,0,0.776238918304443,128,1,0,0
144,1.43,0,0,1,0,0.754368484020233,128,1,0,0
145,1.44,0,0,1,0,0.729538023471832,128,1,0,0
146,1.45,0,0,1,0,0.701684057712555,128,1,0,0
147,1.46,0,0,1,0,0.670693635940552,128,1,0,0
148,1.47,0,0,1,0,0.636482357978821,128,1,0,0
149,1.48,0,0,1,0,0.599117994308472,128,1,0,0
150,1.49,0,0,1,0,0.558769464492798,128,1,0,0
151,1.5,0,0,1,0,0.515434205532074,128,1,0,0
152,1.51,0,0,1,0,0.531358778476715,128,1,0,0
153,1.52,0,0,1,0,0.583035349845886,128,1,0,0
154,1.53,0,0,1,0,0.968010008335114,128,1,0,0
155,1.54,0,0,1,0,0.967555344104767,128,1,0,0
156,1.55,0,0,1,0,0.961572647094727,128,1,0,0
157,1.56,0,0,1,0,0.95654684305191,128,1,0,0
158,1.57,0,0,1,0,0.952846467494965,128,1,0,0
159,1.58,0,0,1,0,0.950334489345551,128,1,0,0
160,1.59,0,0,1,0,0.948422014713287,128,1,0,0
161,1.6,0,0,1,0,0.947524189949036,128,1,0,0
162,1.61,0,0,1,0,0.948212325572968,128,1,0,0
163,1.62,0,0,1,0,0.9493408203125,128,1,0,0
164,1.63,0,0,1,0,0.94981449842453,128,1,0,0
165,1.64,0,0,1,0,0.950242936611176,128,1,0,0
166,1.65,0,0,1,0,0.950026214122772,128,1,0,0
167,1.66,0,0,1,0,0.948943674564362,128,1,0,0
168,1.67,0,0,1,0,0.946900308132172,128,1,0,0
169,1.68,0,0,1,0,0.943558394908905,128,1,0,0
170,1.69,0,0,1,0,0.939478278160095,128,1,0,0
171,1.7,-0.0165490337126855,-0.948189786756592,3,0,0.9343541264534,128,1,0,0
172,1.71,-0.0163298987120766,-0.935634276078107,3,0,0.928030908107758,128,1,0,0
173,1.72,-0.0160932510295304,-0.922075362636658,3,0,0.920399844646454,128,1,0,0
174,1.73,-0.0158441263319731,-0.907801568894152,3,0,0.911127209663391,128,1,0,0
175,1.74,-0.0155835819669701,-0.892873476403567,3,0,0.900618433952332,128,1,0,0
176,1.75,-0.0153135973311158,-0.877404496235734,3,0,0.888571560382843,128,1,0,0
177,1.76,-0.0150362246177803,-0.861512210409523,3,0,0.87480103969574,128,1,0,0
178,1.77,-0.0147532673848058,-0.845299955177382,3,0,0.859181106090546,128,1,0,0
179,1.78,-0.014467124738487,-0.828905189204608,3,0,0.841426372528076,128,1,0,0
180,1.79,-0.0141780011222627,-0.812339626237395,3,0,0.821982800960541,128,1,0,0
181,1.8,-0.0138866102081599,-0.795644156670846,3,0,0.800726354122162,128,1,0,0
182,1.81,-0.0135937467922514,-0.778864318965507,3,0,0.777703642845154,128,1,0,0
183,1.82,-0.0133001429573396,-0.762042058376202,3,0,0.75308084487915,128,1,0,0
184,1.83,-0.0130069534863065,-0.745243539088334,3,0,0.726921617984772,128,1,0,0
185,1.84,-0.0127142123188852,-0.728470705705359,3,0,0.69988888502121,128,1,0,0
186,1.85,-0.0124222933017908,-0.711744978066245,3,0,0.672148108482361,128,1,0,0
187,1.86,-0.012131654018415,-0.695092573768104,3,0,0.64396333694458,128,1,0,0
188,1.87,-0.0118427290411228,-0.678538391973349,3,0,0.615625083446503,128,1,0,0
189,1.88,-0.0115561814295532,-0.662120423200858,3,0,0.587303400039673,128,1,0,0
190,1.89,-0.01127203675567,-0.645840132616231,3,0,0.55951726436615,128,1,0,0
191,1.9,-0.010990491055035,-0.629708752229787,3,0,0.532404959201813,128,1,0,0
192,1.91,-0.0107117760740997,-0.613739560135127,3,0,0.506137073040009,128,1,0,0
193,1.92,-0.0104361123347917,-0.597945191307986,3,0,0.519089043140411,128,1,0,0
194,1.93,-0.010163849068772,-0.582345655248605,3,0,0.54329127073288,128,1,0,0
195,1.94,-0.00989499633255523,-0.566941528152843,3,0,0.566186904907227,128,1,0,0
196,1.95,-0.00962966576677674,-0.551739206557917,3,0,0.587775647640228,128,1,0,0
197,1.96,-0.00936799416516083,-0.536746528166896,3,0,0.608040690422058,128,1,0,0
198,1.97,-0.00910995587076859,-0.521962022945467,3,0,0.628949522972107,128,1,0,0
199,1.98,-0.00885552438549805,-0.50738417266422,3,0,0.651421070098877,128,1,0,0
200,1.99,-0.00860463796372161,-0.493009439559291,3,0,0.673380196094513,128,1,0,0
201,2,-0.00835725036044555,-0.478835173987716,3,0,0.695222198963165,128,1,0,0
202,2.01,-0.00811332415816967,-0.464859232084654,3,0,0.716899335384369,128,1,0,0
203,2.02,-0.00787282264817305,-0.451079510595324,3,0,0.738203704357147,128,1,0,0
204,2.03,-0.00763572445454586,-0.43749478477031,3,0,0.75931042432785,128,1,0,0
205,2.04,-0.00740198741846148,-0.424102639086779,3,0,0.779145300388336,128,1,0,0
206,2.05,-0.0071715791173546,-0.410901215868575,3,0,0.797899186611176,128,1,0,0
207,2.06,-0.00694446775808637,-0.397888693503026,3,0,0.815561652183533,128,1,0,0
