case_name,phase,best_epoch,base_best_epoch,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,turn_head_type,turn_head_source,lambda_turn,grad_clip_mode,model_file,report_file
main_neg2p0_down0p15_turn0p10_global_linear_readout,main_recovery,1,NaN,1.02073123564391,0.839045842385485,0.51685393258427,0.730337078651685,0.772277227722772,0.317073170731707,4.79128097151128,0.313207547169811,0.5,0.851851851851852,0.894736842105263,0.655172413793103,0.626415094339623,linear,readout,0.1,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_smoke_pipeline_grid_tmp_main_neg2p0_down0p15_turn0p10_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\smoke_pipeline_grid_tmp\main_neg2p0_down0p15_turn0p10_global_linear_readout\TCN_train_report.md
main_neg2p0_down0p15_turn0p00_global_linear_readout,main_recovery,1,NaN,1.18448612564776,0.839317586321921,0.510112359550562,0.191011235955056,0.178217821782178,0.317073170731707,4.91775905670147,0.305660377358491,0.5,0.845679012345679,0.87218045112782,0.724137931034483,0.637735849056604,linear,readout,0,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_smoke_pipeline_grid_tmp_main_neg2p0_down0p15_turn0p00_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\smoke_pipeline_grid_tmp\main_neg2p0_down0p15_turn0p00_global_linear_readout\TCN_train_report.md
