controller,path_name,disturbance_level,seed,status,ev_rmse,j_du,viol_rate
Mamba2,path_industrial,0,1,ok,0.0491983059656787,12626.6869790255,0
Mamba2,path_industrial,0,2,ok,0.0492033093483842,12509.2704115839,0
Mamba2,path_industrial,0,3,ok,0.0492065215463955,12503.7548652992,0
Mamba2,path_industrial,1,1,ok,0.051328839496615,1756992.97152273,0
Mamba2,path_industrial,1,2,ok,0.0506997617253608,1481910.33881844,0
Mamba2,path_industrial,1,3,ok,0.0507724878712464,1394256.15215443,0
Mamba2,path_industrial,2,1,ok,0.0516594173806842,1793094.28294439,0
Mamba2,path_industrial,2,2,ok,0.0513057979755117,1423695.4293221,0
Mamba2,path_industrial,2,3,ok,0.0513961875209752,1705783.98187822,0
Mamba2,path_s_curve,0,1,ok,0.00538050175105019,551.098011716401,0
Mamba2,path_s_curve,0,2,ok,0.00541754401652841,559.457315008245,0
Mamba2,path_s_curve,0,3,ok,0.00538414737257053,551.571892554726,0
Mamba2,path_s_curve,1,1,ok,0.00571217129656589,1926.68364628218,0
Mamba2,path_s_curve,1,2,ok,0.00573174619472145,2797.8394761671,0
Mamba2,path_s_curve,1,3,ok,0.00572057118170778,1537.88646438916,0
Mamba2,path_s_curve,2,1,ok,0.00628096213748932,4799.91252206216,0
Mamba2,path_s_curve,2,2,ok,0.00613763543258536,3986.86370018414,0
Mamba2,path_s_curve,2,3,ok,0.00617275687646998,6871.00322166725,0
Mamba2,path_slope,0,1,ok,0.0949257395098646,6262.34409293813,0
Mamba2,path_slope,0,2,ok,0.0949251950317765,6260.58741885155,0
Mamba2,path_slope,0,3,ok,0.0949249548098915,6259.20471579155,0
Mamba2,path_slope,1,1,ok,0.0970829385720234,937402.638340501,0
Mamba2,path_slope,1,2,ok,0.0968824298574754,873997.835038626,0
Mamba2,path_slope,1,3,ok,0.0969762568419228,905898.425696969,0
Mamba2,path_slope,2,1,ok,0.0973097167356081,938681.160494214,0
Mamba2,path_slope,2,2,ok,0.0972439175426838,971506.080983372,0
Mamba2,path_slope,2,3,ok,0.097370539801704,988330.098229791,0
GRU,path_industrial,0,1,ok,0.0326742296602938,13820.0269207128,0
GRU,path_industrial,0,2,ok,0.0337655505846492,13587.549701375,0
GRU,path_industrial,0,3,ok,0.0319837676250468,13460.5551782796,0
GRU,path_industrial,1,1,ok,0.0380033857417208,13041.669027999,0
GRU,path_industrial,1,2,ok,0.0385043265778187,13171.0069450948,0
GRU,path_industrial,1,3,ok,0.0381587343439242,12532.9363448391,0
GRU,path_industrial,2,1,ok,0.0465848993332537,13071.0627845996,0
GRU,path_industrial,2,2,ok,0.0442905883019471,12317.4130583943,0
GRU,path_industrial,2,3,ok,0.0452746254751472,12329.7362468559,0
GRU,path_s_curve,0,1,ok,0.00588896417191529,1828.91122624663,0
GRU,path_s_curve,0,2,ok,0.00548063199759327,1292.42107778863,0
GRU,path_s_curve,0,3,ok,0.00562485311723888,1580.66273572189,0
GRU,path_s_curve,1,1,ok,0.00572596516628376,1128.46299412814,0
GRU,path_s_curve,1,2,ok,0.00569026708186884,790.173140642628,0
GRU,path_s_curve,1,3,ok,0.00569249579895883,844.22016560185,0
GRU,path_s_curve,2,1,ok,0.00604617082591668,1203.18370885541,0
GRU,path_s_curve,2,2,ok,0.00602253630368657,933.316851328179,0
GRU,path_s_curve,2,3,ok,0.00601514198257018,788.665811823263,0
GRU,path_slope,0,1,ok,0.0522893007240321,7401.32313276377,0
GRU,path_slope,0,2,ok,0.0529009449999799,7603.14462007447,0
GRU,path_slope,0,3,ok,0.0513864664622741,7349.81759691927,0
GRU,path_slope,1,1,ok,0.0372451350530934,11135.0120915591,0
GRU,path_slope,1,2,ok,0.0381299986365472,11477.2519265732,0
GRU,path_slope,1,3,ok,0.0367964074318118,10991.2556655201,0
GRU,path_slope,2,1,ok,0.0572032569204544,11932.6722000658,0
GRU,path_slope,2,2,ok,0.0580486997050046,12297.3645271432,0
GRU,path_slope,2,3,ok,0.0568150406070358,11508.3759649511,0
IMU,path_industrial,0,1,ok,0.095179009043814,1757803.81439017,0.00622073578595318
IMU,path_industrial,0,2,ok,0.0884598390381929,5015.36402527251,0
IMU,path_industrial,0,3,ok,0.0884598390381929,5015.36402527251,0
IMU,path_industrial,1,1,ok,0.0909814831979291,5210.51916079269,0
IMU,path_industrial,1,2,ok,0.0910809101066599,5090.863670377,0
IMU,path_industrial,1,3,ok,0.0908262656424219,5030.27862244929,0
IMU,path_industrial,2,1,ok,0.0934771165147389,5322.72665044124,0
IMU,path_industrial,2,2,ok,0.0935779608056671,5199.66755326913,0
IMU,path_industrial,2,3,ok,0.0933188155543515,5138.76492499025,0
IMU,path_s_curve,0,1,ok,0.00535993672918026,648.23712827233,0.000167364016736402
IMU,path_s_curve,0,2,ok,0.00535993672918026,648.23712827233,0.000167364016736402
IMU,path_s_curve,0,3,ok,0.00535993672918026,648.23712827233,0.000167364016736402
IMU,path_s_curve,1,1,ok,0.00571546362352317,678.457003159042,0.000167364016736402
IMU,path_s_curve,1,2,ok,0.00570827372750161,675.794541891487,0.000251046025104603
IMU,path_s_curve,1,3,ok,0.00568739658811854,678.486170988853,0.000251046025104603
IMU,path_s_curve,2,1,ok,0.00604100609931063,706.824020771725,0.000167364016736402
IMU,path_s_curve,2,2,ok,0.00603676296756421,703.426590857088,0.000251046025104603
IMU,path_s_curve,2,3,ok,0.00601763909300632,706.478691776958,0.000251046025104603
IMU,path_slope,0,1,ok,0.182365852139284,922.583804867105,0
IMU,path_slope,0,2,ok,0.194342741612617,911.227430388395,0
IMU,path_slope,0,3,ok,0.194342741612617,911.227430388395,0
IMU,path_slope,1,1,ok,0.199981772148785,953.013542426559,0
IMU,path_slope,1,2,ok,0.200228547689699,952.348255529021,0
IMU,path_slope,1,3,ok,0.200328898743166,953.383215272231,0
IMU,path_slope,2,1,ok,0.205454201216565,994.698547502791,0
IMU,path_slope,2,2,ok,0.205705442635539,993.994082964238,0
IMU,path_slope,2,3,ok,0.205807523243929,995.075396791452,0
