"controller","path_name","n","ey_rmse_mean","epsi_rmse_mean","ev_rmse_mean","eomega_rmse_mean","j_du_mean","viol_rate_mean","elapsed_sec_mean"
"GRU","path_industrial","4","0.0133403966801387","0.0345912232383449","0.0418457999886851","0.0176611426046818","12900.2879540219","0","188.04521335"
"GRU","path_s_curve","4","0.0442200159492566","0.0422446175642307","0.00587123484443896","0.043344696757436","1013.78417373859","0","141.862507275"
"GRU","path_slope","4","0","0","0.0476567725787749","0","11710.5751863353","0","134.267336825"
"IMU","path_industrial","4","0.0223900559393798","0.0736328662440729","0.0930238506051822","0.0261604593408821","674509.805433407","0.00117056856187291","131.20004135"
"IMU","path_s_curve","4","0.0526381354924678","0.0462912274181137","0.0058753766044749","0.0438083400188296","691.125539169835","0.000209205020920503","96.34478885"
"IMU","path_slope","4","0","0","0.199805843545612","0","976.565386567926","0","94.406255575"
"Mamba2","path_industrial","4","0.0366156868450183","0.150196962568131","0.0666307315665576","0.0530191952893678","6206294.26303229","0.00946488294314382","2805.484493375"
"Mamba2","path_s_curve","4","0.0458701592429654","0.0627293131732078","0.0142233864411146","0.0557558565813948","35165.3475803544","2.09205020920502E-05","2025.144948925"
"Mamba2","path_slope","4","0","0","0.0541659231661882","0","729413.810735962","0","2012.41495465"
