seed,disturbance_level,disturbance_noise_scale,disturbance_process_scale,noise_signature,process_signature,ev_rmse,j_du,viol_rate,status
1,0,0,0,3.76872664625997,802.54,0.605991477306327,7140374.33551525,0.0588235294117647,ok
1,1,1,0.35,3.76872664625997,783.0639875,0.610896325735584,7173024.43645258,0.0784313725490196,ok
1,2,1.5,0.7,5.65308996938996,763.587975,0.615697988775611,7205994.10209862,0.117647058823529,ok
2,0,0,0,3.76872664625997,802.54,0.605991477306327,7140374.33551525,0.0588235294117647,ok
2,1,1,0.35,3.76872664625997,783.0639875,0.610896325735584,7173024.43645258,0.0784313725490196,ok
2,2,1.5,0.7,5.65308996938996,763.587975,0.615697988775611,7205994.10209862,0.117647058823529,ok
3,0,0,0,3.76872664625997,802.54,0.605991477306327,7140374.33551525,0.0588235294117647,ok
3,1,1,0.35,3.76872664625997,783.0639875,0.610896325735584,7173024.43645258,0.0784313725490196,ok
3,2,1.5,0.7,5.65308996938996,763.587975,0.615697988775611,7205994.10209862,0.117647058823529,ok
