"controller","disturbance_level","n","ey_rmse_mean","epsi_rmse_mean","ev_rmse_mean","eomega_rmse_mean","j_du_mean","viol_rate_mean"
"GRU","1","6","0.0191758325870942","0.0258535023858044","0.0272165130428888","0.0205349242780414","8457.26268766615","0"
"GRU","2","6","0.0191977758325026","0.0253703914825794","0.0363660252317105","0.0201356352967039","8625.83552173108","0"
"IMU","1","6","0.0262937879813421","0.04990405325727","0.0974212987969486","0.02588432720002","448464.774665129","0.000850114048222108"
"IMU","2","6","0.0237250063065562","0.0300453425175211","0.101715415039897","0.0207615390397878","2320.22290763437","6.97350069735008E-05"
"Mamba2","1","6","0.0304982076063283","0.0781289367899199","0.0498674943785662","0.038402312234203","2879171.508999","0.0044593088071349"
"Mamba2","2","6","0.0244923564523275","0.0638219137043057","0.0401458664040074","0.034114389012972","1768077.43856674","0.00186456015635568"
