case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
1,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,1,ok,,1134.7641509,14950,0.0134775690316834,0.0770469831729982,0.039299520584602,0.0986311199444154,NaN,NaN,12626.6869790255,0,0,0,0.00914745,0.339103485,0.356119799,0,
2,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,ok,,1095.7517185,14950,0.0134830474981147,0.0770338234549753,0.0394055670697358,0.0988418147282779,NaN,NaN,12509.2704115839,0,0,0,0.00919915,0.33941428,0.357615313,0,
3,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1,ok,,1093.2772068,14950,0.0134863510237891,0.0769822900486801,0.0395057472474062,0.0990483319890103,NaN,NaN,12503.7548652992,0,0,0,0.00918535,0.339074585,0.355273033,0,
4,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,0,1,ok,,868.2193605,11950,0.0448483503018122,0.179995722832358,0.0438060758459258,0.26443730558022,NaN,NaN,550.106349345498,0,0,0,0.0092618,0.33944578,0.357248199,0,
5,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,ok,,869.9770692,11950,0.0448797593025739,0.180144034038025,0.0439180147476069,0.264867658919228,NaN,NaN,551.098011716401,0,0,0,0.00925825,0.33933659,0.356492704,0,
6,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1,ok,,866.8898368,11950,0.0448954526195601,0.179874884063977,0.0441806780815069,0.265752008699305,NaN,NaN,559.457315008245,0,0,0,0.009284,0.33917028,0.356018914,0,
7,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,0,1,ok,,855.3899124,11950,0,0,0,0,NaN,NaN,6261.13415826222,0,0,0,0.00921685,0.33821775,0.357466345,0,
8,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,ok,,854.8248131,11950,0,0,0,0,NaN,NaN,6260.21511405129,0,0,0,0.00918945,0.33792029,0.35656633,0,
9,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1,ok,,1147.1851024,11950,0,0,0,0,NaN,NaN,6263.47369560621,0,0,0,0.02063865,0.447644215,0.483473613,0,
10,GRU,LPVMPC_AGV_simulink,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,1,error,Missing model file: E:\Matlab\Simulink\S-Function_16\simulink\LPVMPC_AGV_simulink.slx,0.0086912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
