metric,mean,std,min,max
acc_main,0.986687260959106,0,0.986687260959106,0.986687260959106
acc_turn,0.952927331568108,0,0.952927331568108,0.952927331568108
acc_turn_pure,0.981869016351775,0,0.981869016351775,0.981869016351775
acc_turn_transition,0.762409369771333,0,0.762409369771333,0.762409369771333
theta_mae_deg,0.541476755656358,0,0.541476755656358,0.541476755656358
flat_recall,0.98762157382847,0,0.98762157382847,0.98762157382847
stall_recall,0.972062448644207,0,0.972062448644207,0.972062448644207
slope_recall,0.989018377409233,0,0.989018377409233,0.989018377409233
uphill_recall,0.994418604651163,0,0.994418604651163,0.994418604651163
downhill_recall,0.983996539792388,0,0.983996539792388,0.983996539792388
theta_abs_le_8_mae_deg,0.541476755656358,0,0.541476755656358,0.541476755656358
theta_abs_le_10_mae_deg,0.541476755656358,0,0.541476755656358,0.541476755656358
theta_pos_6_8_mae_deg,0.679766920758286,0,0.679766920758286,0.679766920758286
theta_pos_6_8_bias_deg,-0.626767033952467,0,-0.626767033952467,-0.626767033952467
theta_neg_8_6_mae_deg,0.856705826876786,0,0.856705826876786,0.856705826876786
theta_neg_8_6_bias_deg,0.839715293295148,0,0.839715293295148,0.839715293295148
