seed,run_tag,status,returncode,run_dir
21,uncertainty_anchor_same_recipe_seed21,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed21
42,uncertainty_anchor_same_recipe_seed42,ok,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed42
