epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_base,train_loss_turn_base,train_loss_theta_base,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,train_loss_transition_focal_raw,train_loss_transition_focal_weighted,train_loss_stall_focal_raw,train_loss_stall_focal_weighted,train_loss_theta_smooth,train_loss_flat_theta_expert_reg,train_loss_flat_theta_expert_reg_weighted,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_base,val_loss_turn_base,val_loss_theta_base,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_loss_transition_focal_raw,val_loss_transition_focal_weighted,val_loss_stall_focal_raw,val_loss_stall_focal_weighted,val_loss_theta_smooth,val_loss_flat_theta_expert_reg,val_loss_flat_theta_expert_reg_weighted,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,val_flat_as_stall_ratio,val_stall_as_flat_ratio,val_cm_main,val_cm_turn,alpha,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.0009998286624877785,fixed,0.9225917656399015,1.845183531279803,0.7019696833578339,0.20344690579335697,0.017175176914113535,0.7019696833578339,0.20344690579335697,0.017175176914113535,0.7019696833578339,1.017234513403911,0.02017251645081375,0.5214558302350079,0.0,1.4141985922393727,0.0,0.0,0.06636652763861048,0.0,0.7755610311950818,0.5663336186189613,0.2039861622779392,0.005241241079978191,0.5663336186189613,0.2039861622779392,0.005241241079978191,0.5663336186189613,1.0199308155192734,0.007086327220836254,0.5330946418687359,0.0,2.560262767807234,0.0,0.0,0.057732337598307044,0.0,9.667392702203545,0.8246278755074425,0.4316644113667118,0.7084668495037526,0.49493765586215166,0.35994587280108253,0.8313937753721244,0.5242718446601942,0.6042654028436019,0.3198757763975155,3.2764458656311035,9.84730339050293,10.151535034179688,7.856198310852051,10.077291488647461,8.665783882141113,9.246512413024902,12.450383186340332,8.490723609924316,13.489309310913086,-0.22020584344863892,12.113716125488281,nan,0.487062404870624,0.23809523809523808,0.9068758344459279,0.0,0.09523809523809523,"[[320, 0, 337], [4, 10, 28], [251, 28, 2717]]","[[510, 172, 162], [770, 599, 555], [317, 124, 486]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0009993147673772868,fixed,0.5900792087463712,1.1801584174927424,0.391036446046985,0.192556741047745,0.0064860188593075215,0.391036446046985,0.192556741047745,0.0064860188593075215,0.391036446046985,0.9627836906684203,0.008004331793338584,0.5352856637713366,0.0,0.922614775127007,0.0,0.0,0.018925464410103586,0.0,0.5334162130084832,0.3299576854350925,0.20017841293379482,0.003280105353843456,0.3299576854350925,0.20017841293379482,0.003280105353843456,0.3299576854350925,1.0008920485983037,0.0043745764272844516,0.5468382375650057,0.0,2.549332114646819,0.0,0.0,0.01268307928484896,0.0,6.43137103394825,0.9044654939106901,0.4148849797023004,0.8748268637500689,0.533795249854569,0.05899864682002706,0.7466847090663058,0.6699029126213593,0.6066350710900474,0.31211180124223603,2.8088467121124268,7.9608073234558105,7.337471008300781,8.249740600585938,8.043638229370117,8.592894554138184,6.735743999481201,4.45180606842041,4.64717960357666,6.913190841674805,-0.28801846504211426,10.095868110656738,nan,0.8264840182648402,0.23809523809523808,0.9309078771695594,0.0,0.09523809523809523,"[[543, 0, 114], [4, 10, 28], [195, 12, 2789]]","[[512, 23, 309], [740, 400, 784], [276, 30, 621]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.000998458666866564,fixed,0.450281581128817,0.900563162257634,0.256987691112212,0.18699295834041318,0.00630093088573115,0.256987691112212,0.18699295834041318,0.00630093088573115,0.256987691112212,0.9349647750546678,0.007261658731506101,0.5411986509027337,0.0,0.7009891359939774,0.0,0.0,0.01214200009140725,0.0,0.5333622567224567,0.33333272466156255,0.19654002033163956,0.003489503606584261,0.33333272466156255,0.19654002033163956,0.003489503606584261,0.33333272466156255,0.9827000923666483,0.004682479514734106,0.5360937633840254,0.0,2.611509654534847,0.0,0.0,0.009930636522552964,0.0,6.8353481497047905,0.9047361299052774,0.4592692828146143,0.9031628233942119,0.5373679531224789,0.0449255751014885,0.7209742895805142,0.6893203883495146,0.5367298578199052,0.3447204968944099,2.8302953243255615,8.01427936553955,7.819808006286621,6.109852313995361,8.259215354919434,7.470107078552246,6.865634441375732,5.433821201324463,7.001977443695068,7.681378364562988,-0.8903392553329468,11.387983322143555,nan,0.7488584474885844,0.23809523809523808,0.94826435246996,0.0,0.14285714285714285,"[[492, 0, 165], [6, 10, 26], [115, 40, 2841]]","[[453, 117, 274], [541, 605, 778], [199, 89, 639]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0009972609476841365,fixed,0.39592320150115673,0.7918464030023135,0.20845363634533742,0.18255268728782106,0.004916877094159268,0.20845363634533742,0.18255268728782106,0.004916877094159268,0.20845363634533742,0.9127634189992745,0.0056429648357128265,0.537091063907888,0.0,0.6012652891414654,0.0,0.0,0.007669330563077755,0.0,0.4982792788816563,0.3010504726063415,0.1944256389254001,0.0028031680258482454,0.3010504726063415,0.1944256389254001,0.0028031680258482454,0.3010504726063415,0.9721281874002398,0.003265448734013008,0.531421349416405,0.0,2.7000150344650864,0.0,0.0,0.008261616954753864,0.0,5.835381651739039,0.9142083897158322,0.462787550744249,0.9214569211691953,0.5498340994123896,0.03301759133964818,0.6803788903924222,0.6731391585760518,0.5936018957345972,0.36490683229813664,2.363271713256836,6.764920711517334,6.360220909118652,4.9950408935546875,7.031146049499512,5.728085041046143,5.3577446937561035,5.1677069664001465,6.007999897003174,8.300097465515137,1.666119933128357,9.360669136047363,nan,0.8295281582952816,0.23809523809523808,0.942256341789052,0.0,0.07142857142857142,"[[545, 0, 112], [3, 10, 29], [142, 31, 2823]]","[[501, 131, 212], [633, 585, 706], [249, 54, 624]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.000995722430686905,fixed,0.3662926844823843,0.7325853689647686,0.1847862313299879,0.17681382463428977,0.004692630741315999,0.1847862313299879,0.17681382463428977,0.004692630741315999,0.1847862313299879,0.8840691082396361,0.005330638959750301,0.5291312391589634,0.0,0.4593723747269391,0.0,0.0,0.00870985551205636,0.0,0.4689110852707384,0.267571837137452,0.19854325787220983,0.002795994830480367,0.267571837137452,0.19854325787220983,0.002795994830480367,0.267571837137452,0.9927162797589747,0.003747440874954643,0.5808737371061425,0.0,2.594791355622045,0.0,0.0,0.008875603238385326,0.0,6.597749852070265,0.9358592692828146,0.4576454668470907,0.9371505666526507,0.5837441364766448,0.02165087956698241,0.5683355886332883,0.6612729234088457,0.5853080568720379,0.35248447204968947,2.3712940216064453,7.472689628601074,6.7638468742370605,5.506637096405029,7.8944315910339355,5.882513999938965,4.695080757141113,5.506306171417236,11.377853393554688,10.847558975219727,-2.299879789352417,11.503046035766602,nan,0.928462709284627,0.2857142857142857,0.9465954606141522,0.0,0.023809523809523808,"[[610, 0, 47], [1, 12, 29], [141, 19, 2836]]","[[494, 71, 279], [608, 584, 732], [236, 78, 613]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0009938441702975688,fixed,0.35039117534750996,0.7007823506950199,0.1721365191238503,0.17452279210606306,0.003731864414646229,0.1721365191238503,0.17452279210606306,0.003731864414646229,0.1721365191238503,0.8726139456291541,0.0041961005938011935,0.5360077798503577,0.0,0.38294992864450517,0.0,0.0,0.006725400768921804,0.0,0.4488588136974949,0.24585357478571518,0.20052653332121156,0.002478701345299916,0.24585357478571518,0.20052653332121156,0.002478701345299916,0.24585357478571518,1.0026326536325705,0.003336223229735646,0.5767372260558267,0.0,2.0118590307283504,0.0,0.0,0.008367045728063793,0.0,6.2351174526287885,0.9309878213802436,0.4419485791610284,0.936680893507952,0.5695951186633981,0.02246278755074425,0.6108254397834912,0.6245954692556634,0.5936018957345972,0.3338509316770186,2.267453908920288,6.660451412200928,4.8895368576049805,5.773393154144287,6.93768835067749,5.121740818023682,5.054138660430908,11.924703598022461,5.587873935699463,10.237122535705566,1.8101164102554321,10.344564437866211,nan,0.9330289193302892,0.40476190476190477,0.937917222963952,0.0,0.11904761904761904,"[[613, 0, 44], [5, 17, 20], [137, 49, 2810]]","[[501, 81, 262], [671, 553, 700], [251, 97, 579]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0009916274537819772,fixed,0.33032599671024454,0.6606519934204891,0.15636818509863756,0.1706453587124457,0.0033124534644823644,0.15636818509863756,0.1706453587124457,0.0033124534644823644,0.15636818509863756,0.8532267710757101,0.0036836252915027528,0.5232889420490414,0.0,0.3888384913295863,0.0,0.0,0.005964447368455646,0.0,0.4673333488797948,0.2616518575380555,0.20295488727108874,0.0027266039860879697,0.2616518575380555,0.20295488727108874,0.0027266039860879697,0.2616518575380555,1.014774427201009,0.0036589800230200946,0.571917366949244,0.0,2.677885346167523,0.0,0.0,0.013611715097428981,0.0,7.334760058323968,0.939106901217862,0.4828146143437077,0.9367271821797825,0.5798755597400422,0.06414073071718539,0.6165087956698241,0.727076591154261,0.4490521327014218,0.40062111801242234,2.124704122543335,6.090961456298828,5.7815842628479,4.7814860343933105,6.3359503746032715,4.915143966674805,4.324774742126465,18.0126953125,9.700077056884766,16.087541580200195,2.491661787033081,10.833528518676758,nan,0.9908675799086758,0.40476190476190477,0.9352469959946595,0.0,0.047619047619047616,"[[651, 0, 6], [2, 17, 23], [161, 33, 2802]]","[[379, 171, 294], [420, 731, 773], [159, 94, 674]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0009890738003669026,fixed,0.3101220274694213,0.6202440549388426,0.1403145128098725,0.16678088221610426,0.003026633375246046,0.1403145128098725,0.16678088221610426,0.003026633375246046,0.1403145128098725,0.8339043966409364,0.003379986458715784,0.5150208225108309,0.0,0.29804580857487567,0.0,0.0,0.005655966040481285,0.0,0.4264541449340335,0.23050573652103565,0.1937867700771324,0.002161642672438603,0.23050573652103565,0.1937867700771324,0.002161642672438603,0.23050573652103565,0.9689338323873177,0.0023188306743982317,0.5636670898520092,0.0,2.473265659503406,0.0,0.0,0.005857338410259019,0.0,4.909531876732608,0.9488497970230041,0.48633288227334237,0.9537337142969269,0.5917256024933076,0.012449255751014885,0.5423545331529094,0.7389428263214671,0.5888625592417062,0.3944099378881988,1.9665504693984985,5.6925201416015625,5.534219741821289,4.315110206604004,5.882248401641846,4.957071304321289,4.82100772857666,6.295984745025635,4.165600299835205,7.6983819007873535,-0.5655227899551392,8.349875450134277,nan,0.9649923896499238,0.4523809523809524,0.9522696929238985,0.0,0.023809523809523808,"[[634, 0, 23], [1, 19, 22], [135, 8, 2853]]","[[497, 111, 236], [533, 615, 776], [181, 61, 685]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.000986184960198838,fixed,0.2951691474670204,0.5903382949340408,0.12904719266876188,0.1637126417954883,0.002409311687359455,0.12904719266876188,0.1637126417954883,0.002409311687359455,0.12904719266876188,0.8185631933839158,0.0026681166168228375,0.513499443115185,0.0,0.2704318591427636,0.0,0.0,0.004840734517895386,0.0,0.4764169707672522,0.27656322949955364,0.19754311174597888,0.0023106234909333946,0.27656322949955364,0.19754311174597888,0.0023106234909333946,0.27656322949955364,0.9877155454458822,0.0029754131278136547,0.5775868332353754,0.0,2.7991650654917963,0.0,0.0,0.006557431639864012,0.0,5.75159813455212,0.9326116373477673,0.5115020297699594,0.950919908945646,0.5980693458073523,0.017861975642760486,0.5577807848443843,0.6256742179072277,0.5770142180094787,0.4161490683229814,2.1922037601470947,5.540394306182861,5.173846244812012,4.880946636199951,5.742239952087402,5.980459690093994,4.53272008895874,10.773810386657715,5.219179630279541,9.172468185424805,1.4232443571090698,11.88961124420166,nan,0.954337899543379,0.40476190476190477,0.9352469959946595,0.0,0.023809523809523808,"[[627, 0, 30], [1, 17, 24], [167, 27, 2802]]","[[487, 185, 172], [536, 823, 565], [183, 164, 580]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0009829629131445337,fixed,0.29887383971970705,0.5977476794394141,0.1368340200829819,0.15960186276168137,0.0024379572604841873,0.1368340200829819,0.15960186276168137,0.0024379572604841873,0.1368340200829819,0.7980093031615006,0.002796055963844957,0.48731059784017705,0.0,0.2584537840228908,0.0,0.0,0.004676089702625163,0.0,0.45880916186372706,0.2573680818161558,0.20005016135750023,0.0013909154414692049,0.2573680818161558,0.20005016135750023,0.0013909154414692049,0.2573680818161558,1.0002507862767283,0.001981721202060278,0.5972934977772756,0.0,2.9882650104366784,0.0,0.0,0.0034183280473179278,0.0,4.385038237265704,0.9364005412719891,0.49472259810554803,0.9443324785347992,0.6060107798700372,0.05872801082543978,0.5418132611637347,0.61596548004315,0.5888625592417062,0.38664596273291924,1.8469899892807007,4.926167964935303,4.522761821746826,3.877594470977783,5.065131187438965,4.181625843048096,3.633450508117676,3.442526340484619,3.670208692550659,4.9977006912231445,1.5527020692825317,7.181114673614502,nan,0.7808219178082192,0.38095238095238093,0.9783044058744993,0.0,0.0,"[[513, 0, 144], [0, 16, 26], [53, 12, 2931]]","[[497, 189, 158], [617, 760, 547], [204, 152, 571]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
