case_name,phase,best_epoch,base_best_epoch,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,turn_head_type,turn_head_source,lambda_turn,grad_clip_mode,model_file,report_file
main_neg2p0_down0p15_turn0p05_global_linear_readout,main_recovery,53,NaN,0.167012791729531,0.112406050156497,0.930337078651685,0.817977528089888,0.853960396039604,0.463414634146341,0.862169632045814,0.958490566037736,0.722222222222222,0.907407407407407,0.924812030075188,0.827586206896552,0.0188679245283019,linear,readout,0.05,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p15_turn0p05_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p15_turn0p05_global_linear_readout\TCN_train_report.md
main_neg4p0_down0p15_turn0p20_global_linear_readout,main_recovery,46,NaN,0.167299800865028,0.112018901988624,0.925842696629213,0.815730337078652,0.851485148514851,0.463414634146341,0.776728644691214,0.947169811320755,0.777777777777778,0.907407407407407,0.917293233082707,0.862068965517241,0.0339622641509434,linear,readout,0.2,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p15_turn0p20_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p15_turn0p20_global_linear_readout\TCN_train_report.md
main_neg2p0_down0p15_turn0p20_global_linear_readout,main_recovery,62,NaN,0.172567800804958,0.117286901928553,0.923595505617978,0.815730337078652,0.856435643564356,0.414634146341463,0.834519525032817,0.962264150943396,0.777777777777778,0.876543209876543,0.887218045112782,0.827586206896552,0.0150943396226415,linear,readout,0.2,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p15_turn0p20_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p15_turn0p20_global_linear_readout\TCN_train_report.md
main_neg2p0_down0p15_turn0p05_separate_linear_readout,main_recovery,64,NaN,0.173541376949289,0.118260478072884,0.932584269662921,0.815730337078652,0.853960396039604,0.439024390243902,1.08357802976469,0.962264150943396,0.777777777777778,0.901234567901235,0.917293233082707,0.827586206896552,0.0150943396226415,linear,readout,0.05,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p15_turn0p05_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p15_turn0p05_separate_linear_readout\TCN_train_report.md
main_neg2p0_down0p15_turn0p10_global_linear_readout,main_recovery,64,NaN,0.175074607735341,0.119793708858937,0.925842696629213,0.815730337078652,0.851485148514851,0.463414634146341,0.896765699988405,0.954716981132075,0.777777777777778,0.895061728395062,0.909774436090226,0.827586206896552,0.0264150943396226,linear,readout,0.1,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p15_turn0p10_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p15_turn0p10_global_linear_readout\TCN_train_report.md
main_neg4p0_down0p15_turn0p05_global_linear_readout,main_recovery,74,NaN,0.176922863154257,0.119394773266616,0.919101123595506,0.808988764044944,0.849009900990099,0.414634146341463,0.661649210752784,0.939622641509434,0.777777777777778,0.901234567901235,0.917293233082707,0.827586206896552,0.0377358490566038,linear,readout,0.05,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p15_turn0p05_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p15_turn0p05_global_linear_readout\TCN_train_report.md
main_neg2p0_down0p25_turn0p10_separate_linear_readout,main_recovery,61,NaN,0.180135203784473,0.124854304908069,0.928089887640449,0.815730337078652,0.856435643564356,0.414634146341463,1.21039726654314,0.950943396226415,0.777777777777778,0.907407407407407,0.917293233082707,0.862068965517241,0.0226415094339623,linear,readout,0.1,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p25_turn0p10_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p25_turn0p10_separate_linear_readout\TCN_train_report.md
main_neg2p0_down0p25_turn0p10_global_linear_readout,main_recovery,46,NaN,0.191390792390133,0.135997533963167,0.91685393258427,0.817977528089888,0.858910891089109,0.414634146341463,1.1137394938746,0.935849056603774,0.777777777777778,0.901234567901235,0.909774436090226,0.862068965517241,0.0415094339622641,linear,readout,0.1,global,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p25_turn0p10_global_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p25_turn0p10_global_linear_readout\TCN_train_report.md
main_neg4p0_down0p25_turn0p05_separate_linear_readout,main_recovery,64,NaN,0.193840102833044,0.137210889349898,0.921348314606742,0.81123595505618,0.851485148514851,0.414634146341463,1.21983566170064,0.954716981132075,0.777777777777778,0.882716049382716,0.894736842105263,0.827586206896552,0.0264150943396226,linear,readout,0.05,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg4p0_down0p25_turn0p05_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg4p0_down0p25_turn0p05_separate_linear_readout\TCN_train_report.md
main_neg2p0_down0p25_turn0p05_separate_linear_readout,main_recovery,64,NaN,0.20228538216243,0.149026955196138,0.937078651685393,0.82247191011236,0.858910891089109,0.463414634146341,1.94623158387953,0.958490566037736,0.777777777777778,0.919753086419753,0.93984962406015,0.827586206896552,0.0188679245283019,linear,readout,0.05,separate,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_main_recovery_grid_v2_main_neg2p0_down0p25_turn0p05_separate_linear_readout.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\main_recovery_grid_v2\main_neg2p0_down0p25_turn0p05_separate_linear_readout\TCN_train_report.md
