model,seed,best_epoch,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,main_confidence_mean,main_low_conf_0p60_ratio,main_low_conf_0p70_ratio,turn_confidence_mean,turn_low_conf_0p60_ratio,turn_low_conf_0p70_ratio,turn_right_recall,turn_straight_recall,turn_left_recall,theta_mae_deg,theta_abs_le_8_mae_deg,theta_abs_le_8_rmse_deg,theta_abs_le_8_p95_abs_err_deg,theta_abs_le_8_max_abs_err_deg,theta_abs_le_8_bias_deg,theta_abs_le_10_mae_deg,theta_abs_le_10_rmse_deg,theta_abs_le_10_p95_abs_err_deg,theta_abs_le_10_max_abs_err_deg,theta_abs_le_10_bias_deg,theta_pos_8_10_mae_deg,theta_pos_8_10_rmse_deg,theta_pos_8_10_p95_abs_err_deg,theta_pos_8_10_max_abs_err_deg,theta_pos_8_10_bias_deg,theta_pos_8_10_n,theta_neg_10_8_mae_deg,theta_neg_10_8_rmse_deg,theta_neg_10_8_p95_abs_err_deg,theta_neg_10_8_max_abs_err_deg,theta_neg_10_8_bias_deg,theta_neg_10_8_n,theta_pos_6_8_mae_deg,theta_pos_6_8_rmse_deg,theta_pos_6_8_p95_abs_err_deg,theta_pos_6_8_max_abs_err_deg,theta_pos_6_8_bias_deg,theta_pos_6_8_n,theta_neg_8_6_mae_deg,theta_neg_8_6_rmse_deg,theta_neg_8_6_p95_abs_err_deg,theta_neg_8_6_max_abs_err_deg,theta_neg_8_6_bias_deg,theta_neg_8_6_n,theta_active_abs_ge_2_mae_deg,theta_active_abs_ge_2_p95_abs_err_deg,theta_neg_4_2_mae_deg,theta_neg_4_2_p95_abs_err_deg,theta_neg_4_2_bias_deg,theta_neg_2_0p5_mae_deg,theta_neg_2_0p5_p95_abs_err_deg,theta_neg_2_0p5_bias_deg,theta_pos_0p5_2_mae_deg,theta_pos_0p5_2_p95_abs_err_deg,theta_pos_0p5_2_bias_deg,theta_flat_abs_p95_deg,theta_flat_abs_max_deg,theta_flat_bias_deg,theta_near_flat_abs_p95_deg,theta_near_flat_abs_max_deg,theta_near_flat_bias_deg,theta_true_zero_mae_deg,theta_true_zero_abs_p95_deg,theta_true_zero_abs_max_deg,theta_true_zero_bias_deg,theta_flat_turn_abs_p95_deg,theta_flat_turn_abs_max_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,checkpoint_file,onnx_file,report_file,case,note,run_tag,output_dir,lambda_turn,turn_transition_weight,turn_class_multipliers,select_turn_weight,select_turn_transition_weight,select_turn_lr_weight,turn_lr_ratio,stage2_offline_score,stage2_gate,stage2_rank
ModernTCN-small,303,66,0.9666851749028318,0.6074403109383676,0.6168543159331287,0.5663189269746647,0.9884829815275756,0.006662965019433648,0.011660188784008884,0.8104388186705729,0.1951693503609106,0.31149361465852304,0.5269086357947435,0.6683911019141231,0.5459770114942529,0.7080336213111877,0.678756833076477,0.9145348072052002,1.8491400480270386,6.383989334106445,-0.16913791000843048,0.708033561706543,0.9735711216926575,1.9131401777267456,7.264015197753906,-0.25210511684417725,1.1581792831420898,1.5161356925964355,2.8260231018066406,7.264015197753906,-1.0229647159576416,328.0,0.5283266305923462,0.7691969871520996,1.4961601495742798,5.173711776733398,-0.19896666705608368,363.0,0.7288781404495239,0.9101697206497192,1.8043880462646484,3.605724573135376,-0.44767963886260986,378.0,0.6004090905189514,0.8008973002433777,1.6901251077651978,3.4837379455566406,-0.36349278688430786,378.0,0.7150082588195801,1.918924331665039,0.6002722382545471,1.7289263010025024,-0.37630531191825867,0.5856165289878845,1.5057653188705444,0.01894310675561428,0.6679925322532654,1.9273982048034668,0.17161114513874054,2.664407730102539,5.831131458282471,0.19286052882671356,1.9394304752349854,4.712862014770508,0.3430745303630829,nan,nan,nan,nan,1.8029698133468628,4.648528575897217,0.9656084656084656,0.6354166666666666,0.9785454545454545,0.7586009174311926,0.7911464245175936,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt30_lr_seed303\modern_tcn_seed303.pt,,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt30_lr_seed303\ModernTCN_train_report.md,l020_tt30_lr,strongest L/R balance focus,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt30_lr_seed303,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt30_lr_seed303,0.2,3.0,1.5 0.75 1.5,0.6,1.45,0.8,0.9650747645082669,0.04175740414760143,1,1
ModernTCN-small,101,83,0.9566907273736813,0.5882842865074959,0.5987717502558854,0.5424739195230999,0.9874938247558589,0.004997223764575236,0.014714047751249307,0.8427677988895192,0.13076068850638534,0.22598556357579122,0.6007509386733417,0.5995861355406105,0.5517241379310345,0.6245712637901306,0.6150147318840027,0.8511489629745483,1.6129595041275024,6.164453506469727,-0.04579155147075653,0.6245712637901306,0.88548344373703,1.679400086402893,6.2566022872924805,-0.05379221960902214,0.8108491897583008,1.1684523820877075,2.470487356185913,6.2566022872924805,-0.40420001745224,328.0,0.5303629636764526,0.84930020570755,1.5239264965057373,6.204744815826416,0.20078596472740173,363.0,0.5926843285560608,0.8231834173202515,1.6978390216827393,3.6463258266448975,-0.11200881749391556,378.0,0.5581161379814148,0.8109979033470154,1.5937353372573853,4.420748233795166,-0.1425972282886505,378.0,0.6413640379905701,1.697939395904541,0.7203407287597656,1.6538982391357422,-0.31471681594848633,0.5888747572898865,1.4425965547561646,0.024328578263521194,0.5333042144775391,1.6882824897766113,0.05382217839360237,2.683206558227539,6.375624179840088,0.025239408016204834,1.6664142608642578,4.11132287979126,-0.0019454490393400192,nan,nan,nan,nan,1.577476978302002,4.11132287979126,0.9312169312169312,0.7083333333333334,0.9723636363636363,0.7488532110091743,0.8059023836549376,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt30_lr_seed101\modern_tcn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt30_lr_seed101\ModernTCN_train_report.md,l020_tt30_lr,strongest L/R balance focus,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt30_lr_seed101,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt30_lr_seed101,0.2,3.0,1.5 0.75 1.5,0.6,1.45,0.8,0.9183908045977011,0.07084063047167312,1,2
ModernTCN-small,303,70,0.9569683509161577,0.5882842865074959,0.5994541112248379,0.5394932935916542,0.9893035841820149,0.007495835646862854,0.013603553581343698,0.8219136460193953,0.1668517490283176,0.28345363686840647,0.5519399249061326,0.6021727884117951,0.5908045977011495,0.676194429397583,0.6687831282615662,0.9086905121803284,1.7941598892211914,6.994279861450195,0.1451425552368164,0.6761944890022278,0.9449684619903564,1.8960587978363037,7.004931449890137,0.16169415414333344,0.7572351098060608,1.1836860179901123,2.6463541984558105,6.336360931396484,-0.1891602724790573,328.0,0.6604413390159607,0.9773948788642883,1.5728082656860352,7.004931449890137,0.6070744395256042,363.0,0.5678888559341431,0.8229222297668457,1.83743417263031,3.9531373977661133,0.24083544313907623,378.0,0.6695148944854736,0.9577972292900085,1.9648199081420898,4.821220397949219,0.42330077290534973,378.0,0.6723970770835876,1.9480658769607544,0.6431452631950378,1.5876494646072388,0.3090986907482147,0.6065313816070557,1.6503709554672241,-0.09131874889135361,0.7459645867347717,1.6725430488586426,-0.07793934643268585,2.419431209564209,6.774926662445068,-0.16913698613643646,1.9051483869552612,4.32672119140625,-0.31598204374313354,nan,nan,nan,nan,1.6714226007461548,3.6583456993103027,0.9298941798941799,0.6458333333333334,0.9752727272727273,0.7557339449541285,0.804199772985244,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l018_tt22_bal_seed303\modern_tcn_seed303.pt,,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l018_tt22_bal_seed303\ModernTCN_train_report.md,l018_tt22_bal,slightly softer than champion,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l018_tt22_bal_seed303,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l018_tt22_bal_seed303,0.18,2.2,1.35 0.85 1.35,0.55,1.25,0.55,0.9342173826232205,0.07763531499813042,1,3
ModernTCN-small,303,65,0.961965574680733,0.5846751804553026,0.6015011941316957,0.511177347242921,0.987453328917661,0.00694058856191005,0.013048306496390895,0.8195466577919522,0.17101610216546362,0.2773459189339256,0.6458072590738423,0.5654423176409726,0.5712643678160919,0.62678062915802,0.6230472922325134,0.8782076239585876,1.698954463005066,6.633385181427002,0.21261604130268097,0.6267805695533752,0.8924338817596436,1.7539300918579102,6.633385181427002,0.11737962067127228,0.7712543606758118,1.0864571332931519,2.0985195636749268,5.4273905754089355,-0.4655093550682068,328.0,0.5251877903938293,0.8030245900154114,1.5186939239501953,5.406715393066406,-0.09447432309389114,363.0,0.46777698397636414,0.6942955851554871,1.5004998445510864,3.1660444736480713,0.024124527350068092,378.0,0.5228082537651062,0.7443155646324158,1.6823581457138062,4.365224838256836,-0.16057924926280975,378.0,0.5589715242385864,1.6374510526657104,0.5189858078956604,1.2982757091522217,0.23526127636432648,0.7752589583396912,1.939782738685608,0.5877066254615784,0.9057680368423462,1.77599036693573,0.4841518700122833,2.7566497325897217,6.473940372467041,0.5803057551383972,2.298954486846924,4.848270893096924,0.6685278415679932,nan,nan,nan,nan,1.9002665281295776,3.82564377784729,0.9470899470899471,0.6354166666666666,0.9774545454545455,0.7557339449541285,0.8002270147559591,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l022_tt28_turn_seed303\modern_tcn_seed303.pt,,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l022_tt28_turn_seed303\ModernTCN_train_report.md,l022_tt28_turn,stronger turn transition focus,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l022_tt28_turn_seed303,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l022_tt28_turn_seed303,0.22,2.8,1.45 0.75 1.45,0.62,1.35,0.7,0.8845740889245299,0.08960625530080699,1,4
ModernTCN-small,101,63,0.9669627984453082,0.5788450860632982,0.5974070283179802,0.4977645305514158,0.9876970443819668,0.009439200444197668,0.01526929483620211,0.83726716650093,0.14519711271515826,0.24014436424208774,0.6120150187734669,0.5763062596999483,0.5540229885057472,0.6793947815895081,0.6618751883506775,0.8755007982254028,1.7706108093261719,5.811408996582031,-0.25670430064201355,0.6793947815895081,0.9201287627220154,1.8274656534194946,6.077713489532471,-0.2525699734687805,0.9173101782798767,1.301466941833496,2.755056858062744,6.077713489532471,-0.4389483332633972,328.0,0.6002802848815918,0.8381986021995544,1.3394113779067993,4.854050636291504,-0.052101049572229385,363.0,0.5540636777877808,0.7625554800033569,1.5540721416473389,3.742820978164673,0.00013053858128841966,378.0,0.6559375524520874,0.8323327898979187,1.7457143068313599,4.081316947937012,-0.28892046213150024,378.0,0.6790974140167236,1.83830726146698,0.7348068952560425,1.859179973602295,-0.4921816885471344,0.6102249622344971,1.568618893623352,-0.40880441665649414,0.6528353095054626,1.5544679164886475,-0.4152231216430664,2.556459426879883,5.335740089416504,-0.4760620892047882,2.3973114490509033,5.335740089416504,-0.5854495167732239,nan,nan,nan,nan,2.250434398651123,4.876500129699707,0.9695767195767195,0.71875,0.974909090909091,0.7494266055045872,0.7928490351872872,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt25_bal_seed101\modern_tcn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt25_bal_seed101\ModernTCN_train_report.md,l020_tt25_bal,current champion neighborhood,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt25_bal_seed101,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt25_bal_seed101,0.2,2.5,1.4 0.8 1.4,0.55,1.2,0.6,0.9052441059633782,0.0904590163934426,1,5
ModernTCN-small,101,56,0.9655746807329262,0.5749583564686286,0.593654042988741,0.4932935916542474,0.9865184770161375,0.00555247084952804,0.012770682953914493,0.8104755429534923,0.1779566907273737,0.29789006107717936,0.5732165206508135,0.5732022762545267,0.5804597701149425,0.7081950306892395,0.6823572516441345,0.9284688830375671,1.7495875358581543,5.969012260437012,0.13787342607975006,0.7081949710845947,0.991646409034729,1.8880451917648315,7.0596232414245605,0.11231662333011627,0.928656816482544,1.3234237432479858,2.759397029876709,7.0596232414245605,-0.3798631429672241,328.0,0.7093567848205566,1.1090787649154663,2.1006085872650146,6.971923828125,0.35885268449783325,363.0,0.6018511056900024,0.8179631233215332,1.5823049545288086,3.7830212116241455,0.2323145717382431,378.0,0.6183546185493469,0.9097227454185486,1.8018258810043335,5.916553020477295,0.19115959107875824,378.0,0.7087357044219971,1.8889137506484985,0.6425840258598328,1.7386198043823242,0.10232671350240707,0.6885668039321899,1.6966153383255005,0.12845267355442047,0.6848097443580627,1.727532148361206,0.0893172100186348,2.753549814224243,5.7493181228637695,0.09422030299901962,2.3649446964263916,4.416483402252197,0.07351037114858627,nan,nan,nan,nan,2.09037446975708,3.3374180793762207,0.9563492063492064,0.71875,0.9767272727272728,0.7557339449541285,0.7951191827468785,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l018_tt22_bal_seed101\modern_tcn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l018_tt22_bal_seed101\ModernTCN_train_report.md,l018_tt22_bal,slightly softer than champion,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l018_tt22_bal_seed101,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l018_tt22_bal_seed101,0.18,2.2,1.35 0.85 1.35,0.55,1.25,0.55,0.987521530626154,0.12285883400088442,1,6
ModernTCN-small,303,46,0.9558578567462521,0.5666296501943365,0.5759126577959741,0.526080476900149,0.9852330515452593,0.003886729594669628,0.010827318156579679,0.7814666904833347,0.2215435868961688,0.34342032204330925,0.5569461827284106,0.5245732022762545,0.6689655172413793,0.7047197818756104,0.66692715883255,0.9397382140159607,1.966500163078308,7.401513576507568,-0.16609589755535126,0.7047197818756104,1.0191820859909058,2.1136507987976074,7.87387228012085,-0.24807149171829224,1.1290746927261353,1.637025237083435,3.7122175693511963,7.87387228012085,-0.9016900658607483,328.0,0.6143554449081421,0.8733192682266235,1.6669827699661255,6.198507308959961,-0.29318010807037354,363.0,0.6924522519111633,0.9398061633110046,1.887930154800415,3.854281425476074,-0.14487794041633606,378.0,0.554742157459259,0.7198216319084167,1.2920680046081543,4.0901007652282715,-0.29486745595932007,378.0,0.7297083735466003,2.1726107597351074,0.548893392086029,1.3432704210281372,-0.0960225909948349,0.7000378370285034,1.6770349740982056,0.165482297539711,0.5511513352394104,1.6860240697860718,0.03457638621330261,2.9072608947753906,6.599173545837402,0.15659436583518982,1.8471299409866333,4.916248798370361,0.26892197132110596,nan,nan,nan,nan,1.5181559324264526,3.8931760787963867,0.951058201058201,0.6458333333333334,0.968,0.7419724770642202,0.7968217934165721,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt25_bal_seed303\modern_tcn_seed303.pt,,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt25_bal_seed303\ModernTCN_train_report.md,l020_tt25_bal,current champion neighborhood,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt25_bal_seed303,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l020_tt25_bal_seed303,0.2,2.5,1.4 0.8 1.4,0.55,1.2,0.6,0.8325484174806137,0.1478663174135475,0,7
ModernTCN-small,101,55,0.9553026096612993,0.5571904497501388,0.5673831456840669,0.5126676602086438,0.9867062506653613,0.008883953359244865,0.0138811771238201,0.8082166449116658,0.17046085508051081,0.2853970016657413,0.6320400500625782,0.49042938437661665,0.6367816091954023,0.7609070539474487,0.7484439015388489,1.0078630447387695,1.923689365386963,6.585471153259277,0.3591892421245575,0.760906994342804,1.049961805343628,2.056119918823242,6.665866374969482,0.2975190579891205,1.0102734565734863,1.42667555809021,3.147061586380005,6.665866374969482,-0.3715921640396118,328.0,0.6322334408760071,0.9649916887283325,1.732201337814331,5.8244171142578125,0.4238741993904114,363.0,0.5974390506744385,0.8946384191513062,1.7045412063598633,4.498945236206055,0.0006293531623668969,378.0,0.8846681118011475,1.1645747423171997,2.46512508392334,3.3098127841949463,0.6849325895309448,378.0,0.786239504814148,2.1636290550231934,0.7646918296813965,2.0600192546844482,0.3355676233768463,0.7462071180343628,1.9616495370864868,0.5834974646568298,0.7102778553962708,1.5007026195526123,-0.08748151361942291,2.354855537414551,6.185539245605469,0.16105931997299194,1.5903518199920654,4.4298176765441895,0.088792584836483,nan,nan,nan,nan,1.517461895942688,2.767943859100342,0.9285714285714286,0.6666666666666666,0.9727272727272728,0.7482798165137615,0.8081725312145289,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l022_tt28_turn_seed101\modern_tcn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l022_tt28_turn_seed101\ModernTCN_train_report.md,l022_tt28_turn,stronger turn transition focus,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l022_tt28_turn_seed101,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\modern_tcn_stage2_targeted\modern_tcn_v5_plantfix_stage2_l022_tt28_turn_seed101,0.22,2.8,1.45 0.75 1.45,0.62,1.35,0.7,0.9925538692318467,0.17626044067367502,0,8
