case_name,phase,best_epoch,base_best_epoch,pg_score,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,lambda_phy,lambda_smooth,turn_transition_weight,staged,model_file,report_file
production_current_phy0p000_smooth0p001_trans1p25_staged,pg_staged,71,62,0.853425981676372,0.310418629755162,0.252104023013589,0.813483146067416,0.89438202247191,0.918316831683168,0.658536585365854,0.507568289303465,0.841509433962264,0.777777777777778,0.771604938271605,0.75187969924812,0.862068965517241,0.128301886792453,0,0.001,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p000_smooth0p001_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p000_smooth0p001_trans1p25_staged\TCN_train_report.md
production_current_phy0p000_smooth0p000_trans1p25_staged,pg_staged,67,59,0.866855823961484,0.329261746812462,0.27229545467763,0.813483146067416,0.898876404494382,0.925742574257426,0.634146341463415,1.0310801413386,0.837735849056604,0.777777777777778,0.777777777777778,0.759398496240602,0.862068965517241,0.132075471698113,0,0,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p000_smooth0p000_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p000_smooth0p000_trans1p25_staged\TCN_train_report.md
production_current_phy0p002_smooth0p000_trans1p00_staged,pg_staged,75,59,0.868592945593971,0.327929362759698,0.270401272872057,0.81123595505618,0.898876404494382,0.928217821782178,0.609756097560976,0.908677896390059,0.833962264150943,0.777777777777778,0.777777777777778,0.759398496240602,0.862068965517241,0.135849056603774,0.002,0,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p002_smooth0p000_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p002_smooth0p000_trans1p00_staged\TCN_train_report.md
production_current_phy0p005_smooth0p000_trans1p25_staged,pg_staged,64,59,0.879129836896873,0.331505938160283,0.269258747149047,0.81123595505618,0.88314606741573,0.913366336633663,0.585365853658537,0.880114753314809,0.833962264150943,0.777777777777778,0.777777777777778,0.759398496240602,0.862068965517241,0.135849056603774,0.005,0,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p005_smooth0p000_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p005_smooth0p000_trans1p25_staged\TCN_train_report.md
production_current_phy0p005_smooth0p001_trans1p00_staged,pg_staged,75,59,0.886540939197314,0.324429123460937,0.267575190876668,0.81123595505618,0.901123595505618,0.928217821782178,0.634146341463415,0.800573725637113,0.841509433962264,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.128301886792453,0.005,0.001,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p005_smooth0p001_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p005_smooth0p001_trans1p00_staged\TCN_train_report.md
production_current_phy0p001_smooth0p000_trans1p25_staged,pg_staged,69,62,0.899538131880413,0.331567166149835,0.275387390868936,0.81123595505618,0.903370786516854,0.930693069306931,0.634146341463415,0.995878725443822,0.841509433962264,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.128301886792453,0.001,0,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p001_smooth0p000_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p001_smooth0p000_trans1p25_staged\TCN_train_report.md
production_current_phy0p001_smooth0p003_trans1p00_staged,pg_staged,69,58,0.903459425508626,0.326785325264899,0.271279707287371,0.81123595505618,0.90561797752809,0.933168316831683,0.634146341463415,0.87446057547059,0.845283018867925,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.124528301886792,0.001,0.003,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p001_smooth0p003_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p001_smooth0p003_trans1p00_staged\TCN_train_report.md
production_current_phy0p000_smooth0p003_trans1p00_staged,pg_staged,71,58,0.903947108160814,0.322765252147497,0.264001207203676,0.808988764044944,0.896629213483146,0.920792079207921,0.658536585365854,0.617450373569033,0.841509433962264,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.128301886792453,0,0.003,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p000_smooth0p003_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p000_smooth0p003_trans1p00_staged\TCN_train_report.md
production_current_phy0p002_smooth0p000_trans1p25_staged,pg_staged,67,58,0.914155672552883,0.340208971092691,0.283355038508421,0.81123595505618,0.901123595505618,0.928217821782178,0.634146341463415,1.19506991643095,0.841509433962264,0.777777777777778,0.765432098765432,0.744360902255639,0.862068965517241,0.128301886792453,0.002,0,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p002_smooth0p000_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p002_smooth0p000_trans1p25_staged\TCN_train_report.md
production_current_phy0p002_smooth0p003_trans1p00_staged,pg_staged,64,58,0.924369633534663,0.337862543929427,0.276963667524932,0.81123595505618,0.887640449438202,0.918316831683168,0.585365853658537,1.01655958140963,0.845283018867925,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.124528301886792,0.002,0.003,1,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p002_smooth0p003_trans1p00_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p002_smooth0p003_trans1p00_staged\TCN_train_report.md
production_current_phy0p000_smooth0p003_trans1p25_staged,pg_staged,67,58,0.946722691726475,0.355276839453651,0.296962232712078,0.813483146067416,0.89438202247191,0.920792079207921,0.634146341463415,1.59157141089746,0.849056603773585,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.120754716981132,0,0.003,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p000_smooth0p003_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p000_smooth0p003_trans1p25_staged\TCN_train_report.md
production_current_phy0p005_smooth0p001_trans1p25_staged,pg_staged,64,58,0.956232973653686,0.353038881836866,0.290229893072821,0.808988764044944,0.88314606741573,0.913366336633663,0.585365853658537,1.27316752029764,0.841509433962264,0.777777777777778,0.759259259259259,0.736842105263158,0.862068965517241,0.128301886792453,0.005,0.001,1.25,1,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_sweep_staged_v2_production_current_phy0p005_smooth0p001_trans1p25_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_sweep_staged_v2\production_current_phy0p005_smooth0p001_trans1p25_staged\TCN_train_report.md
