epoch,lr,train_loss,val_loss,val_score,val_acc_main,val_acc_turn,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_flat_recall,val_stall_recall,val_slope_recall
1,0.0009998286624877785,0.619812004433937,0.25119259695142454,1.137874492212315,0.9273204903677759,0.7250437828371279,0.9155313351498637,0.7794561933534743,0.37328094302554027,3.7148563861846924,0.9112122936824132,0.9124087591240876,0.9505376344086022
2,0.0009993147673772868,0.18806731174562755,0.1835498916462577,0.9861459979308888,0.9591360186806772,0.7297139521307647,0.9305177111716622,0.8157099697885196,0.4086444007858546,3.818523406982422,0.9601593625498008,0.9379562043795621,0.9620071684587813
3,0.000998458666866564,0.14265403023557496,0.16089540732164379,0.8272432891895372,0.9582603619381203,0.7486865148861647,0.9427792915531336,0.8338368580060423,0.4538310412573674,1.8232687711715698,0.9686966420034149,0.9306569343065694,0.9505376344086022
4,0.0009972609476841365,0.1225607617461961,0.14650618568958765,0.7445495337292154,0.963806187974314,0.7594862813776999,0.9577656675749319,0.8534743202416919,0.4931237721021611,1.8759444952011108,0.9595902105862265,0.9379562043795621,0.9741935483870968
5,0.000995722430686905,0.10763236470005273,0.13284492762775638,0.6800355661540918,0.9681844716870986,0.7769994162288383,0.9536784741144414,0.8549848942598187,0.5108055009823183,1.5027689933776855,0.9698349459305634,0.948905109489051,0.9698924731182795
6,0.0009938441702975688,0.09971083676642993,0.1436850847953673,0.6883574581978987,0.967600700525394,0.7807939287799183,0.9673024523160763,0.8685800604229608,0.5304518664047151,2.444927930831909,0.9681274900398407,0.9598540145985401,0.9684587813620071
7,0.0009916274537819772,0.09013670441872086,0.146990816263831,0.6417767738162882,0.9667250437828371,0.7866316403969644,0.9741144414168937,0.8640483383685801,0.5442043222003929,1.5377768278121948,0.9681274900398407,0.9051094890510949,0.9770609318996416
8,0.0009890738003669026,0.08478988817099413,0.1317524340240773,0.5694461174527367,0.9702276707530648,0.7845884413309983,0.9713896457765667,0.8836858006042296,0.5736738703339882,1.1908793449401855,0.977233921457029,0.927007299270073,0.9698924731182795
9,0.000986184960198838,0.08206268470024246,0.12281927734317657,0.5518688357044935,0.9746059544658494,0.7898423817863398,0.9673024523160763,0.8927492447129909,0.5776031434184676,1.3327139616012573,0.974957313602732,0.9708029197080292,0.974910394265233
10,0.0009829629131445337,0.07205489737687883,0.12119193311173945,0.5315225257295073,0.9763572679509632,0.793928779918272,0.9673024523160763,0.8821752265861027,0.581532416502947,1.03169584274292,0.9789413773477519,0.948905109489051,0.978494623655914
11,0.0009794098674340962,0.07289946663472857,0.11580137996752221,0.5134966182833878,0.9775248102743724,0.7942206654991243,0.9455040871934605,0.8882175226586103,0.5854616895874263,0.8507638573646545,0.9789413773477519,0.9781021897810219,0.9756272401433692
12,0.0009755282581475765,0.07016937312587729,0.12835385317229694,0.5233899003413371,0.9708114419147694,0.8009340338587274,0.952316076294278,0.8580060422960725,0.593320235756385,1.0431619882583618,0.9669891861126921,0.9416058394160584,0.9813620071684588
13,0.000971320745546089,0.06902954326522544,0.1115885910518811,0.5208275769582105,0.9766491535318156,0.8003502626970228,0.9659400544959128,0.8761329305135952,0.587426326129666,1.4067586660385132,0.9806488332384746,0.948905109489051,0.9770609318996416
14,0.0009667902132486006,0.0661695380209622,0.11735977573886783,0.5065306328787638,0.9757734967892586,0.791009924109749,0.9686648501362398,0.8927492447129909,0.593320235756385,0.8476556539535522,0.9726807057484348,0.9671532846715328,0.9813620071684588
15,0.0009619397662556431,0.06500677959349452,0.13891441007489985,0.5239986093294403,0.9754816112084063,0.7956800934033859,0.9741144414168937,0.8897280966767371,0.593320235756385,0.7795403599739075,0.9738190096755834,0.9708029197080292,0.978494623655914
16,0.0009567727288213001,0.06549370307979352,0.1166285088125962,0.5060827290909089,0.9807355516637478,0.8009340338587274,0.9713896457765667,0.8549848942598187,0.5913555992141454,1.0896729230880737,0.9800796812749004,0.948905109489051,0.9878136200716846
17,0.0009512926421749302,0.062040598195895184,0.11441039979475252,0.4782986515546458,0.9792761237594863,0.8023934617629889,0.9741144414168937,0.8700906344410876,0.6031434184675835,0.8025411367416382,0.9817871371656233,0.9598540145985401,0.9799283154121864
18,0.0009455032620941837,0.06085766813148236,0.1349569602591631,0.5139431426367502,0.972270869819031,0.7994746059544658,0.9713896457765667,0.8806646525679759,0.6011787819253438,0.9254176020622253,0.9726807057484348,0.9197080291970803,0.982078853046595
19,0.0009394085563309825,0.05945798466166888,0.11104136703658786,0.4846893017132254,0.9813193228254524,0.7974314068884997,0.9768392370572208,0.8806646525679759,0.593320235756385,0.6221104860305786,0.9806488332384746,0.9708029197080292,0.9842293906810036
20,0.0009330127018922192,0.05875951164254781,0.12250266143681358,0.4938960311116049,0.978984238178634,0.7965557501459428,0.9768392370572208,0.8670694864048338,0.6051080550098232,1.0439188480377197,0.9846328969834945,0.9598540145985401,0.9756272401433692
21,0.0009263200821770459,0.0576267565839705,0.11438348978079346,0.4637049899338659,0.9804436660828955,0.8038528896672504,0.9741144414168937,0.8685800604229608,0.6110019646365422,0.7731519341468811,0.9732498577120091,0.9635036496350365,0.992831541218638
22,0.0009193352839727118,0.05974957051670702,0.11468954730976832,0.44483944246333196,0.9813193228254524,0.8047285464098074,0.9673024523160763,0.8549848942598187,0.6227897838899804,0.7672722339630127,0.9852020489470689,0.9452554744525548,0.9835125448028674
23,0.0009120630943110076,0.05703224454722488,0.11300898521651459,0.44154870107867467,0.981903093987157,0.8085230589608874,0.9727520435967303,0.8867069486404834,0.6208251473477406,0.6980686783790588,0.9874786568013659,0.9671532846715328,0.9777777777777777
24,0.0009045084971874735,0.05601321512489382,0.11691319924206742,0.5019220765513399,0.9760653823701109,0.7950963222416813,0.9795640326975477,0.8595166163141994,0.5893909626719057,0.5902954936027527,0.9760956175298805,0.9416058394160584,0.9827956989247312
25,0.0008966766701456174,0.05996341953973632,0.11740269065251215,0.4660458106279363,0.9763572679509632,0.8038528896672504,0.9768392370572208,0.8836858006042296,0.6149312377210217,0.8107896447181702,0.9698349459305634,0.9525547445255474,0.989247311827957
26,0.0008885729807284853,0.05521631173148832,0.10410050574801014,0.41595062494967666,0.9842381786339754,0.8076474022183304,0.9782016348773842,0.8746223564954683,0.6286836935166994,0.5979179739952087,0.9857712009106432,0.9781021897810219,0.9835125448028674
27,0.0008802029828000154,0.05296092246912792,0.10533384071479258,0.4252873631299488,0.9836544074722708,0.8079392877991827,0.9727520435967303,0.8821752265861027,0.6247544204322201,0.6569734811782837,0.9846328969834945,0.948905109489051,0.989247311827957
28,0.000871572412738697,0.05340662584452477,0.10521436089479082,0.45962471532929805,0.9842381786339754,0.7980151780502043,0.9782016348773842,0.8670694864048338,0.6031434184675835,0.5790416598320007,0.9869095048377917,0.9598540145985401,0.985663082437276
29,0.0008626871855061437,0.053286849772328004,0.1075475135751795,0.43486078096773717,0.9836544074722708,0.8093987157034442,0.9768392370572208,0.879154078549849,0.6168958742632613,0.5336948037147522,0.9880478087649402,0.9452554744525548,0.985663082437276
30,0.0008535533905932737,0.05126701842856852,0.11425658822999109,0.45782380952971047,0.9807355516637478,0.8102743724460012,0.9754768392370572,0.8746223564954683,0.6110019646365422,0.6980968713760376,0.9829254410927718,0.9452554744525548,0.9849462365591398
31,0.0008441772878468768,0.05304967357552489,0.11641436731317763,0.4352554396416218,0.9792761237594863,0.812025685931115,0.9768392370572208,0.850453172205438,0.6286836935166994,0.7385193109512329,0.9823562891291975,0.9452554744525548,0.982078853046595
32,0.0008345653031794289,0.05031934355038946,0.1085699957605697,0.4161182240471414,0.9798598949211909,0.8093987157034442,0.9795640326975477,0.8549848942598187,0.6345776031434185,0.6324628591537476,0.981217985202049,0.9416058394160584,0.985663082437276
33,0.0008247240241650917,0.04892689963725412,0.10683914953793829,0.4274430587094642,0.9839462930531232,0.8105662580268534,0.9754768392370572,0.8625377643504532,0.6247544204322201,0.7321653962135315,0.9852020489470689,0.9744525547445255,0.9842293906810036
34,0.0008146601955249186,0.05123988062689911,0.1045610377824905,0.44930615631387083,0.9836544074722708,0.8047285464098074,0.9782016348773842,0.8700906344410876,0.6110019646365422,0.7422248721122742,0.9829254410927718,0.9671532846715328,0.9878136200716846
35,0.0008043807145043601,0.05083513901901045,0.11065523850938694,0.43754827344673397,0.98482194979568,0.8114419147694104,0.9809264305177112,0.8640483383685801,0.6208251473477406,0.7891221046447754,0.983494593056346,0.9671532846715328,0.9899641577060931
36,0.0007938926261462363,0.050009483966351416,0.11172234718032699,0.4243296029490705,0.9807355516637478,0.814944541739638,0.9713896457765667,0.8655589123867069,0.6267190569744597,0.5297887921333313,0.9857712009106432,0.9416058394160584,0.982078853046595
37,0.0007832031184624162,0.04698253156448156,0.11616204294522325,0.4518838669162435,0.9807355516637478,0.8129013426736719,0.9795640326975477,0.8746223564954683,0.6247544204322201,1.1679892539978027,0.9806488332384746,0.948905109489051,0.9870967741935484
38,0.0007723195175075133,0.048226750476293656,0.11878355799522305,0.43554104231930624,0.9810274372446001,0.8123175715119673,0.9686648501362398,0.8685800604229608,0.6227897838899804,0.43761277198791504,0.9789413773477519,0.9635036496350365,0.9870967741935484
39,0.0007612492823579742,0.04727325633894014,0.11694159766281827,0.4337189266873974,0.9807355516637478,0.8126094570928196,0.9768392370572208,0.8534743202416919,0.6267190569744597,0.6298731565475464,0.9823562891291975,0.9343065693430657,0.9878136200716846
40,0.0007499999999999998,0.048004758626814,0.11767308423986089,0.44523140529915617,0.9801517805020432,0.8096906012842966,0.9686648501362398,0.8867069486404834,0.6267190569744597,0.9211329221725464,0.9789413773477519,0.9817518248175182,0.9813620071684588
41,0.0007385793801298041,0.0467484574919534,0.10511368995024598,0.4127173224124818,0.9862813776999416,0.8131932282545242,0.9768392370572208,0.8655589123867069,0.6267190569744597,0.5186736583709717,0.9931701764371087,0.9744525547445255,0.9799283154121864
42,0.0007269952498697732,0.047924170466123114,0.11046486654113902,0.42351206021984866,0.981903093987157,0.8088149445417396,0.9618528610354223,0.879154078549849,0.6267190569744597,0.48121151328086853,0.9806488332384746,0.9598540145985401,0.9878136200716846
43,0.0007152555484041474,0.048700433040303207,0.11393505798068856,0.4259692721271793,0.9792761237594863,0.812025685931115,0.9809264305177112,0.8655589123867069,0.6286836935166994,0.5116240382194519,0.9766647694934547,0.9744525547445255,0.9835125448028674
44,0.0007033683215378999,0.044145966106628125,0.12160060977942751,0.43558085636307137,0.9821949795680094,0.8093987157034442,0.9686648501362398,0.8685800604229608,0.6267190569744597,0.5317723155021667,0.981217985202049,0.9817518248175182,0.9835125448028674
45,0.0006913417161825446,0.04391500054804302,0.10737639772599716,0.41149993220828385,0.9836544074722708,0.8131932282545242,0.9727520435967303,0.8851963746223565,0.6286836935166994,0.41333654522895813,0.9806488332384746,0.9817518248175182,0.9878136200716846
46,0.00067918397477265,0.04698640621674398,0.11710542319935105,0.4243461713442145,0.981903093987157,0.8114419147694104,0.9700272479564033,0.8836858006042296,0.6286836935166994,0.4296779930591583,0.974957313602732,0.9890510948905109,0.989247311827957
47,0.0006669034296168852,0.04613676434825217,0.13463007135048152,0.42845059212302905,0.9804436660828955,0.8146526561587858,0.9782016348773842,0.8580060422960725,0.6404715127701375,0.5765928030014038,0.9806488332384746,0.9343065693430657,0.989247311827957
48,0.0006545084971874735,0.04702139188475589,0.12759028847497314,0.42106995189447444,0.978984238178634,0.8181552831290134,0.9686648501362398,0.8731117824773413,0.6404715127701375,0.5749604105949402,0.9783722253841776,0.948905109489051,0.985663082437276
49,0.0006420076723519612,0.04416052349185055,0.1276954849795925,0.4087233763641286,0.9813193228254524,0.821657910099241,0.9782016348773842,0.8625377643504532,0.6444007858546169,0.49257826805114746,0.983494593056346,0.927007299270073,0.989247311827957
50,0.0006294095225512601,0.044640298450272696,0.11518308028396082,0.4237053469864153,0.9830706363105662,0.8172796263864565,0.9782016348773842,0.8595166163141994,0.6385068762278978,1.0997676849365234,0.9857712009106432,0.9598540145985401,0.9842293906810036
