controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
baseline_lock,all,0,52,52,5151,0.0405837714490269,0.12690287779986,1.40274657735239,0.0415952419404275,0.0946014381012255,0.0355769981358947,0.129934566927505,0.0219126603467524,0.100119389051316,0.513652824986013,0.679181139413126,157.137673102785,224.704391134481,0,0,0.0792461283900394,1.35086687840308,0.07765482430596,0,0,5.32370259076876,2.30721172899333,0.0218318199973113,0.0208541,0.022550575,0.023888691,0.2452377,0,0.600177618700356,3.32314074074074,0.712585144187336,0.016546320359511,0.0240934768744909,94.1370607649,48.8448844884488,12.323064113239,96.1012658227848,91.3473423980222,46.6309341500766,23.4323432343234,0,76.5676567656766,27.4898078043098,36.2065618326539,36.3036303630363
s01_lr13_select_edges_flat_seed21,all,0,52,52,5151,0.0205408189293081,0.0550504984333886,0.732830331378158,0.0309641735071299,0.0808952200318611,0.0322869332508827,0.129934566927505,0.0189456265011123,0.084891155442451,0.370727090242071,0.600367344231753,157.014677930197,223.992150270889,0,0,0.0795112352116028,0.150997524046106,0,0,0,2.2500143202978,1.50000148295781,0.00314188194967206,0.0218859,0.04383494,0.049628466,0.3789432,0,0.512503661472078,3.564,0.6058605278594,0.016443859339017,0.0214878515704513,94.9524364201126,56.6491943311978,12.40632805995,97.1898734177215,100,73.7366003062787,22.5781401669579,0,77.4218598330421,39.778683750728,23.4323432343234,36.7889730149486
s01_lr13_select_edges_flat_seed42,all,0,52,52,5151,0.0311027631799267,0.0719823726659885,1.171767853296,0.0415356671694172,0.101165991611928,0.0395760905245109,0.129934566927505,0.0227722840314116,0.110617605177323,0.532910385041965,0.855326548129494,157.234286401228,226.772453593745,0,0,0.0810011571251793,0.491990609217028,0,0,0,2.36195734915861,1.53682953832183,0.0105980800204332,0.0233353,0.029147875,0.039788088,0.3524717,0,0.691016036732837,3.32314074074074,0.831232350103179,0.0178718810150713,0.0190523137115606,92.8751698699282,45.8357600465929,16.3197335553705,95.6708860759494,88.627935723115,33.5375191424196,22.8305183459522,0,77.1694816540478,28.6934575810522,39.3709959231217,31.935546495826
s01_lr13_select_edges_flat_seed101,all,0,52,52,5151,0.0322499452558001,0.0795174233907091,1.1253695901634,0.030700562094096,0.0762908933339241,0.0296560750217,0.129934566927505,0.0181407711426321,0.077080792515386,0.374812065960075,0.564021405323027,156.979806088209,226.743519785929,0,0,0.0833869520664593,0.153629671858711,0,0,0,2.71604913262575,1.64804212834811,0.00250515779355082,0.0209685,0.032545415,0.047209284,0.2648395,0,0.479683299027054,3.02459259259259,0.590861986156937,0.0160176339750333,0.0220550697038372,92.5063094544749,51.1939429237041,20.8159866777685,96.5569620253165,89.2459826946848,55.8192955589587,21.1026985051446,0,78.8973014948554,31.3725490196078,33.5857115123277,35.0417394680645
