controller,n_cases,ey_rmse_mean,ey_rmse_std,ey_rmse_median,ey_rmse_p25,ey_rmse_p75,epsi_rmse_mean,epsi_rmse_std,epsi_rmse_median,epsi_rmse_p25,epsi_rmse_p75,ev_rmse_mean,ev_rmse_std,ev_rmse_median,ev_rmse_p25,ev_rmse_p75,eomega_rmse_mean,eomega_rmse_std,eomega_rmse_median,eomega_rmse_p25,eomega_rmse_p75,j_du_mean,j_du_std,j_du_median,j_du_p25,j_du_p75,viol_rate_mean,viol_rate_std,viol_rate_median,viol_rate_p25,viol_rate_p75,timeout_rate_mean,timeout_rate_std,timeout_rate_median,timeout_rate_p25,timeout_rate_p75
Mamba2,9,0.0194522810863926,0.0199404329546998,0.0134830474981147,0,0.0448483503018122,0.0277906226196426,0.0209367600337546,0.0394055670697358,0,0.0438060758459258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6453.91076665539,5195.2477543339,6261.13415826222,559.457315008245,12503.7548652992,0,0,0,0,0,0,0,0,0,0
GRU,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IMU,9,0.0257007541468282,0.0234218191782972,0.0182873920631081,0,0.052603205920579,0.0422940617157769,0.0495180518378054,0.0413788514972085,0,0.0454513473933215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,196947.143610131,585324.133890509,911.227430388395,648.23712827233,5015.36402527251,0.000746980870684709,0.00205425661951024,0,0,0.000167364016736402,0,0,0,0,0
