model,seed,best_epoch,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,main_confidence_mean,main_low_conf_0p60_ratio,main_low_conf_0p70_ratio,turn_confidence_mean,turn_low_conf_0p60_ratio,turn_low_conf_0p70_ratio,turn_right_recall,turn_straight_recall,turn_left_recall,theta_mae_deg,theta_abs_le_8_mae_deg,theta_abs_le_8_rmse_deg,theta_abs_le_8_p95_abs_err_deg,theta_abs_le_8_max_abs_err_deg,theta_abs_le_8_bias_deg,theta_abs_le_10_mae_deg,theta_abs_le_10_rmse_deg,theta_abs_le_10_p95_abs_err_deg,theta_abs_le_10_max_abs_err_deg,theta_abs_le_10_bias_deg,theta_pos_8_10_mae_deg,theta_pos_8_10_rmse_deg,theta_pos_8_10_p95_abs_err_deg,theta_pos_8_10_max_abs_err_deg,theta_pos_8_10_bias_deg,theta_pos_8_10_n,theta_neg_10_8_mae_deg,theta_neg_10_8_rmse_deg,theta_neg_10_8_p95_abs_err_deg,theta_neg_10_8_max_abs_err_deg,theta_neg_10_8_bias_deg,theta_neg_10_8_n,theta_pos_6_8_mae_deg,theta_pos_6_8_rmse_deg,theta_pos_6_8_p95_abs_err_deg,theta_pos_6_8_max_abs_err_deg,theta_pos_6_8_bias_deg,theta_pos_6_8_n,theta_neg_8_6_mae_deg,theta_neg_8_6_rmse_deg,theta_neg_8_6_p95_abs_err_deg,theta_neg_8_6_max_abs_err_deg,theta_neg_8_6_bias_deg,theta_neg_8_6_n,theta_active_abs_ge_2_mae_deg,theta_active_abs_ge_2_p95_abs_err_deg,theta_neg_4_2_mae_deg,theta_neg_4_2_p95_abs_err_deg,theta_neg_4_2_bias_deg,theta_neg_2_0p5_mae_deg,theta_neg_2_0p5_p95_abs_err_deg,theta_neg_2_0p5_bias_deg,theta_pos_0p5_2_mae_deg,theta_pos_0p5_2_p95_abs_err_deg,theta_pos_0p5_2_bias_deg,theta_flat_abs_p95_deg,theta_flat_abs_max_deg,theta_flat_bias_deg,theta_near_flat_abs_p95_deg,theta_near_flat_abs_max_deg,theta_near_flat_bias_deg,theta_true_zero_mae_deg,theta_true_zero_abs_p95_deg,theta_true_zero_abs_max_deg,theta_true_zero_bias_deg,theta_flat_turn_abs_p95_deg,theta_flat_turn_abs_max_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,checkpoint_file,onnx_file,report_file,run_tag,config_name,summary_file,param_count,offline_gate,offline_gate_failures
ModernTCN-small-gffn,101,24,0.9183786785119378,0.48889505830094393,0.5203002388263391,0.35171385991058124,0.9413722608154576,0.036646307606885066,0.084952803997779,0.6937268021345434,0.36451971127151583,0.5508051082731815,0.4956195244055069,0.45990688049663736,0.5471264367816092,0.8576613068580627,0.8798176050186157,1.2006019353866577,2.6263279914855957,9.998701095581055,0.1492919623851776,0.8576613068580627,1.1906890869140625,2.570730447769165,9.998701095581055,0.06809409707784653,0.9863330721855164,1.4008949995040894,2.7644145488739014,6.668369293212891,-0.6512320637702942,328.0,0.5695772171020508,0.8612061738967896,1.884517788887024,4.982537746429443,0.08838881552219391,363.0,0.7293749451637268,1.0571917295455933,2.0410873889923096,5.8963398933410645,-0.20617030560970306,378.0,0.6328759789466858,0.8441218137741089,1.6613426208496094,3.19207501411438,-0.20218026638031006,378.0,0.8140953183174133,2.139488697052002,0.9228406548500061,2.3402819633483887,-0.028565751388669014,0.9292699694633484,2.349336624145508,0.4806985855102539,1.3097822666168213,2.9379138946533203,1.0172147750854492,3.5379140377044678,6.92390251159668,0.6423741579055786,2.4501442909240723,4.193962574005127,0.3973565697669983,nan,nan,nan,nan,1.7754672765731812,3.3721249103546143,0.9497354497354498,0.6354166666666666,0.9196363636363636,0.7173165137614679,0.7468785471055619,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed101\modern_tcn_gffn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed101\ModernTCNGrouped_train_report.md,gffn_d3_k31_seed101,gffn_d3_k31,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed101\modern_tcn_gffn_seed101_summary.csv,69729,0,acc_main 0.918379 >= 0.963963 failed; acc_turn 0.488895 >= 0.573845 failed; acc_turn_transition 0.351714 >= 0.497765 failed; theta_mae_deg 0.857661 <= 0.689395 failed; slope_recall 0.919636 >= 0.969909 failed; flat_recall 0.949735 >= 0.959577 failed; stall_recall 0.635417 >= 0.66875 failed
ModernTCN-small-gffn,21,63,0.9614103275957802,0.5466407551360355,0.5609007164790174,0.4843517138599106,0.9834473611226096,0.00694058856191005,0.01693503609106052,0.7600907940803148,0.2651304830649639,0.3903387007218212,0.5819774718397998,0.5137092602172788,0.5873563218390805,0.7386161088943481,0.7217494249343872,1.0001121759414673,2.076852798461914,6.0012736320495605,-0.2866614758968353,0.7386160492897034,1.0453989505767822,2.131903648376465,7.247458457946777,-0.29098576307296753,0.9919986128807068,1.4995633363723755,3.30576229095459,7.247458457946777,-0.7961460947990417,328.0,0.6404619216918945,0.8756914138793945,1.6294128894805908,5.443300247192383,0.13193382322788239,363.0,0.5994500517845154,0.893205463886261,2.036343574523926,4.477160453796387,-0.3830808997154236,378.0,0.5592045187950134,0.8009275197982788,1.573970913887024,4.966939926147461,-0.20093625783920288,378.0,0.6891545057296753,1.8869807720184326,0.6697726845741272,1.5532586574554443,-0.4104904532432556,0.6723949313163757,1.5058573484420776,-0.16458085179328918,1.2736440896987915,2.917637348175049,0.1567811518907547,3.517637252807617,6.703510284423828,-0.12221242487430573,1.9431018829345703,5.0815229415893555,-0.36263325810432434,nan,nan,nan,nan,1.9418965578079224,5.0815229415893555,0.9814814814814815,0.6354166666666666,0.9672727272727273,0.7482798165137615,0.7769580022701476,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed21\modern_tcn_gffn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed21\ModernTCNGrouped_train_report.md,gffn_d3_k31_seed21,gffn_d3_k31,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed21\modern_tcn_gffn_seed21_summary.csv,69729,0,acc_main 0.96141 >= 0.963963 failed; acc_turn 0.546641 >= 0.573845 failed; acc_turn_transition 0.484352 >= 0.497765 failed; theta_mae_deg 0.738616 <= 0.689395 failed; slope_recall 0.967273 >= 0.969909 failed; stall_recall 0.635417 >= 0.66875 failed
ModernTCN-small-gffn,42,61,0.9686285397001666,0.5172126596335369,0.5359945411122484,0.43517138599105815,0.988392792115631,0.008051082731815658,0.0138811771238201,0.7771380929244344,0.22515269294836202,0.36729594669627985,0.5894868585732165,0.42679772374547337,0.6517241379310345,0.7875835299491882,0.7645535469055176,1.0243301391601562,2.078322410583496,6.0681610107421875,-0.2890630066394806,0.7875835299491882,1.0819872617721558,2.1637637615203857,6.530932903289795,-0.2548578381538391,1.0857385396957397,1.6428909301757812,3.930004358291626,6.530932903289795,-0.7483981847763062,328.0,0.6967689990997314,0.8552455306053162,1.5097750425338745,4.71245813369751,0.45635107159614563,363.0,0.6277086138725281,0.9309840798377991,1.939527153968811,3.807882785797119,-0.19182440638542175,378.0,0.5805196762084961,0.7724552750587463,1.4403269290924072,3.6792664527893066,0.1276020109653473,378.0,0.788112998008728,2.020803689956665,0.6650756001472473,1.8761866092681885,-0.3649009168148041,0.5920566320419312,2.0011847019195557,-0.3010295629501343,1.1157560348510742,2.228322744369507,0.043243393301963806,2.828322649002075,6.511518955230713,-0.15262676775455475,1.6708043813705444,5.619302272796631,-0.23306351900100708,nan,nan,nan,nan,1.1537055969238281,2.9052610397338867,0.9828042328042328,0.6354166666666666,0.9763636363636363,0.7551605504587156,0.7832009080590239,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed42\modern_tcn_gffn_seed42.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed42\ModernTCNGrouped_train_report.md,gffn_d3_k31_seed42,gffn_d3_k31,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d3_k31_seed42\modern_tcn_gffn_seed42_summary.csv,69729,0,acc_turn 0.517213 >= 0.573845 failed; acc_turn_transition 0.435171 >= 0.497765 failed; theta_mae_deg 0.787584 <= 0.689395 failed; stall_recall 0.635417 >= 0.66875 failed
ModernTCN-small-gffn,101,60,0.9655746807329262,0.5099944475291505,0.5233708631866257,0.45156482861400893,0.986900362327585,0.007773459189339256,0.015546918378678512,0.7825268247105407,0.2218212104386452,0.34841754580788453,0.5006257822277848,0.3988618727366787,0.7655172413793103,0.7481703758239746,0.7550314664840698,1.0298893451690674,2.0404129028320312,6.2103071212768555,0.19922180473804474,0.7481704354286194,1.0731539726257324,2.052792549133301,7.751905918121338,0.17171643674373627,0.8942202925682068,1.51192307472229,3.2038581371307373,7.751905918121338,0.05729888752102852,328.0,0.5629959106445312,0.9123383164405823,1.617247462272644,6.570413589477539,0.06180297210812569,363.0,0.5921801328659058,0.8385207056999207,1.4543145895004272,6.2103071212768555,0.22481770813465118,378.0,0.5610706210136414,0.7679968476295471,1.462598204612732,3.7652294635772705,0.012744828127324581,378.0,0.7130458354949951,2.035118341445923,0.6558510661125183,1.8664841651916504,0.10764899104833603,0.8074779510498047,1.8522403240203857,0.192897230386734,1.0848913192749023,2.321193218231201,0.33554452657699585,3.1688919067382812,5.60455322265625,0.17872576415538788,2.383984327316284,4.948828220367432,0.015303559601306915,nan,nan,nan,nan,2.0668976306915283,3.782597780227661,0.9748677248677249,0.6145833333333334,0.9752727272727273,0.7545871559633027,0.786038592508513,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed101\modern_tcn_gffn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed101\ModernTCNGrouped_train_report.md,gffn_d4_k31_seed101,gffn_d4_k31,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed101\modern_tcn_gffn_seed101_summary.csv,92151,0,acc_turn 0.509994 >= 0.573845 failed; acc_turn_transition 0.451565 >= 0.497765 failed; theta_mae_deg 0.74817 <= 0.689395 failed; stall_recall 0.614583 >= 0.66875 failed
ModernTCN-small-gffn,21,78,0.9677956690727374,0.5652415324819545,0.5858068918457864,0.47540983606557374,0.9894343506334187,0.003331482509716824,0.008051082731815658,0.7850667448986798,0.19877845641310382,0.35119378123264855,0.6320400500625782,0.5478530781169167,0.542528735632184,0.8039810061454773,0.8143061995506287,1.0821411609649658,2.3077008724212646,5.532691955566406,0.44171369075775146,0.8039808869361877,1.0921992063522339,2.3272109031677246,6.922926425933838,0.42741984128952026,0.8293659687042236,1.275390386581421,2.7300124168395996,6.922926425933838,0.17039741575717926,328.0,0.7009729146957397,0.9851866960525513,2.3275930881500244,4.845077037811279,0.5488145351409912,363.0,0.786645770072937,1.00423264503479,1.9431593418121338,5.2949724197387695,0.47223207354545593,378.0,0.5622754096984863,0.6959471702575684,1.1952732801437378,3.463778257369995,0.33389517664909363,378.0,0.7803924083709717,2.3302104473114014,0.6011409759521484,1.5169014930725098,0.12160142511129379,0.8027675747871399,2.04506778717041,0.1583898365497589,1.0892035961151123,2.1096787452697754,0.8808565735816956,3.3637239933013916,6.985419273376465,0.49001461267471313,2.1497809886932373,4.245569229125977,0.35594332218170166,nan,nan,nan,nan,2.0716869831085205,4.176302909851074,0.9867724867724867,0.6145833333333334,0.974909090909091,0.7557339449541285,0.779228149829739,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed21\modern_tcn_gffn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed21\ModernTCNGrouped_train_report.md,gffn_d4_k31_seed21,gffn_d4_k31,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed21\modern_tcn_gffn_seed21_summary.csv,92151,0,acc_turn 0.565242 >= 0.573845 failed; acc_turn_transition 0.47541 >= 0.497765 failed; theta_mae_deg 0.803981 <= 0.689395 failed; stall_recall 0.614583 >= 0.66875 failed
ModernTCN-small-gffn,42,68,0.964741810105497,0.5591338145474736,0.5783009211873081,0.47540983606557374,0.9884502880140016,0.007773459189339256,0.013603553581343698,0.7900981035837115,0.2076624097723487,0.33176013325930037,0.655819774718398,0.48784273150543195,0.628735632183908,0.6036668419837952,0.5773915648460388,0.8154858946800232,1.6798927783966064,6.5714545249938965,0.10194586962461472,0.6036669015884399,0.8778010010719299,1.7166895866394043,7.400083541870117,0.06435594707727432,0.8071816563606262,1.281054973602295,2.9339208602905273,7.400083541870117,-0.4224618971347809,328.0,0.6235345602035522,0.8956414461135864,1.7170861959457397,5.44310998916626,0.21273234486579895,363.0,0.5504390001296997,0.7898718118667603,1.3569649457931519,5.503466606140137,0.13768091797828674,378.0,0.4968019425868988,0.6467981934547424,1.1637755632400513,3.5327329635620117,0.07589239627122879,378.0,0.5768294930458069,1.5731661319732666,0.5133105516433716,1.3240315914154053,-0.1717054396867752,0.6436670422554016,1.4686264991760254,0.2080468386411667,0.8326683044433594,1.833742618560791,0.3216381371021271,2.515058994293213,6.8831658363342285,0.27115434408187866,2.4048521518707275,3.5901572704315186,0.26893171668052673,nan,nan,nan,nan,2.399754047393799,3.5901572704315186,0.9735449735449735,0.6354166666666666,0.9738181818181818,0.7522935779816514,0.786038592508513,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed42\modern_tcn_gffn_seed42.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed42\ModernTCNGrouped_train_report.md,gffn_d4_k31_seed42,gffn_d4_k31,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k31_seed42\modern_tcn_gffn_seed42_summary.csv,92151,0,acc_turn 0.559134 >= 0.573845 failed; acc_turn_transition 0.47541 >= 0.497765 failed; stall_recall 0.635417 >= 0.66875 failed
ModernTCN-small-gffn,101,62,0.9578012215435869,0.5272071071626874,0.5435005117707267,0.45603576751117736,0.984970597634787,0.006385341476957246,0.015546918378678512,0.7828170061260618,0.2359800111049417,0.3736812881732371,0.5444305381727159,0.47077082255561303,0.6367816091954023,0.6222031116485596,0.635608971118927,0.8787978887557983,1.7250791788101196,6.448822498321533,-0.24433806538581848,0.6222031712532043,0.9024043679237366,1.76646089553833,7.00020694732666,-0.23848983645439148,0.7901238203048706,1.2923563718795776,2.653231620788574,7.00020694732666,-0.41783347725868225,328.0,0.36651337146759033,0.6058676838874817,0.9167524576187134,5.176825523376465,-0.031086480244994164,363.0,0.543682336807251,0.7806719541549683,1.6590267419815063,3.930373191833496,-0.21373583376407623,378.0,0.5630958080291748,0.7547393441200256,1.5146410465240479,3.758845329284668,-0.29486754536628723,378.0,0.6035262942314148,1.7798187732696533,0.6923707127571106,1.6282955408096313,-0.39895233511924744,0.5314006805419922,1.342868685722351,-0.14671550691127777,0.8293353319168091,1.6299477815628052,0.3136614263057709,2.5108482837677,6.0691304206848145,0.009975436143577099,2.229947805404663,4.902390956878662,-0.16939103603363037,nan,nan,nan,nan,2.0323972702026367,4.902390956878662,0.9616402116402116,0.6145833333333334,0.9687272727272728,0.7385321100917431,0.7968217934165721,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed101\modern_tcn_gffn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed101\ModernTCNGrouped_train_report.md,gffn_d4_k51_seed101,gffn_d4_k51,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed101\modern_tcn_gffn_seed101_summary.csv,85903,0,acc_main 0.957801 >= 0.963963 failed; acc_turn 0.527207 >= 0.573845 failed; acc_turn_transition 0.456036 >= 0.497765 failed; slope_recall 0.968727 >= 0.969909 failed; stall_recall 0.614583 >= 0.66875 failed
ModernTCN-small-gffn,21,82,0.9636313159355914,0.5685730149916713,0.5827362674854998,0.5067064083457526,0.9874553689999946,0.00555247084952804,0.013325930038867296,0.7798062146123725,0.2243198223209328,0.358411993337035,0.5857321652065082,0.5318158303155717,0.6344827586206897,0.6263420581817627,0.5993966460227966,0.8529050350189209,1.8588740825653076,5.527966022491455,-0.023042336106300354,0.6263421177864075,0.9096757769584656,1.8792539834976196,6.172213554382324,-0.07253126055002213,1.0422853231430054,1.4114660024642944,2.539891481399536,6.172213554382324,-0.8727312684059143,328.0,0.45946088433265686,0.7423307299613953,1.177219271659851,5.144318103790283,0.2667366862297058,363.0,0.5216508507728577,0.6773385405540466,1.3638578653335571,2.8161141872406006,-0.3183133006095886,378.0,0.5061991810798645,0.6743987202644348,1.1349992752075195,3.93558931350708,0.03874611482024193,378.0,0.6031452417373657,1.5806630849838257,0.53767329454422,1.438398838043213,-0.15404905378818512,0.6134861707687378,1.7080696821212769,-0.18166443705558777,0.8947916626930237,2.092194080352783,0.39659151434898376,2.7254786491394043,5.542611122131348,0.11394982784986496,2.009422779083252,4.213721752166748,0.05854066088795662,nan,nan,nan,nan,1.509147047996521,3.904630184173584,0.9682539682539683,0.6354166666666666,0.9738181818181818,0.7551605504587156,0.786038592508513,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed21\modern_tcn_gffn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed21\ModernTCNGrouped_train_report.md,gffn_d4_k51_seed21,gffn_d4_k51,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed21\modern_tcn_gffn_seed21_summary.csv,85903,0,acc_main 0.963631 >= 0.963963 failed; acc_turn 0.568573 >= 0.573845 failed; stall_recall 0.635417 >= 0.66875 failed
ModernTCN-small-gffn,42,88,0.9644641865630206,0.5516379789006107,0.5690890481064483,0.47540983606557374,0.9865786570418946,0.004719600222098834,0.012215435868961688,0.779543433036156,0.21793448084397557,0.36701832315380345,0.5118898623279099,0.5400931195033627,0.6137931034482759,0.5993683934211731,0.5527820587158203,0.7737491130828857,1.5070586204528809,6.087470531463623,-0.13745521008968353,0.5993683934211731,0.874183177947998,1.699514389038086,7.184896945953369,-0.19630078971385956,1.096933364868164,1.5229119062423706,2.7883782386779785,7.184896945953369,-0.6757487058639526,328.0,0.5110467672348022,0.8015979528427124,1.341107964515686,5.9195051193237305,-0.21941770613193512,363.0,0.49384137988090515,0.655302107334137,1.3698275089263916,3.266937732696533,-0.19501103460788727,378.0,0.481955885887146,0.6468202471733093,1.1528308391571045,4.118227005004883,-0.23940782248973846,378.0,0.5902975797653198,1.6835978031158447,0.5082045793533325,1.50479257106781,-0.2659389078617096,0.5654606223106384,1.798425555229187,0.06316767632961273,0.7434321641921997,1.777315378189087,0.12177178263664246,2.4992382526397705,5.065567493438721,0.1277300864458084,1.764931082725525,4.706441402435303,0.1816118061542511,nan,nan,nan,nan,1.4886783361434937,4.706441402435303,0.9603174603174603,0.6458333333333334,0.9767272727272728,0.7540137614678899,0.7945516458569807,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed42\modern_tcn_gffn_seed42.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed42\ModernTCNGrouped_train_report.md,gffn_d4_k51_seed42,gffn_d4_k51,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d4_k51_seed42\modern_tcn_gffn_seed42_summary.csv,85903,0,acc_turn 0.551638 >= 0.573845 failed; acc_turn_transition 0.47541 >= 0.497765 failed; stall_recall 0.645833 >= 0.66875 failed
ModernTCN-small-gffn,101,47,0.9597445863409217,0.5163797890061077,0.5380416240191062,0.4217585692995529,0.984631449586377,0.00694058856191005,0.014714047751249307,0.7614531218042149,0.2637423653525819,0.41948917268184344,0.6007509386733417,0.4469736161407139,0.593103448275862,0.9706776142120361,0.9679380655288696,1.2083046436309814,2.274416208267212,7.716002941131592,0.2596418857574463,0.9706775546073914,1.260353922843933,2.286325454711914,7.716002941131592,0.17395256459712982,1.1982886791229248,1.7493497133255005,3.6534299850463867,7.296727180480957,-0.10680244117975235,328.0,0.7862569093704224,1.120309591293335,1.8176740407943726,6.845157623291016,-0.2368677258491516,363.0,1.098924160003662,1.3199294805526733,2.1878957748413086,5.224833965301514,0.43991556763648987,378.0,0.8257920145988464,1.0724540948867798,2.5268242359161377,3.459592342376709,-0.35315075516700745,378.0,0.9657484292984009,2.257185697555542,0.9156407117843628,2.1391072273254395,0.3282587230205536,0.8860501646995544,1.95027494430542,0.39833492040634155,1.1729958057403564,2.286325454711914,0.7899446487426758,2.944174289703369,6.642095565795898,0.518545389175415,2.4082908630371094,5.590454578399658,0.3434891402721405,nan,nan,nan,nan,1.9849950075149536,5.590454578399658,0.9576719576719577,0.6354166666666666,0.9716363636363636,0.7442660550458715,0.7979568671963677,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d6_k31_seed101\modern_tcn_gffn_seed101.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d6_k31_seed101\ModernTCNGrouped_train_report.md,gffn_d6_k31_seed101,gffn_d6_k31,results\modern_tcn_ablation\exp1_grouped_ffn\gffn_d6_k31_seed101\modern_tcn_gffn_seed101_summary.csv,139635,0,acc_main 0.959745 >= 0.963963 failed; acc_turn 0.51638 >= 0.573845 failed; acc_turn_transition 0.421759 >= 0.497765 failed; theta_mae_deg 0.970678 <= 0.689395 failed; flat_recall 0.957672 >= 0.959577 failed; stall_recall 0.635417 >= 0.66875 failed
