epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_abs_max_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_theta_abs_le_8_mae_deg,val_theta_abs_le_10_mae_deg,val_theta_pos_6_8_mae_deg,val_theta_neg_8_6_mae_deg,val_theta_neg_4_2_mae_deg,val_theta_neg_4_2_p95_abs_err_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.0004999143312438893,0.7370523877858332,0.9786130239917729,29.52754118491319,0.9285354614257812,3.0327320098876953,3.0221943855285645,15.272655487060547,-0.7359887957572937,3.0327320098876953,3.009140729904175,0.9285353422164917,0.9285353422164917,1.7766112089157104,0.5564570426940918,1.268403172492981,5.404233932495117,0.9742163801820021,0.9307381193124368,0.5909090909090909
2,0.0004996573836886434,0.1723837355276882,0.7090940892515578,17.966683851936985,0.8002967238426208,2.216945171356201,2.1919870376586914,8.009068489074707,0.4326487183570862,2.200545310974121,2.185289144515991,0.8002967834472656,0.8002967834472656,1.4038827419281006,1.0998510122299194,1.3276487588882446,4.268475532531738,0.974721941354904,0.9302325581395349,0.5909090909090909
3,0.000499229333433282,0.43096320698551305,2.0486494788506393,63.82250673895625,1.7602025270462036,6.410943984985352,5.874922752380371,12.42081069946289,1.0343859195709229,5.795001983642578,5.8230366706848145,1.7602025270462036,1.7602025270462036,2.046393632888794,3.9965813159942627,5.398184776306152,10.781074523925781,0.9737108190091001,0.9302325581395349,0.5909090909090909
4,0.0004986304738420682,0.4313704895967606,0.7569991881734078,19.714660440642383,0.8536022305488586,2.565584659576416,2.1626195907592773,11.435787200927734,0.34703147411346436,2.2339749336242676,2.1926698684692383,0.8536021113395691,0.8536021113395691,1.726637840270996,0.49916326999664307,1.2046635150909424,4.21321439743042,0.9737108190091001,0.9251769464105156,0.6
5,0.0004978612153434525,0.27027227587126523,1.4496089306832325,44.18384419280912,1.0539320707321167,4.206396579742432,4.799106597900391,18.59595489501953,-0.9728121757507324,4.633412837982178,4.520773410797119,1.0539320707321167,1.0539320707321167,1.675364375114441,0.4330034852027893,1.2856513261795044,4.553084850311279,0.9737108190091001,0.9251769464105156,0.6
6,0.0004969220851487844,0.09592479070890896,0.7834161627883255,20.222134217360416,0.5785870552062988,2.1443724632263184,2.062767744064331,10.389187812805176,-0.22930358350276947,2.5811095237731934,2.5545029640197754,0.5785871148109436,0.5785871148109436,0.9887035489082336,0.36442428827285767,1.0516159534454346,4.53145694732666,0.9732052578361982,0.9246713852376137,0.5909090909090909
7,0.0004958137268909886,0.04169609352855293,1.111812434435132,26.616630085546944,0.8723958134651184,2.737318754196167,2.7595736980438232,15.047233581542969,-0.07732478529214859,2.8279199600219727,2.7247366905212402,0.872395932674408,0.872395932674408,1.1440201997756958,0.4292289912700653,1.168911099433899,5.0341949462890625,0.9737108190091001,0.9317492416582407,0.5818181818181818
8,0.0004945369001834513,0.11153861899900011,0.7709740118262018,18.077101184893255,0.7331068515777588,2.4577178955078125,2.023282766342163,10.28728199005127,-0.27310410141944885,2.064793586730957,2.032198667526245,0.733106791973114,0.733106791973114,1.982028841972351,0.8531106114387512,1.5021581649780273,4.310794353485107,0.9737108190091001,0.9312436804853387,0.5818181818181818
9,0.000493092480099419,0.5063607107310746,0.7314512967099073,19.360948819941115,0.6373479962348938,2.3115475177764893,2.2342655658721924,10.383369445800781,-0.18309803307056427,2.4020471572875977,2.401547908782959,0.6373479962348938,0.6373479962348938,0.49176982045173645,0.883027970790863,0.9206534624099731,3.8659441471099854,0.9737108190091001,0.9307381193124368,0.5818181818181818
10,0.0004914814565722669,0.1139013495116012,0.8823445413423621,29.32246804934355,0.9606968760490417,3.171574592590332,2.987186908721924,10.082204818725586,0.8632875680923462,3.0248160362243652,3.1202805042266846,0.9606968760490417,0.9606968760490417,1.1147371530532837,0.4803124964237213,1.4142112731933594,6.194817066192627,0.9732052578361982,0.9302325581395349,0.5818181818181818
