config,seed,status,best_epoch,base_best_epoch,base_selection_start_epoch,score,pass,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,base_best_metric,best_metric,select_theta_weight,select_theta_ref_deg,select_main_error_weight,main_class_multipliers,main_neg_slope_weight,model_file,meta_file,report_file
base_comp_flat120_guard45,42,trained,76,45,45,3.58036225681727,0,0.694278694278694,0.9003159003159,0.919093851132686,0.777188328912467,0.464338108635189,0.975267930750206,0.95609756097561,0.418588399720475,0.222732491389208,0.723214285714286,composite,turn_priority,0.35,3,0.95,[1.20 1.00 0.95],2,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_transition_rich_v3_guarded_base_comp_flat120_seed42.mat,E:\Matlab\Simulink\S-Function_16\data\models\TCN_meta_transition_rich_v3_guarded_base_comp_flat120_seed42.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\transition_rich_v3_guarded_base\base_comp_flat120_guard45\seed42\TCN_train_report.md
base_comp_flat120_guard45,73,trained,70,59,45,2.92798388682963,0,0.739206739206739,0.906984906984907,0.926375404530744,0.779840848806366,0.418626098610095,0.969497114591921,0.931707317073171,0.516422082459818,0.331802525832377,0.803571428571429,composite,turn_priority,0.35,3,0.95,[1.20 1.00 0.95],2,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_transition_rich_v3_guarded_base_comp_flat120_seed73.mat,E:\Matlab\Simulink\S-Function_16\data\models\TCN_meta_transition_rich_v3_guarded_base_comp_flat120_seed73.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\transition_rich_v3_guarded_base\base_comp_flat120_guard45\seed73\TCN_train_report.md
base_comp_flat120_guard45,101,trained,70,50,45,3.52374960630485,0,0.692172692172692,0.905229905229905,0.922734627831715,0.790450928381963,0.42367648058345,0.967023907666941,0.921951219512195,0.426275331935709,0.241102181400689,0.714285714285714,composite,turn_priority,0.35,3,0.95,[1.20 1.00 0.95],2,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_transition_rich_v3_guarded_base_comp_flat120_seed101.mat,E:\Matlab\Simulink\S-Function_16\data\models\TCN_meta_transition_rich_v3_guarded_base_comp_flat120_seed101.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\transition_rich_v3_guarded_base\base_comp_flat120_guard45\seed101\TCN_train_report.md
