metric,mean,std,min,max
acc_main,0.986687260959106,0,0.986687260959106,0.986687260959106
acc_turn,0.952927331568108,0,0.952927331568108,0.952927331568108
acc_turn_pure,0.981869016351775,0,0.981869016351775,0.981869016351775
acc_turn_transition,0.762409369771333,0,0.762409369771333,0.762409369771333
theta_mae_deg,0.48684557522274,0,0.48684557522274,0.48684557522274
flat_recall,0.98762157382847,0,0.98762157382847,0.98762157382847
stall_recall,0.972062448644207,0,0.972062448644207,0.972062448644207
slope_recall,0.989018377409233,0,0.989018377409233,0.989018377409233
uphill_recall,0.994418604651163,0,0.994418604651163,0.994418604651163
downhill_recall,0.983996539792388,0,0.983996539792388,0.983996539792388
