sentinel_rank,run_id,seed101_rank,sentinel_reason,description,full_v2_offline_status,offline_score,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall,overrides_json
1,u04_lwlr0030,1,top3_seed101_v2_offline_score,loss_weight_lr=0.0030,pass,0.312675658261087,0.9658523042754026,0.5505274847307051,0.47242921013412814,0.39280208945274353,1.7507333755493164,5.978753566741943,0.9576719576719577,0.7083333333333334,0.9770909090909091,"{""loss_weight_lr"": 0.003}"
2,u17_ltheta050,2,top3_seed101_v2_offline_score,lambda_theta=0.50,pass,0.350159553957267,0.9697390338700722,0.5982787340366463,0.5529061102831595,0.501952588558197,2.2574992179870605,5.978271961212158,0.9523809523809523,0.6979166666666666,0.984,"{""lambda_theta"": 0.5}"
3,u18_ltheta065,3,top3_seed101_v2_offline_score,lambda_theta=0.65,pass,0.359217538840443,0.9680732926152138,0.5868961687951139,0.5022354694485842,0.5384363532066345,2.1585147380828857,5.951727867126465,0.9537037037037037,0.6354166666666666,0.9836363636363636,"{""lambda_theta"": 0.65}"
4,u06_lr0013,11,main_protection_slot,lr=0.0013,pass,0.393758617322681,0.9697390338700722,0.5774569683509162,0.5126676602086438,0.8148943781852722,2.641808032989502,4.67247200012207,0.9603174603174603,0.71875,0.9810909090909091,"{""lr"": 0.0013}"
5,u23_turn_protect_mix,4,diversity_mix_slot,turn protection mix,pass,0.372624944333552,0.967518045530261,0.5744031093836758,0.503725782414307,0.6171326637268066,2.5883312225341797,5.177375793457031,0.9537037037037037,0.6875,0.9810909090909091,"{""lambda_turn"": 0.24, ""loss_weight_lr"": 0.0006, ""main_neg_slope_weight"": 2.4, ""turn_transition_weight"": 3.0}"
6,u08_lturn024,5,fill_next_hard_pass_rank,lambda_turn=0.24,pass,0.37495980718364,0.9664075513603554,0.5830094392004442,0.5081967213114754,0.6103253960609436,2.3193743228912354,6.13002872467041,0.9708994708994709,0.6979166666666666,0.9745454545454545,"{""lambda_turn"": 0.24}"
