epoch,lr,train_loss,val_loss,val_score,val_acc_main,val_acc_turn,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall
1,0.0009998903417374227,0.2670724279624086,0.12269328032549309,1.4633663676279167,0.9628643177840347,0.8898866144129062,0.9428571428571428,0.9085768143261075,0.5362318840579711,2.130434513092041,4.509289741516113,-0.9169050455093384,4.849268436431885,0.9705727104776986,0.9721082854799016,0.9468232044198895
2,0.0009995614150494292,0.10301420966999165,0.09992100603719178,1.0824504644395987,0.9750399512974659,0.9077695761357583,0.9378684807256236,0.9165881244109331,0.5827294685990339,1.9155104160308838,3.495821952819824,-0.5411799550056458,3.921471357345581,0.9792821324887834,0.9532403609515997,0.9737569060773481
3,0.0009990133642141358,0.08063613199602437,0.09054745296999324,0.8363762230554276,0.974887755878548,0.9140095883113918,0.9727891156462585,0.942507068803016,0.6026570048309179,1.2398728132247925,2.7936885356903076,0.1028374433517456,3.0801897048950195,0.977302718395355,0.9688269073010665,0.9723756906077348
4,0.0009982464296247522,0.06743247561053424,0.0838598077085594,0.8106156100152829,0.9769423940339396,0.9175861806559622,0.9714285714285714,0.9514608859566447,0.6256038647342995,1.2017016410827637,2.6602816581726074,0.7795370817184448,3.3539345264434814,0.9787542887305357,0.970467596390484,0.9755985267034991
5,0.0009972609476841367,0.06002197566013844,0.08904622553742628,0.569651312424633,0.9745072673312534,0.9254242447302337,0.9573696145124716,0.9222431668237512,0.643719806763285,0.9770457148551941,1.9356954097747803,-0.15464121103286743,2.1337063312530518,0.9763789918184217,0.9737489745693191,0.9714548802946593
6,0.000996057350657239,0.05458333425029707,0.07890432729855601,0.5396687909921906,0.9786926413514954,0.927631078304543,0.9859410430839002,0.9486333647502356,0.642512077294686,0.7938870191574097,1.8766776323318481,-0.044168028980493546,2.0603630542755127,0.982185273159145,0.970467596390484,0.9749079189686924
7,0.000994636166481494,0.051209222325917854,0.0862773366385277,0.49454401221947814,0.9788448367704132,0.9328818202572102,0.9868480725623583,0.9528746465598492,0.657608695652174,0.7058897018432617,1.7091983556747437,0.35821178555488586,1.80679452419281,0.9839007653734495,0.9647251845775225,0.973987108655617
8,0.0009929980185352525,0.04631859116699096,0.07930674778759485,0.509348411862763,0.9793014230271668,0.929076934784263,0.98140589569161,0.9670122525918945,0.6696859903381642,0.7744089365005493,1.754531979560852,-0.6975333094596863,1.8482919931411743,0.9817893903404592,0.9688269073010665,0.9779005524861878
9,0.0009911436253643444,0.044465430462747396,0.08320477044896016,0.36344401399363724,0.9783121528042006,0.9350125561220607,0.9764172335600907,0.9585296889726673,0.6708937198067633,0.6954129338264465,1.2836542129516602,-0.07003069669008255,1.2411327362060547,0.9827131169173925,0.9844134536505332,0.9689226519337016
10,0.0009890738003669028,0.040471637575740516,0.06704752237488033,0.4231767528038491,0.9838672855947036,0.9347842629936839,0.9823129251700681,0.972196041470311,0.6714975845410628,0.6613653302192688,1.5724372863769531,0.4583775997161865,1.6243529319763184,0.9879915544998681,0.970467596390484,0.9804327808471455
11,0.00098678945143658,0.03864380688667827,0.08590497422988044,0.3142467312198251,0.9781599573852827,0.9417852522639069,0.9691609977324263,0.9410933081998115,0.6932367149758454,0.841661274433136,1.2367507219314575,0.03601926565170288,1.4688949584960938,0.9858801794668778,0.9466776045939295,0.9735267034990792
12,0.0009842915805643154,0.03862725415690787,0.07280858372805231,0.46038714422261917,0.9821931359866068,0.9382086599193364,0.9786848072562359,0.967483506126296,0.6847826086956522,0.7737322449684143,1.7535920143127441,0.6377957463264465,1.7489854097366333,0.9875956716811823,0.9663658736669402,0.9772099447513812
13,0.000981581283398829,0.03544018082863329,0.07332193821690737,0.5271563861743979,0.9814321588920174,0.9395784186895975,0.9727891156462585,0.9476908576814326,0.6968599033816425,0.8836817145347595,2.0372774600982666,-0.9387291669845581,2.212456703186035,0.9842966481921351,0.9696472518457753,0.9797421731123389
14,0.0009786597487660333,0.035787840279029696,0.08639227222492775,0.34395923163131153,0.9800624001217564,0.9412525682976942,0.9782312925170068,0.9622997172478793,0.7137681159420289,0.5568870902061462,1.5316184759140015,0.4157368242740631,1.3555370569229126,0.9858801794668778,0.9639048400328137,0.9744475138121547
15,0.0009755282581475766,0.03408118349829751,0.07823933915100942,0.3227381089573051,0.9784643482231185,0.9383608553382543,0.9773242630385488,0.9679547596606974,0.6992753623188406,0.5577686429023743,1.4160354137420654,0.18613390624523163,1.3376270532608032,0.9816574294008973,0.9696472518457753,0.9753683241252302
16,0.0009721881851187403,0.03268447509694851,0.07943225371838523,0.30180769823340065,0.9802145955406742,0.9422418385206606,0.9755102040816327,0.971253534401508,0.7035024154589372,0.631045937538147,1.3522406816482544,0.0070867035537958145,1.5459824800491333,0.9856162575877541,0.9712879409351928,0.9732965009208103
17,0.0009686409947459456,0.03249092130669939,0.0801959381995204,0.30165326340200554,0.9830302107906552,0.9384369530477132,0.9832199546485261,0.9618284637134779,0.6950483091787439,0.7456982135772705,1.2533307075500488,-0.05108032748103142,1.330932855606079,0.9870678279229348,0.9639048400328137,0.981353591160221
18,0.0009648882429441254,0.029641685820057884,0.07905618864134352,0.21865641183292195,0.9796819115744616,0.9459706262841489,0.9746031746031746,0.9420358152686145,0.7415458937198067,0.5795358419418335,1.330387830734253,-0.17243701219558716,1.18221116065979,0.9841646872525732,0.9622641509433962,0.9767495395948435
19,0.00096093157579425,0.030276704332389756,0.08246978101747991,0.22854502893207307,0.9783882505136595,0.9451335514801005,0.9859410430839002,0.9448633364750235,0.7391304347826086,0.7724287509918213,1.3017412424087524,0.13679607212543488,1.3198004961013794,0.9769068355766694,0.9589827727645611,0.9864180478821363
20,0.0009567727288213001,0.030299670534280353,0.07865644736855726,0.31040955487715743,0.9808994749258048,0.9398828095274332,0.98140589569161,0.9316682375117813,0.7095410628019324,0.6762599349021912,1.4520294666290283,0.07444363087415695,1.5169559717178345,0.9848244919503827,0.9622641509433962,0.9792817679558011
21,0.0009524135262330095,0.028602660746052628,0.0819569020674169,0.35993744377345016,0.981888745148771,0.9386652461760902,0.9705215419501134,0.9684260131950989,0.7179951690821256,0.6608093976974487,1.6442095041275024,-0.45726278424263,1.8989425897598267,0.9835048825547638,0.948318293683347,0.9884898710865562
22,0.0009478558801197061,0.02623283532995037,0.08084650748850081,0.2715479257818103,0.9815843543109353,0.9467316033787383,0.9741496598639455,0.9552309142318567,0.7276570048309179,0.7044699192047119,1.4391087293624878,0.03706207871437073,1.4510817527770996,0.9853523357086302,0.9573420836751435,0.9818139963167587
23,0.000943101789615607,0.02619582931132646,0.09194552809675846,0.5530536227574888,0.9808994749258048,0.9414808614260711,0.9891156462585035,0.9571159283694628,0.7397342995169082,1.2899417877197266,2.489600658416748,0.8437608480453491,3.3779220581054688,0.9864080232251253,0.9589827727645611,0.9774401473296501
24,0.0009381533400219313,0.028151034374411993,0.08056716263332774,0.1995902704299245,0.9828019176622783,0.9466555056692794,0.9859410430839002,0.9429783223374175,0.75,0.49226483702659607,1.3171288967132568,0.24960727989673615,1.4505201578140259,0.9866719451042492,0.9606234618539786,0.9822744014732965
25,0.0009330127018922189,0.025934465049873085,0.08253829307161335,0.28063038127686823,0.98051898637851,0.9413286660071531,0.9682539682539683,0.9580584354382657,0.731280193236715,0.8515932559967041,1.4754434823989868,0.09856085479259491,1.6043514013290405,0.9840327263130113,0.9598031173092699,0.9802025782688766
26,0.000927682130080253,0.027408261672942674,0.07577303312273795,0.22166337739593744,0.9839433833041625,0.9474925804733277,0.9668934240362812,0.9033930254476908,0.767512077294686,0.618414044380188,1.4645185470581055,-0.13888737559318542,1.5649455785751343,0.9894431248350488,0.9589827727645611,0.981353591160221
27,0.0009221639627510072,0.024461729153681003,0.08176843988011846,0.25618859299188823,0.9823453314055247,0.9433072064530857,0.9809523809523809,0.9641847313854854,0.7204106280193237,0.618623673915863,1.2959277629852295,-0.19521483778953552,1.2700093984603882,0.9856162575877541,0.9655455291222313,0.981353591160221
28,0.0009164606203550494,0.02471441930714801,0.08756389977907529,0.24045000456194576,0.9807472795068869,0.9501560003043908,0.9709750566893424,0.9585296889726673,0.7469806763285024,0.6772990822792053,1.3732705116271973,-0.3517626225948334,1.3749903440475464,0.9833729216152018,0.9639048400328137,0.9808931860036832
29,0.0009105746045668516,0.0228669762423771,0.08791191045348797,0.4159542596387778,0.9798341069933795,0.9398828095274332,0.9682539682539683,0.9707822808671065,0.7089371980676329,0.6810131669044495,1.7320759296417236,0.5786425471305847,2.0396034717559814,0.9823172340987067,0.9606234618539786,0.9808931860036832
30,0.0009045084971874733,0.023232234341330416,0.08609566609683116,0.24457931974372346,0.9811277680541816,0.9420896431017426,0.9605442176870749,0.9500471253534402,0.7252415458937198,0.5880312323570251,1.253902792930603,0.21404393017292023,1.218273639678955,0.9848244919503827,0.9622641509433962,0.9799723756906077
31,0.0008982649590120977,0.02319086015395051,0.08483967320753572,0.3094582342803656,0.9815082566014763,0.9447530629328057,0.9709750566893424,0.969368520263902,0.7252415458937198,0.6581228375434875,1.3947508335113525,0.5857962965965271,1.4568407535552979,0.9865399841646872,0.9622641509433962,0.9781307550644567
32,0.0008918467286629196,0.022365942040564073,0.07861425763140797,0.18037982536612646,0.9831063085001142,0.9500799025949319,0.9832199546485261,0.967483506126296,0.751207729468599,0.5415974259376526,1.255759596824646,0.14495205879211426,1.200332522392273,0.9891792029559251,0.948318293683347,0.9822744014732965
33,0.0008852566213878943,0.021916945186407834,0.06938740767872494,0.25745338768632475,0.9839433833041625,0.9434594018720036,0.9609977324263038,0.9472196041470311,0.7475845410628019,0.7488762736320496,1.5094242095947266,-0.43038105964660645,1.409597396850586,0.9861441013460016,0.9737489745693191,0.9829650092081031
