epoch,lr,train_loss,val_loss,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall
1,0.0009998286624877785,0.9734455582512103,0.7035303801689881,2.1425703215009886,0.8518705763397371,0.8993933265925177,0.6485788749835676,0.8780182964532323,0.3367037411526795,0.04701718907987867,0.8777292576419214,0.8328611898016998,0.4090909090909091,4.729406833648682,16.5704345703125,3.2531135082244873,16.19155502319336,0.9740791268758526,0.5757575757575758,0.4910313901345291
2,0.0009993147673772868,0.2653856315331148,0.31314599068027416,0.7987872272149661,0.9398382204246714,0.9044489383215369,0.948733614055657,0.913694308714307,0.024772497472194135,0.0358948432760364,0.888646288209607,0.8441926345609065,0.44545454545454544,3.075622797012329,7.932033061981201,-2.064122438430786,8.282217025756836,0.9624829467939973,0.7121212121212122,0.899103139013453
3,0.000998458666866564,0.13453743138213625,0.32973338351693265,0.769855694102062,0.9464105156723963,0.9155712841253791,0.9627424644377696,0.9174276933580221,0.019211324570273004,0.03083923154701719,0.8908296943231441,0.8951841359773371,0.4727272727272727,2.7977161407470703,11.869146347045898,-1.887618064880371,11.709037780761719,0.9713506139154161,0.696969696969697,0.9013452914798207
4,0.0009972609476841365,0.1034153544494052,0.36634819452152695,0.7583626885900208,0.9565217391304348,0.917087967644085,0.9730689170438975,0.9203270699723126,0.016683518705763397,0.0262891809908999,0.8908296943231441,0.9121813031161473,0.4909090909090909,2.152390480041504,6.232321262359619,0.7245464324951172,6.89254903793335,0.9815825375170532,0.8484848484848485,0.8901345291479821
5,0.000995722430686905,0.09330940419985634,0.425909939803055,0.8219471919645073,0.9555106167846309,0.9135490394337715,0.9799155154264702,0.9310043276918796,0.013650151668351871,0.025278058645096056,0.8864628820960698,0.8923512747875354,0.5,2.5204193592071533,6.854640960693359,2.2818801403045654,7.658473968505859,0.984993178717599,0.696969696969697,0.8968609865470852
6,0.0009938441702975688,0.08028223852335203,0.35482114095417866,0.7630197015901361,0.9600606673407482,0.9155712841253791,0.9752510963540618,0.9198674936170309,0.014155712841253791,0.03286147623862487,0.8755458515283843,0.9008498583569405,0.4818181818181818,2.491626501083374,10.707942962646484,-1.735012412071228,10.49228572845459,0.9822646657571623,0.8636363636363636,0.9013452914798207
7,0.0009916274537819772,0.105379706678213,0.3365735071132108,0.7175012868817583,0.9630940343781598,0.9186046511627907,0.9802808566123153,0.9312436746786654,0.00910010111223458,0.0262891809908999,0.8799126637554585,0.9093484419263456,0.5,2.3201069831848145,7.284860610961914,0.19288265705108643,8.008241653442383,0.9843110504774898,0.8636363636363636,0.9080717488789237
8,0.0009890738003669026,0.07401577712589164,0.3971374250036882,0.7830771623495825,0.9651162790697675,0.9175935288169869,0.985274628726586,0.933843476904911,0.00910010111223458,0.030333670374115267,0.8799126637554585,0.9065155807365439,0.4909090909090909,2.241438865661621,6.052552223205566,1.902619481086731,6.439861297607422,0.985675306957708,0.8939393939393939,0.9080717488789237
9,0.000986184960198838,0.06953446036873988,0.38461168211318847,0.7559071680370614,0.9630940343781598,0.9211324570273003,0.9863304173099225,0.9364669615459894,0.008088978766430738,0.0262891809908999,0.8842794759825328,0.9065155807365439,0.5181818181818182,2.630369186401367,7.325667858123779,2.3869705200195312,7.880029678344727,0.985675306957708,0.8787878787878788,0.9013452914798207
10,0.0009829629131445337,0.06655509232382867,0.41428950076397314,0.7898930490390597,0.9641051567239636,0.9155712841253791,0.9859423266399822,0.9354899899511068,0.008594539939332659,0.0262891809908999,0.8777292576419214,0.9178470254957507,0.5,2.146003007888794,7.591501235961914,1.3605397939682007,8.379910469055176,0.9877216916780355,0.8787878787878788,0.899103139013453
