controller,path_count,ey_rmse_mean,ey_peak_worst,epsi_rmse_mean,xy_rmse_mean,j_du_mean,viol_rate_mean,theta_mae_deg_mean,theta_sched_mae_deg_mean,main_acc_pct_mean,turn_acc_pct_mean,overall_rank_mean,overall_rank_worst,overall_rank_sum_mean
ModernTCN,3,0.0318937659608403,0.10387850214626,0.0320808514871989,0.488886412662286,13.3133073180971,0,0.829941900427196,0.96337490252057,94.4244815536086,79.2883113015557,1,1,25.3333333333333
LPV-MPC_oracle_theta,3,0.0347345559696698,0.104981465491631,0.0294430551939664,0.395138585043547,0.438551606804346,0,0.00488556511454312,0.180639319087761,29.057483352338,63.2944910344699,2,2,28
GRU,3,0.0482799353475381,0.369619872655338,0.0851445173778895,0.935751630209779,3.35276454635743,0,0.349598025825783,0.463974398043116,90.107914827662,72.7759627561127,3.33333333333333,4,38
TCN,3,0.0489324244887214,0.186229471736308,0.0814402668400948,1.06947783371511,313.91965552157,1.75892213251719e-05,0.423675443057434,1.77687185986441,73.9374991254686,80.1770892299973,3.66666666666667,4,45.3333333333333
LPV-MPC_IMU_theta,3,8.89298272282007,43.4999157358101,0.666854162004895,12.1776075559953,579.764830925231,0.035781350765902,3.64128951436771,3.64210398963833,29.057483352338,63.2944910344699,5,5,66.3333333333333
LPV-MPC_theta0,3,8.82760931608032,43.0540704591554,0.689094607996255,12.2527292685907,644.055825266103,0.0356519260587254,3.87602927083269,3.87602927083269,29.057483352338,63.2944910344699,6,6,70
