epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_abs_le_8_mae_deg,val_theta_abs_le_10_mae_deg,val_theta_pos_6_8_mae_deg,val_theta_neg_8_6_mae_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.0009987820251299122,0.010278347044883372,0.08397961015952032,0.2151283910621765,0.5770962238311768,1.1700433492660522,0.2694017291069031,1.211397409439087,0.5770962834358215,0.5770962834358215,0.8311857581138611,0.638812243938446,0.9851609466555057,0.9511452705273571,0.7789855072463768
2,0.0009951340343707852,0.009359548489508873,0.08409342091576202,0.33454854501624076,0.6310135722160339,1.4035241603851318,-0.3908842206001282,1.3314229249954224,0.6310135126113892,0.6310135126113892,1.3192566633224487,0.4415382742881775,0.9851609466555057,0.9511452705273571,0.7789855072463768
3,0.000989073800366903,0.009357390147048209,0.08402881893962134,0.24981755440923306,0.5681406259536743,1.2123298645019531,0.3593718111515045,1.2482824325561523,0.5681406259536743,0.5681406259536743,0.8081974387168884,0.5018705129623413,0.9851609466555057,0.9511452705273571,0.7789855072463768
4,0.0009806308479691596,0.00936958886887393,0.08386914769453904,0.163280156966908,0.5325282216072083,1.0787423849105835,-0.030494382604956627,0.9313151240348816,0.5325282216072083,0.5325282216072083,1.0036965608596802,0.38233551383018494,0.9851609466555057,0.9511452705273571,0.7789855072463768
5,0.0009698463103929544,0.009403951167455007,0.08390233628171173,0.1637806140806348,0.4828557074069977,1.0803477764129639,0.20657643675804138,1.0056939125061035,0.4828557074069977,0.4828557074069977,0.7749045491218567,0.35336366295814514,0.9851609466555057,0.9511452705273571,0.7789855072463768
6,0.0009567727288213006,0.00966109249510661,0.08431447688828918,0.38713974034919574,0.7833283543586731,1.4912314414978027,-0.4544731378555298,1.6251975297927856,0.7833283543586731,0.7833283543586731,1.4594337940216064,0.7950098514556885,0.9851609466555057,0.9511452705273571,0.7789855072463768
7,0.0009414737964294637,0.009342178320556805,0.08394301422753932,0.20524470130962358,0.5200817584991455,1.1322108507156372,0.30438342690467834,1.0218889713287354,0.5200816988945007,0.5200816988945007,0.8294376730918884,0.4043506383895874,0.9851609466555057,0.9511452705273571,0.7789855072463768
8,0.000924024048078213,0.009331973005651403,0.08399452014733609,0.2633314581315962,0.5524404048919678,1.2606526613235474,0.3328222632408142,1.0702463388442993,0.5524404644966125,0.5524404644966125,0.7689719200134277,0.5526304244995117,0.9851609466555057,0.9511452705273571,0.7789855072463768
9,0.0009045084971874739,0.009333591409852056,0.08387602547737989,0.1360503978726889,0.557809054851532,1.0087547302246094,0.09222336113452911,0.9219629168510437,0.5578089952468872,0.5578089952468872,1.0049998760223389,0.5002692937850952,0.9851609466555057,0.9511452705273571,0.7789855072463768
10,0.0008830222215594891,0.009482630523839852,0.08385857530309587,0.13343136767463937,0.5878194570541382,0.9929271936416626,0.13915301859378815,0.8154022097587585,0.5878193974494934,0.5878193974494934,0.8497503399848938,0.5784989595413208,0.9851609466555057,0.9511452705273571,0.7789855072463768
11,0.0008596699001693257,0.009339552705843331,0.08391635361445131,0.14131101702824636,0.6466619968414307,1.015141487121582,0.021804939955472946,0.8534670472145081,0.6466619968414307,0.6466619968414307,1.458064079284668,0.46123525500297546,0.9851609466555057,0.9511452705273571,0.7789855072463768
12,0.0008345653031794292,0.009308278765095815,0.0840353379992034,0.2607251508585322,0.6761603951454163,1.2754206657409668,-0.2714926302433014,1.1116399765014648,0.6761603951454163,0.6761603951454163,1.3999888896942139,0.49238407611846924,0.9851609466555057,0.9511452705273571,0.7789855072463768
13,0.0008078307376628292,0.009314458919446409,0.08395363502195914,0.16974859262043895,0.5612514615058899,1.0925480127334595,0.18873800337314606,0.9699671864509583,0.5612514019012451,0.5612514019012451,0.7282875776290894,0.539291501045227,0.9851609466555057,0.9511452705273571,0.7789855072463768
14,0.0007795964517353735,0.009321454677147728,0.08389559701526195,0.18802145409074678,0.5447589755058289,1.1396121978759766,0.012536054477095604,0.900518000125885,0.5447589755058289,0.5447589755058289,0.9739825129508972,0.37794286012649536,0.9851609466555057,0.9511452705273571,0.7789855072463768
15,0.0007500000000000001,0.009311664621292352,0.08386725730687714,0.1588169220987316,0.5380322337150574,1.0671762228012085,-0.10622217506170273,0.9699443578720093,0.5380321741104126,0.5380321741104126,1.0448501110076904,0.48114272952079773,0.9851609466555057,0.9511452705273571,0.7789855072463768
16,0.0007191855733945389,0.00932236573852797,0.08399106061898104,0.22937749930705284,0.5556262731552124,1.2419486045837402,-0.1898394078016281,1.2126959562301636,0.5556262731552124,0.5556262731552124,0.9047567248344421,0.5879243016242981,0.9851609466555057,0.9511452705273571,0.7789855072463768
17,0.0006873032967079562,0.009344707505331132,0.08389382089062483,0.18094890054988041,0.6031588912010193,1.1175552606582642,-0.059783000499010086,0.9442283511161804,0.6031588315963745,0.6031588315963745,1.0164669752120972,0.7185981273651123,0.9851609466555057,0.9511452705273571,0.7789855072463768
18,0.000654508497187474,0.009302208990144488,0.08384333603091458,0.14638552272866806,0.5175653100013733,1.0376925468444824,0.15706627070903778,0.753334641456604,0.5175653100013733,0.5175653100013733,0.9063712358474731,0.4285091161727905,0.9851609466555057,0.9511452705273571,0.7789855072463768
