epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_base,train_loss_turn_base,train_loss_theta_base,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,train_loss_transition_focal_raw,train_loss_transition_focal_weighted,train_loss_stall_focal_raw,train_loss_stall_focal_weighted,train_loss_theta_smooth,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_base,val_loss_turn_base,val_loss_theta_base,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_loss_transition_focal_raw,val_loss_transition_focal_weighted,val_loss_stall_focal_raw,val_loss_stall_focal_weighted,val_loss_theta_smooth,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,val_flat_as_stall_ratio,val_stall_as_flat_ratio,val_cm_main,val_cm_turn,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.0009998286624877785,fixed,1.3249704393315527,2.6499408786631053,0.8575872671251483,0.4501658001953724,0.01721737577198856,0.7561868051304431,0.21330764245223174,0.01721737577198856,0.7561868051304431,1.0665381989755145,0.020979057696724965,0.47371631133209463,0.23685815566604732,0.5070023008808335,0.10140046142742612,0.0,1.5567504340482823,1.087361633148503,0.46627483234031275,0.003113982700446623,0.6650909989709299,0.2160629569798587,0.003113982700446623,0.6650909989709299,1.0803147750229893,0.003971728269661069,0.5004237477608399,0.25021187388041993,2.1113531113961392,0.42227062930596215,0.0,9.108928657440401,0.689851150202977,0.3250338294993234,0.6645962320758149,0.4198356000657523,0.4668470906630582,0.9924221921515561,0.6839266450916937,0.28199052132701424,0.3416149068322981,2.6370506286621094,7.426592826843262,8.129138946533203,5.478432655334473,7.520514965057373,7.284582614898682,6.239716529846191,7.544872760772705,6.198949337005615,8.697663307189941,-0.7454689741134644,9.1717529296875,nan,0.395738203957382,0.23809523809523808,0.7606809078771696,0.0015220700152207,0.09523809523809523,"[[260, 1, 396], [4, 10, 28], [203, 514, 2279]]","[[238, 222, 384], [428, 329, 1167], [193, 100, 634]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0009993147673772868,fixed,0.9797378284426767,1.9594756568853533,0.5412156041185309,0.4342303892284392,0.004291836586898888,0.4708925018084663,0.20883494869061164,0.004291836586898888,0.4708925018084663,1.044174725913159,0.005407717909220595,0.45079087876777363,0.22539543938388681,0.3516155057265283,0.07032310256339062,0.0,1.3818425887169792,0.9355283723309817,0.4436807852233376,0.002633418009209375,0.4304452113111545,0.2093672074226307,0.002633418009209375,0.4304452113111545,1.0468360195624489,0.0034531560873282577,0.4686271556014137,0.23431357780070686,2.5254158063896295,0.5050831703597702,0.0,6.9229883063347994,0.8557510148849797,0.31339648173207035,0.8101699645103672,0.43040599544554675,0.15751014884979703,0.9899864682002706,0.645091693635383,0.566350710900474,0.31832298136645965,2.4519731998443604,6.985815048217773,8.092175483703613,5.049323081970215,7.026229381561279,7.398725986480713,6.381330966949463,5.379166126251221,5.215065002441406,6.723991394042969,0.753086507320404,8.537897109985352,nan,0.882800608828006,0.23809523809523808,0.8584779706275033,0.0,0.40476190476190477,"[[580, 0, 77], [17, 10, 15], [348, 76, 2572]]","[[478, 53, 313], [945, 82, 897], [287, 42, 598]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.000998458666866564,fixed,0.7834714865488339,1.5669429730976678,0.3540959421880406,0.42483676170630624,0.0045387837248263,0.2984815058467162,0.20493341636813497,0.0045387837248263,0.2984815058467162,1.0246670691473267,0.005948367373669286,0.43980669159949515,0.21990334579974757,0.2780721718413304,0.055614435428313895,0.0,1.1839049787418123,0.7280050297793258,0.45334789114972734,0.0025520477588231775,0.3491341485786825,0.21245359795745236,0.0025520477588231775,0.3491341485786825,1.0622679685546195,0.003586733228487942,0.4817885739958173,0.24089428699790866,1.8943543844963442,0.3788708860359592,0.0,6.6084521537505285,0.8790257104194857,0.31772665764546687,0.8593120096833097,0.42757428020641625,0.10663058186738836,0.9872801082543978,0.4034519956850054,0.6587677725118484,0.34937888198757766,2.6724555492401123,7.055054664611816,7.940478324890137,7.564794063568115,6.9442644119262695,7.9015326499938965,8.482135772705078,3.721564769744873,4.192046642303467,5.519940376281738,0.5785569548606873,5.877760887145996,nan,0.9010654490106544,0.23809523809523808,0.883177570093458,0.0,0.023809523809523808,"[[592, 0, 65], [1, 10, 31], [285, 65, 2646]]","[[556, 108, 180], [1198, 244, 482], [326, 227, 374]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0009972609476841365,fixed,0.6904389239913922,1.3808778479827843,0.27265157040089805,0.4134523654649028,0.004334992299611285,0.23205362945223498,0.20168468118943597,0.004334992299611285,0.23205362945223498,1.0084233898614263,0.0056285565105188605,0.4235353674276445,0.21176768371382226,0.20298969860117275,0.04059794023669064,0.0,1.083067608411967,0.6389374669898347,0.44212151022983337,0.0020086548232545265,0.2752288624946739,0.2085803316918697,0.0020086548232545265,0.2752288624946739,1.0429016383962153,0.0026520702607314706,0.4670823467519835,0.23354117337599176,1.8185429908844348,0.3637086037647216,0.0,5.815093340414836,0.9104194857916103,0.33558863328822736,0.9014042595921167,0.45894186537064385,0.04194857916102842,0.9656292286874154,0.7454153182308522,0.43364928909952605,0.37577639751552794,2.166825294494629,5.777732849121094,6.923164367675781,5.264153003692627,5.763557434082031,5.610404968261719,5.3463239669799805,4.222590446472168,4.100070953369141,5.109635353088379,1.086654782295227,9.83585262298584,nan,0.8858447488584474,0.4523809523809524,0.9222296395193591,0.0,0.047619047619047616,"[[582, 0, 75], [2, 19, 21], [183, 50, 2763]]","[[366, 130, 348], [691, 183, 1050], [180, 56, 691]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.000995722430686905,fixed,0.6614245303609394,1.3228490607218788,0.25002044048057764,0.4081834824243614,0.00322060141460228,0.20439674980635075,0.19992831545542789,0.00322060141460228,0.20439674980635075,0.9996415583218599,0.004173676180705393,0.41651033209156185,0.20825516604578093,0.2281184525091311,0.04562369116993296,0.0,1.004574888113871,0.5566943564579516,0.4460947448571738,0.0017857866472008868,0.2757455771362991,0.20933204099677089,0.0017857866472008868,0.2757455771362991,1.046660185505476,0.00239828103064422,0.4735254097855946,0.2367627048927973,1.404743845589464,0.2809487775894754,0.0,5.516018241798105,0.9093369418132612,0.345872801082544,0.8981299847020033,0.4477743122665069,0.0925575101488498,0.9764546684709067,0.47680690399137,0.5272511848341233,0.37732919254658387,2.1115057468414307,5.574202537536621,5.94105863571167,5.337456703186035,5.512269496917725,5.9029364585876465,5.959959983825684,4.137241363525391,3.6272754669189453,5.03776741027832,1.4746237993240356,7.613959312438965,nan,0.893455098934551,0.5714285714285714,0.9175567423230975,0.0,0.07142857142857142,"[[587, 0, 70], [3, 24, 15], [167, 80, 2749]]","[[445, 167, 232], [883, 391, 650], [304, 181, 442]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0009938441702975688,fixed,0.6058419197265881,1.2116838394531761,0.20472076245297305,0.39826149308059083,0.0028596674108594816,0.17337728599302205,0.19721734506283778,0.0028596674108594816,0.17337728599302205,0.9860867125901894,0.003757115184463607,0.40208829438933746,0.20104414719466873,0.15671737812046668,0.0313434761153193,0.0,1.1309943448706796,0.6613565911056224,0.4678435316508452,0.0017942359063872646,0.2822992956122139,0.21138280441377094,0.0017942359063872646,0.2822992956122139,1.0569140034857558,0.0024999142345293085,0.5129214544741485,0.25646072723707425,1.895286456315056,0.3790572915977328,0.0,6.08697312422049,0.9115020297699594,0.34722598105548036,0.931259594844007,0.47477289131555156,0.0746955345060893,0.8922868741542626,0.593311758360302,0.5521327014218009,0.35714285714285715,2.1018948554992676,5.604198932647705,6.6387529373168945,4.329625606536865,5.6467084884643555,4.889504432678223,4.8054656982421875,3.4021732807159424,4.712100028991699,6.20343017578125,1.7955657243728638,10.035722732543945,nan,0.7062404870624048,0.5,0.962283044058745,0.0,0.0,"[[464, 0, 193], [0, 21, 21], [94, 19, 2883]]","[[466, 94, 284], [882, 267, 775], [253, 124, 550]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0009916274537819772,fixed,0.6049204028570845,1.209840805714169,0.21060115971260318,0.392215530949082,0.002103715870669486,0.16744826276726843,0.19542178250450326,0.002103715870669486,0.16744826276726843,0.9771088980829314,0.00271824124667883,0.39358749530429205,0.19679374765214602,0.21576447781907082,0.04315289650608805,0.0,1.053763230953552,0.5797504627172292,0.4727886163414089,0.001224129263365815,0.29060934381975373,0.2118986705764221,0.001224129263365815,0.29060934381975373,1.0594933441753156,0.0017530326453618534,0.5217798853356074,0.2608899426678037,1.4457055943308716,0.2891411256795937,0.0,5.218837403842743,0.8936400541271989,0.3891745602165088,0.9080890580918167,0.48740172560886724,0.08958051420838972,0.8817320703653586,0.7874865156418555,0.3068720379146919,0.37267080745341613,1.6886621713638306,4.745957374572754,4.6239800453186035,3.713381052017212,4.849791049957275,4.320202827453613,4.447391986846924,4.855666160583496,3.814117193222046,5.130293369293213,1.6216204166412354,8.628778457641602,nan,0.9528158295281582,0.5714285714285714,0.8851802403204272,0.0,0.023809523809523808,"[[626, 0, 31], [1, 24, 17], [185, 159, 2652]]","[[259, 194, 391], [276, 449, 1199], [109, 88, 730]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0009890738003669026,fixed,0.588087233497325,1.17617446699465,0.1990201954961263,0.3872895103428684,0.0017775263983275233,0.16529186768279808,0.19428581988157353,0.0017775263983275233,0.16529186768279808,0.9714290802524516,0.0023854809315649005,0.38600738092258974,0.19300369046129487,0.1686416358589726,0.0337283277023628,0.0,1.1001445853339158,0.6471334353109497,0.4512105775298866,0.0018005629809238067,0.25024638004167477,0.20600182103933276,0.0018005629809238067,0.25024638004167477,1.0300090870612044,0.0026502792881637894,0.4904175242003311,0.24520876210016554,1.984435208012471,0.3968870540697653,0.0,5.689305632361479,0.9382949932341001,0.3688768606224628,0.9344710625941328,0.4934497031765104,0.060081190798376184,0.8292286874154262,0.8241639697950378,0.4419431279620853,0.35248447204968947,2.196901798248291,6.163135051727295,6.303891658782959,4.270517826080322,6.278388500213623,8.379637718200684,5.292466640472412,3.7954061031341553,4.273401737213135,4.894534111022949,-0.5710181593894958,5.787252426147461,nan,0.9634703196347032,0.5714285714285714,0.937917222963952,0.0,0.0,"[[633, 0, 24], [0, 24, 18], [168, 18, 2810]]","[[373, 101, 370], [576, 226, 1122], [124, 39, 764]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.000986184960198838,fixed,0.5624054770708675,1.124810954141735,0.185890991090412,0.37504811003922306,0.0014663770198543678,0.15453061735599743,0.19030875215492027,0.0014663770198543678,0.15453061735599743,0.9515437482813899,0.0019430451104147553,0.36947871623018186,0.18473935811509093,0.15680186468292254,0.0313603731163295,0.0,1.164086731893284,0.7001266200181112,0.46309981493730507,0.0008603240870391755,0.25711789673978164,0.21182445130425634,0.0008603240870391755,0.25711789673978164,1.059122239107692,0.0012618070433964808,0.5025507169421536,0.2512753584710768,2.2150435317980652,0.44300871833579125,0.0,4.4529829821135465,0.937212449255751,0.36102841677943165,0.940007398157042,0.5014376595630058,0.06738836265223275,0.8508795669824086,0.7454153182308522,0.4822274881516588,0.37732919254658387,1.4566609859466553,4.107506275177002,5.4211015701293945,3.752584457397461,4.070686340332031,4.083183288574219,4.013352870941162,2.9165146350860596,2.2255022525787354,3.5256001949310303,0.5196455121040344,5.242865085601807,nan,0.9208523592085236,0.5238095238095238,0.9465954606141522,0.0,0.047619047619047616,"[[605, 0, 52], [2, 22, 18], [147, 13, 2836]]","[[407, 102, 335], [684, 236, 1004], [163, 73, 691]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0009829629131445337,fixed,0.553722300660885,1.10744460132177,0.18085748058560033,0.3715323493704114,0.0013324722261958862,0.14782840255290672,0.18994385831905902,0.0013324722261958862,0.14782840255290672,0.9497192775866349,0.0017867818003530175,0.3631769850722992,0.1815884925361496,0.1651453902493096,0.03302907870401115,0.0,1.1966922032655656,0.7430164348450017,0.4527678263526163,0.0009079533100603287,0.2541746834779463,0.20815543681181495,0.0009079533100603287,0.2541746834779463,1.0407771712227023,0.0013018226683270866,0.48922478321118024,0.24461239160559012,2.4442086901760054,0.4888417535251497,0.0,4.453209317313715,0.9499323410013532,0.36129905277401897,0.9424674423048771,0.4934946993748337,0.05953991880920163,0.8576454668470906,0.5242718446601942,0.5710900473933649,0.391304347826087,1.490981101989746,4.208401203155518,4.783767223358154,3.1600542068481445,4.223123073577881,3.957267999649048,3.3327269554138184,3.0308966636657715,3.009503126144409,4.2400431632995605,0.12556074559688568,5.936079978942871,nan,0.9573820395738204,0.47619047619047616,0.9549399198931909,0.0,0.0,"[[629, 0, 28], [0, 20, 22], [122, 13, 2861]]","[[482, 123, 239], [894, 367, 663], [311, 130, 486]]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
