epoch,lr,train_loss,val_loss,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall
1,0.0009999238475781956,0.8054083916198912,0.6475779328359157,8.219730552241428,0.8384303112313938,0.5277401894451962,0.7339309505533328,0.5227017258036859,0.2573748308525034,0.7791610284167795,0.4811218985976268,0.3400473933649289,0.37267080745341613,3.027463674545288,8.785935401916504,8.33163070678711,5.419070720672607,9.097293853759766,9.757780075073242,6.4101152420043945,13.130457878112793,5.088487148284912,10.979668617248535,2.073896884918213,9.17418098449707,nan,0.471841704718417,0.09523809523809523,0.9292389853137517
2,0.0009996954135095479,0.47485256447492896,0.41303298451581083,6.360993410645566,0.9104194857916103,0.539106901217862,0.8639291757438141,0.5436819424314274,0.11096075778078485,0.7152909336941813,0.517799352750809,0.3127962085308057,0.3804347826086957,2.8931491374969482,8.272640228271484,7.798043251037598,6.672299861907959,8.612383842468262,6.677984237670898,8.150226593017578,5.774492263793945,7.654839038848877,8.717439651489258,0.8879315853118896,10.469483375549316,nan,0.9101978691019786,0.23809523809523808,0.9198931909212283
3,0.0009993147673772868,0.33957946672111566,0.4056657132018403,5.061862000196207,0.9023004059539919,0.5380243572395128,0.8995428205758474,0.5437457223412581,0.0749661705006766,0.748849797023004,0.38727076591154264,0.36611374407582936,0.40372670807453415,2.242877960205078,5.734470844268799,6.141181468963623,5.839982986450195,5.579312801361084,5.518704414367676,6.131276607513428,5.010077476501465,4.964317798614502,4.9254655838012695,1.750125527381897,8.080330848693848,nan,0.7640791476407914,0.23809523809523808,0.9419225634178905
4,0.000998782025129912,0.2876648578058751,0.3640984752181418,4.846539934964148,0.9112313937753721,0.5228687415426252,0.9126195984178359,0.547622280973308,0.08146143437077132,0.7155615696887686,0.43042071197411,0.504739336492891,0.37888198757763975,2.152531147003174,5.8877692222595215,6.883596420288086,5.165980815887451,5.796814918518066,5.829522132873535,5.460855960845947,4.043433666229248,5.721175193786621,4.717148780822754,0.8641559481620789,5.423816680908203,nan,0.7640791476407914,0.23809523809523808,0.9529372496662216
5,0.0009980973490458726,0.2578373183117378,0.35497518018069546,4.511236404568119,0.9220568335588634,0.5077131258457375,0.935861561170333,0.5764844905295413,0.018673883626522326,0.6175913396481733,0.540453074433657,0.4940758293838863,0.35403726708074534,2.040894031524658,5.2475175857543945,5.111545562744141,5.515308380126953,5.1580810546875,5.098618030548096,4.90651273727417,5.3770952224731445,4.557657241821289,5.032419681549072,2.015897035598755,6.869736671447754,nan,0.8660578386605784,0.3333333333333333,0.9425901201602136
6,0.0009972609476841365,0.23035673185722302,0.36818096803876804,4.906302376706679,0.9277401894451962,0.5212449255751015,0.9469809154563907,0.5852535506070896,0.06089309878213803,0.6002706359945873,0.5631067961165048,0.48933649289099523,0.39285714285714285,2.2241568565368652,5.746603488922119,5.265913009643555,5.94668436050415,5.787055492401123,4.478402614593506,5.895562171936035,3.8798837661743164,4.194712162017822,6.073227405548096,1.934492588043213,8.799797058105469,nan,0.741248097412481,0.35714285714285715,0.9766355140186916
7,0.000996273075820661,0.21723810066468732,0.31663515060454483,5.2606181138777455,0.9426251691474966,0.5161028416779432,0.9481250842974416,0.6015910734638589,0.016238159675236806,0.5566982408660351,0.45091693635382957,0.5841232227488151,0.38198757763975155,2.3096394538879395,6.825015068054199,6.748057842254639,4.395218849182129,7.2648024559021,5.475697040557861,4.95086669921875,8.010356903076172,3.8619680404663086,6.885887145996094,2.7180252075195312,10.317258834838867,nan,0.9528158295281582,0.5238095238095238,0.9462616822429907
8,0.000995134034370785,0.21596099767049404,0.30472499545920684,3.928783237248735,0.9388362652232747,0.5431664411366712,0.9420590393332473,0.5957979618396028,0.06224627875507442,0.6024357239512855,0.49406688241639696,0.4514218009478673,0.42857142857142855,1.8620421886444092,5.012499809265137,5.840123653411865,4.934175968170166,4.964424133300781,5.404361248016357,5.50362491607666,2.594130039215088,4.00273323059082,3.939666986465454,0.4871360957622528,5.008357524871826,nan,0.8264840182648402,0.5714285714285714,0.9686248331108144
9,0.0009938441702975688,0.20297572889473833,0.32707668429943804,3.7215814876190607,0.9412719891745602,0.5185385656292287,0.9479590521819826,0.5920544154760236,0.0625169147496617,0.6048714479025711,0.5501618122977346,0.6196682464454977,0.3944099378881988,1.7810020446777344,4.816481113433838,5.6852240562438965,4.101105690002441,4.786646366119385,6.336255073547363,4.29865837097168,2.674438238143921,2.9920198917388916,3.9162375926971436,1.2450391054153442,6.208885192871094,nan,0.9406392694063926,0.5238095238095238,0.9472630173564753
10,0.000992403876506104,0.19093803095438208,0.3208029584891096,4.39108865774082,0.9520974289580514,0.5204330175913396,0.958328066276937,0.6088015053199654,0.0530446549391069,0.5488497970230041,0.5706580366774542,0.3791469194312796,0.39596273291925466,2.574093818664551,6.189426422119141,5.68026065826416,5.970531940460205,6.264880657196045,6.64381217956543,5.415493011474609,2.526156187057495,5.585634231567383,4.086684226989746,0.07039862126111984,4.746944904327393,nan,0.969558599695586,0.5238095238095238,0.9542723631508678
11,0.000990813591723832,0.2003022208697163,0.30197880695572726,3.495682393258737,0.9469553450608931,0.5215155615696888,0.950727262938403,0.5974470270062023,0.0557510148849797,0.5658998646820027,0.5329018338727076,0.5414691943127962,0.4472049689440994,1.6893435716629028,4.396468639373779,5.004966735839844,3.2582385540008545,4.396468639373779,4.786603927612305,3.716627597808838,3.647061586380005,3.255988597869873,4.756048202514648,1.1570743322372437,6.807332515716553,nan,0.9619482496194824,0.5714285714285714,0.9489319092122831
12,0.0009890738003669028,0.1882810007612432,0.3412074468293919,3.320656568254276,0.9315290933694181,0.5041948579161029,0.9451741679372221,0.615860450275657,0.06062246278755074,0.5493910690121786,0.5728155339805825,0.5284360189573459,0.42080745341614906,1.4393892288208008,4.087060928344727,4.124049663543701,3.4381778240203857,4.1918559074401855,3.9962222576141357,3.291116714477539,3.10213565826416,2.879070997238159,4.148836612701416,0.3393838405609131,4.927907466888428,nan,0.817351598173516,0.5952380952380952,0.9612817089452603
13,0.0009871850323926177,0.18211252888578622,0.36115502475563016,3.8340008441849642,0.9261163734776725,0.5253044654939107,0.9518764166074052,0.6251633317728106,0.06062246278755074,0.5317997293640054,0.3581445523193096,0.5319905213270142,0.4192546583850932,1.5762219429016113,3.978740930557251,4.164810657501221,3.221935510635376,4.005155563354492,3.087934970855713,3.498912811279297,4.385393142700195,2.869352102279663,4.309548377990723,2.2754709720611572,6.691286563873291,nan,0.7062404870624048,0.5714285714285714,0.979305740987984
14,0.0009851478631379982,0.16948827439355102,0.33796790102660573,3.3363710175729873,0.9382949932341001,0.489851150202977,0.9535065526939002,0.626831860283885,0.056833558863328824,0.4995940460081191,0.47572815533980584,0.6824644549763034,0.37422360248447206,1.325194239616394,3.630948305130005,3.466947078704834,2.997718334197998,3.6631994247436523,4.397535800933838,3.451639175415039,2.4216179847717285,3.031243085861206,4.104896068572998,0.8589012622833252,6.179246425628662,nan,0.7853881278538812,0.5714285714285714,0.9769692923898531
15,0.0009829629131445341,0.16484394982584274,0.34427793921249966,3.8672138695427964,0.9382949932341001,0.5055480378890392,0.9577654053634929,0.6286291640057339,0.0543978349120433,0.5396481732070365,0.5566343042071198,0.5071090047393365,0.41459627329192544,1.7500133514404297,4.207766532897949,5.783324241638184,3.3651506900787354,4.07512903213501,5.121358871459961,3.6762962341308594,3.0831847190856934,3.3106181621551514,4.275587558746338,1.2535289525985718,8.036837577819824,nan,0.7732115677321156,0.5714285714285714,0.9796395193591455
16,0.0009806308479691594,0.17004139672441257,0.30950622823144813,3.6439070689006585,0.9491204330175913,0.5366711772665764,0.961537559335719,0.6361864193448995,0.05331529093369418,0.5215155615696888,0.5091693635382956,0.4549763033175355,0.4549689440993789,1.7139413356781006,4.771718502044678,3.3892016410827637,2.9076156616210938,4.86881160736084,3.7433900833129883,4.112024307250977,4.352818489074707,3.868811845779419,5.368860244750977,1.1267918348312378,5.883805274963379,nan,0.8356164383561644,0.5714285714285714,0.979305740987984
17,0.0009781523779815178,0.16197321912755738,0.3945178497950666,4.376623729996223,0.9380243572395128,0.5366711772665764,0.9607767878797786,0.6437987990379077,0.008660351826792964,0.48930987821380245,0.4994606256742179,0.5438388625592417,0.40062111801242234,2.0615360736846924,4.828793525695801,6.423552513122559,4.0146565437316895,4.70345401763916,6.306159496307373,4.458987712860107,3.5627503395080566,3.3363966941833496,4.32515287399292,2.213685989379883,8.162215232849121,nan,0.7792998477929984,0.47619047619047616,0.979305740987984
18,0.0009755282581475768,0.15300622926093582,0.35050601458355923,3.082592179023415,0.9480378890392422,0.5566982408660351,0.9640152058219936,0.6421660791804172,0.05115020297699594,0.5071718538565629,0.45307443365695793,0.49881516587677727,0.47360248447204967,1.4283268451690674,3.607215166091919,4.309313774108887,2.6248321533203125,3.607273578643799,2.9120242595672607,3.2693674564361572,2.7206809520721436,3.372122049331665,4.107279300689697,-0.07632335275411606,5.95275354385376,nan,0.8158295281582952,0.5714285714285714,0.9823097463284379
19,0.0009727592877996585,0.15385263292162293,0.37398534419572077,3.726289496352717,0.9445196211096076,0.5599458728010825,0.9618251809159516,0.6322432916942561,0.010825439783491205,0.5104194857916103,0.4929881337648328,0.5118483412322274,0.4720496894409938,1.621279239654541,4.9365763664245605,3.99064302444458,3.0740156173706055,4.936581611633301,3.2742459774017334,3.0391669273376465,2.9794743061065674,4.478457450866699,5.436581611633301,1.2772550582885742,7.115280628204346,nan,0.791476407914764,0.47619047619047616,0.9846461949265688
20,0.0009698463103929542,0.14370383498395187,0.3529866450371697,3.746504133898061,0.9415426251691476,0.5331529093369418,0.9673291376374888,0.6648804053910601,0.010284167794316644,0.4327469553450609,0.511326860841424,0.5888625592417062,0.4301242236024845,2.1331441402435303,4.433835983276367,4.400333881378174,4.460017204284668,4.423138618469238,4.713716506958008,5.038895606994629,4.645859241485596,3.269791841506958,4.585628032684326,0.9163986444473267,5.078383922576904,nan,0.9528158295281582,0.5238095238095238,0.9449265687583445
21,0.0009667902132486009,0.15131559987106832,0.3350475989514017,3.3006611440288913,0.9542625169147496,0.5474966170500677,0.9652419129116409,0.6502180871106163,0.05006765899864682,0.4817320703653586,0.5361380798274002,0.6066350710900474,0.4301242236024845,1.6000406742095947,4.17144250869751,3.3827319145202637,3.404055595397949,4.325057506561279,3.6989119052886963,3.955634117126465,5.216251373291016,2.6971535682678223,4.177411079406738,0.7450528144836426,5.073605060577393,nan,0.9619482496194824,0.5238095238095238,0.9586114819759679
22,0.0009635919272833937,0.14672638124934673,0.3630273885268804,2.4263326150563125,0.9453315290933694,0.546955345060893,0.9619656940407202,0.6521940735514761,0.05115020297699594,0.45737483085250336,0.6343042071197411,0.5675355450236966,0.4549689440993789,1.0477073192596436,3.2393317222595215,2.8487250804901123,2.031383991241455,3.2393760681152344,2.921210289001465,2.6697399616241455,1.3781620264053345,2.451627254486084,3.7393782138824463,0.5234032869338989,5.303211688995361,nan,0.9680365296803652,0.5714285714285714,0.9455941255006676
23,0.0009602524267262203,0.13962700202230807,0.3406047461723281,3.20023656012841,0.9447902571041948,0.5488497970230041,0.9557865637628662,0.6559441715395143,0.05250338294993234,0.4438430311231394,0.5458468176914779,0.6066350710900474,0.4580745341614907,1.4901123046875,3.5998034477233887,2.884873628616333,3.341709852218628,3.6844918727874756,3.5938210487365723,3.6473379135131836,3.0726547241210938,3.1852080821990967,4.685208320617676,1.6324453353881836,4.770525932312012,nan,0.8203957382039574,0.5714285714285714,0.9773030707610146
24,0.0009567727288213005,0.1326935669467312,0.3582095187797598,3.6635466932468885,0.9518267929634642,0.5880920162381597,0.9676870156687661,0.6554594761923523,0.05006765899864682,0.44871447902571043,0.5674217907227616,0.5355450236966824,0.4782608695652174,2.158350706100464,5.0817108154296875,5.291849613189697,5.443477630615234,5.010168552398682,5.494825839996338,5.169058799743652,3.290167808532715,2.7855522632598877,3.770128011703491,0.48585373163223267,3.770256757736206,nan,0.9604261796042618,0.5238095238095238,0.9559412550066756
25,0.0009531538935183252,0.14106689454733304,0.3536017275469552,2.3486659268763197,0.9539918809201624,0.5518267929634642,0.9648438096311387,0.6608214034357222,0.04979702300405954,0.4311231393775372,0.6051779935275081,0.5817535545023697,0.453416149068323,1.1252517700195312,2.9691598415374756,2.96962571144104,2.728158712387085,3.000666379928589,3.741055727005005,2.5056135654449463,1.1896580457687378,2.16028094291687,3.2262377738952637,0.48494288325309753,4.039660453796387,nan,0.9604261796042618,0.5714285714285714,0.9579439252336449
