run_tag,formal_gate_pass,acc_main,acc_main_delta_vs_baseline_good_positive,acc_turn,acc_turn_delta_vs_baseline_good_positive,acc_turn_transition,acc_turn_transition_delta_vs_baseline_good_positive,theta_mae_deg,theta_mae_deg_delta_vs_baseline_good_positive,flat_recall,flat_recall_delta_vs_baseline_good_positive,stall_recall,stall_recall_delta_vs_baseline_good_positive,slope_recall,slope_recall_delta_vs_baseline_good_positive,theta_edge_p95_abs_err,theta_edge_p95_abs_err_delta_vs_baseline_good_positive,summary_file
full128_light_theta_select_seed21,False,0.9508606329816769,-0.0161021654636313,0.5788450860632982,0.0,0.46795827123695977,-0.02980625931445602,0.7480581402778625,-0.06866335868835449,0.9457671957671958,-0.023809523809523725,0.6354166666666666,-0.08333333333333337,0.9632727272727273,-0.011636363636363667,2.909252166748047,-0.15419530868530273,results\modern_tcn_ablation\exp3_patch_full_rescue\full128_light_theta_select_seed21\modern_tcn_full_seed21_summary.csv
full128_light_theta_loss_seed21,False,0.9558578567462521,-0.01110494169905607,0.5816213214880622,0.0027762354247640175,0.47242921013412814,-0.025335320417287643,0.7917922735214233,-0.11239749193191528,0.9722222222222222,0.002645502645502673,0.6770833333333334,-0.04166666666666663,0.9610909090909091,-0.01381818181818184,3.934220314025879,-1.1791634559631348,results\modern_tcn_ablation\exp3_patch_full_rescue\full128_light_theta_loss_seed21\modern_tcn_full_seed21_summary.csv
full128_densepatch_theta_select_seed21,False,0.9514158800666297,-0.015546918378678498,0.6029983342587452,0.024153248195446952,0.5171385991058122,0.019374068554396384,0.5706025958061218,0.10879218578338623,0.9656084656084656,-0.003968253968253954,0.6145833333333334,-0.10416666666666663,0.9592727272727273,-0.01563636363636367,2.4979312419891357,0.2571256160736084,results\modern_tcn_ablation\exp3_patch_full_rescue\full128_densepatch_theta_select_seed21\modern_tcn_full_seed21_summary.csv
full128_densepatch_theta_loss_seed21,False,0.9586340921710161,-0.008328706274292053,0.579400333148251,0.0005552470849528035,0.4992548435171386,0.0014903129657228287,0.6188014149665833,0.060593366622924805,0.966931216931217,-0.002645502645502562,0.6145833333333334,-0.10416666666666663,0.9683636363636363,-0.006545454545454632,3.384803295135498,-0.6297464370727539,results\modern_tcn_ablation\exp3_patch_full_rescue\full128_densepatch_theta_loss_seed21\modern_tcn_full_seed21_summary.csv
