controller,n_paths,ey_rmse_mean,ey_peak_worst,xy_rmse_mean,j_du_mean,theta_mae_mean,main_acc_mean,turn_acc_mean,rank_ey
ModernTCN_turn_seed101_champion,3,0.0293881212343404,0.0852651182592324,0.599794482657117,3.6807764852036,0.528033783333603,94.7622753160075,54.3189991714089,1
ModernTCN_turn_seed303_multiseed,3,0.0294623008936542,0.0873085451918504,0.628339829047264,8.12496026717823,0.643644049249354,92.2607491940465,52.5600181237928,2
ModernTCN_turn_seed101_multiseed,3,0.040415590389661,0.232829359637858,0.527667871849468,7.68622455854488,0.723840010480078,93.0551789082121,52.4460777391684,3
ModernTCN_turn_seed202_multiseed,3,0.25128876728378,1.91836588970345,3.66289036789894,279.339923361196,0.72935023514994,90.8022373463787,48.9603894518986,4
