model,case_name,seed,status,input_dim,best_epoch,base_best_epoch,train_seconds,loss_total,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_abs_le_10_p95_abs_err_deg,theta_flat_bias_deg,flat_recall,stall_recall,slope_recall,hidden_size,num_layers,num_blocks,num_filters,kernel_size,train_windows,dataset_file,model_file,meta_file,report_file,error_message,root
TCN,tcn96_rawtheta_sym,21,trained,22,77,13,11866.9113075,0.575604323683114,0.734869516935036,0.520544142143254,0.405365126676602,0.869978722873594,2.97778624710719,-0.0422697767835701,0.226190476190476,0.489583333333333,0.883272727272727,NaN,NaN,6,96,3,NaN,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\TCN_model_full_tcn_v5_plantfix_passive17_plus_all5_seed21.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\TCN_meta_full_tcn_v5_plantfix_passive17_plus_all5_seed21.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_tcn_v5_plantfix_passive17_plus_all5_seed21\TCN_train_report.md,,E:\Matlab\Simulink\S-Function_16
TCN,tcn96_rawtheta_sym,73,trained,22,79,57,10788.0764834,0.585227491526768,0.755691282620766,0.552193225985564,0.442622950819672,0.779332524289183,2.64603698296415,0.0173413534151834,0.268518518518519,0.520833333333333,0.897818181818182,NaN,NaN,6,96,3,NaN,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\TCN_model_full_tcn_v5_plantfix_passive17_plus_all5_seed73.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\TCN_meta_full_tcn_v5_plantfix_passive17_plus_all5_seed73.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_tcn_v5_plantfix_passive17_plus_all5_seed73\TCN_train_report.md,,E:\Matlab\Simulink\S-Function_16
TCN,tcn96_rawtheta_sym,101,trained,22,74,32,5981.179896,0.601034045219421,0.744031093836757,0.543031649083842,0.424739195230999,0.863086925199831,2.14176516206934,0.304503456821511,0.456349206349206,0.53125,0.830545454545455,NaN,NaN,6,96,3,NaN,E:\Matlab\Simulink\S-Function_16\data\tcn\ModernTCN_dataset_agv_dualsteer_theta10_uniform_conf_h0_v5_plantfix_passive17_plus_all5.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\TCN_model_full_tcn_v5_plantfix_passive17_plus_all5_seed101.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\models\TCN_meta_full_tcn_v5_plantfix_passive17_plus_all5_seed101.mat,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\08_models\matlab_logs\full_tcn_v5_plantfix_passive17_plus_all5_seed101\TCN_train_report.md,,E:\Matlab\Simulink\S-Function_16
