run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,variant_name,v_ref,omega_ref,radius_m,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,1,1,-10,1,1,left_R40_v095,0.95,0.02375,40,3.2,clean,0,3.19,13,-9.60404254384988,-9.61197055457918,0.0379227096304096,0.39595745615012,0.388029445420818,3,1
1,2,2,-10,2,2,right_R40_v095,0.95,-0.02375,40,3.2,clean,3.2,6.39,13,-9.97399461760174,-9.96194760875355,0.0425295780606797,0.0260053823982567,0.038052391246449,3,0.999999046325684
1,3,3,-10,3,3,left_R30_v105,1.05,0.035,30,3.2,clean,6.4,9.59,13,-9.99280495857596,-9.94464096019507,0.12903011080969,0.00719504142404048,0.0553590398049266,3,0.99999988079071
1,4,4,-10,4,4,right_R30_v105,1.05,-0.035,30,3.2,clean,9.6,12.79,13,-9.88986034740553,-9.88375396126285,0.0236323328445046,0.110139652594473,0.116246038737152,3,1
1,5,5,-9.8,1,1,left_R40_v095,0.95,0.02375,40,3.2,clean,12.8,15.99,13,-9.8613716283774,-9.90074267765044,0.210008717081616,-0.0613716283774028,-0.100742677650441,3,1
1,6,6,-9.8,2,2,right_R40_v095,0.95,-0.02375,40,3.2,clean,16,19.19,13,-9.73504898722531,-9.72319243557513,0.0605498120204659,0.0649510127746904,0.0768075644248736,3,0.999999761581421
1,7,7,-9.8,3,3,left_R30_v105,1.05,0.035,30,3.2,clean,19.2,22.39,13,-9.94168953037488,-9.95108557205146,0.131666882161829,-0.141689530374876,-0.151085572051457,3,1
1,8,8,-9.8,4,4,right_R30_v105,1.05,-0.035,30,3.2,clean,22.4,25.59,13,-9.7062964521405,-9.69824845337645,0.0179581231503793,0.093703547859505,0.101751546623552,3,1
1,9,9,-9.6,1,1,left_R40_v095,0.95,0.02375,40,3.2,clean,25.6,28.79,13,-9.65088825004606,-9.65262259269607,0.00933178569036242,-0.050888250046059,-0.0526225926960748,3,1
1,10,10,-9.6,2,2,right_R40_v095,0.95,-0.02375,40,3.2,clean,28.8,31.99,13,-9.44854133456349,-9.47695597230908,0.17380845935427,0.151458665436508,0.123044027690922,3,0.99999988079071
1,11,11,-9.6,3,3,left_R30_v105,1.05,0.035,30,3.2,clean,32,35.19,13,-9.68583576670808,-9.68269374834008,0.0144332980071595,-0.085835766708076,-0.0826937483400787,3,0.999998331069946
1,12,12,-9.6,4,4,right_R30_v105,1.05,-0.035,30,3.2,clean,35.2,38.39,13,-9.49040014889192,-9.47501114161782,0.0400697185622092,0.109599851108083,0.124988858382183,3,1
1,13,13,-9.4,1,1,left_R40_v095,0.95,0.02375,40,3.2,clean,38.4,41.59,13,-9.31951223095278,-9.20914832679642,0.255316293544382,0.0804877690472185,0.190851673203577,3,1
1,14,14,-9.4,2,2,right_R40_v095,0.95,-0.02375,40,3.2,clean,41.6,44.79,13,-9.4122115583682,-9.35764695031115,0.124806681791998,-0.012211558368195,0.0423530496888471,3,0.999999403953552
1,15,15,-9.4,3,3,left_R30_v105,1.05,0.035,30,3.2,clean,44.8,47.99,13,-9.48005582739393,-9.47008499902873,0.026389971981951,-0.0800558273939309,-0.0700849990287313,3,0.999984860420227
