epoch,lr,loss_mode,train_loss,train_loss_fixed_total,train_loss_main,train_loss_turn,train_loss_theta,train_loss_main_raw,train_loss_turn_raw,train_loss_theta_raw,val_loss,val_loss_main,val_loss_turn,val_loss_theta,val_loss_main_raw,val_loss_turn_raw,val_loss_theta_raw,val_score,val_acc_main,val_acc_turn,val_main_confidence_mean,val_turn_confidence_mean,val_main_low_conf_0p60_ratio,val_turn_low_conf_0p60_ratio,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_theta_abs_le_10_p95_abs_err_deg,val_theta_neg_10_8_p95_abs_err_deg,val_theta_pos_8_10_p95_abs_err_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_neg_8_6_p95_abs_err_deg,val_theta_pos_6_8_p95_abs_err_deg,val_theta_neg_2_0p5_p95_abs_err_deg,val_theta_pos_0p5_2_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_flat_recall,val_stall_recall,val_slope_recall,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,task_weight_main,task_weight_turn,task_weight_theta,initial_loss_main,initial_loss_turn,initial_loss_theta,grad_norm_main,grad_norm_turn,grad_norm_theta,gradnorm_loss,gradnorm_unstable
1,0.0009998286624877785,uncertainty_weighting,0.8744868206901396,1.884993753990581,0.7109858931657933,0.20463235792223589,0.026878621312486767,0.7109858931657933,1.023161773586729,0.030635392213775203,0.7551669235803762,0.5475737489447381,0.2037401220875922,0.0038530384160134646,0.5475737489447381,1.0187005992187377,0.005089187885713996,8.660095107971149,0.8094722598105548,0.4438430311231394,0.7694120945079784,0.4919757954399049,0.14857916102841678,0.8024357239512855,0.6256742179072277,0.6753554502369669,0.327639751552795,2.938261032104492,8.281623840332031,10.840201377868652,6.8025031089782715,8.243295669555664,10.542577743530273,7.237161636352539,5.449690818786621,10.575952529907227,8.614786148071289,0.6126827597618103,10.414222717285156,nan,0.3713850837138508,0.047619047619047616,0.9162216288384513,-0.07035251706838608,-0.06510142236948013,-0.06631859391927719,1.072886347770691,1.0672671794891357,1.068567156791687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0009993147673772868,uncertainty_weighting,0.38100110398471027,1.2408697862786384,0.4223074095962744,0.19270176430245162,0.0054257165372560544,0.4223074095962744,0.9635088038109876,0.006699023776926527,0.5984398516008431,0.3978960626825428,0.19687381426681524,0.0036699787897583355,0.3978960626825428,0.9843690565700298,0.004752562733566204,7.040711754985243,0.871447902571042,0.4365358592692828,0.8224594696281214,0.5279389816411763,0.14073071718538566,0.7196211096075779,0.5706580366774542,0.7097156398104265,0.30745341614906835,3.046670913696289,7.786774158477783,8.9303560256958,8.058220863342285,7.6206560134887695,8.538185119628906,9.388147354125977,7.302333354949951,6.730440139770508,6.310359954833984,0.7797390222549438,6.408257961273193,nan,0.806697108066971,0.23809523809523808,0.8945260347129506,-0.15816721320152283,-0.13005970418453217,-0.13214735686779022,1.171362042427063,1.1388964653015137,1.141276478767395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.000998458666866564,uncertainty_weighting,0.01670083411971442,0.9055846941666549,0.263007295407367,0.18562375308904192,0.004161300175981656,0.263007295407367,0.9281187533135062,0.005350557183178019,0.4977394872331168,0.29775340089294683,0.1975643603380704,0.002421727390135657,0.29775340089294683,0.9878217848615168,0.003327423670418631,5.816149764383078,0.908254397834912,0.4286874154262517,0.9004608306720064,0.5415843615186554,0.04384303112313938,0.723680649526387,0.5631067961165048,0.6777251184834123,0.3027950310559006,2.39072585105896,6.705903053283691,7.4265594482421875,6.135290622711182,6.705903053283691,8.517395973205566,6.053455352783203,4.368483543395996,7.4351606369018555,5.681859016418457,0.8467876315116882,6.142449855804443,nan,0.9573820395738204,0.23809523809523808,0.9068758344459279,-0.24651770293712616,-0.19466350972652435,-0.1976643204689026,1.2795618772506714,1.2149021625518799,1.2185531854629517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0009972609476841365,uncertainty_weighting,-0.22892425953530524,0.7931875599094871,0.20989006310223568,0.18234626876351565,0.004357445241215261,0.20989006310223568,0.911731328023916,0.00545018762811546,0.5242864117086821,0.3229795452625729,0.19889164168554005,0.0024152188124551017,0.3229795452625729,0.9944581848197441,0.0032263677081418338,6.117572725586371,0.8995940460081191,0.4801082543978349,0.9105083710697153,0.5559558801307898,0.0422192151556157,0.627063599458728,0.6871628910463862,0.5071090047393365,0.35714285714285715,2.4457952976226807,6.558260917663574,9.00942611694336,5.404813766479492,6.455765724182129,8.454249382019043,6.072566509246826,6.416604518890381,6.96292781829834,5.8602752685546875,1.54035484790802,6.0924296379089355,nan,0.8386605783866058,0.23809523809523808,0.9222296395193591,-0.32819610834121704,-0.2587817311286926,-0.26299968361854553,1.3884612321853638,1.2953510284423828,1.3008263111114502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.000995722430686905,uncertainty_weighting,-0.43939122289889765,0.7361845999146569,0.18704525768302502,0.17742243982791556,0.003624601879052494,0.18704525768302502,0.8871121840076284,0.004587934556453735,0.488697296163226,0.28823808821999497,0.19723705447333106,0.0032221571130221847,0.28823808821999497,0.9861852583607736,0.004648011969213396,6.331614747215977,0.9115020297699594,0.4668470906630582,0.9203594125826848,0.5541340573796054,0.034641407307171856,0.6717185385656292,0.6806903991370011,0.5260663507109005,0.3385093167701863,3.075178861618042,7.738097190856934,8.087279319763184,6.190656661987305,7.764890670776367,7.92789888381958,7.76359748840332,4.853673934936523,5.067383289337158,6.046776294708252,0.4021531641483307,6.8765130043029785,nan,0.7488584474885844,0.42857142857142855,0.9539385847797063,-0.4056035876274109,-0.3224494159221649,-0.32826948165893555,1.500207781791687,1.380505084991455,1.3885631561279297,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.0009938441702975688,uncertainty_weighting,-0.6535780891200016,0.6758168859579607,0.16088228920209038,0.1740285495053951,0.0029976019516965444,0.16088228920209038,0.870142733418247,0.00378568828925123,0.44286706581489965,0.2412831633355524,0.19946874379708415,0.0021151660500454725,0.2412831633355524,0.997343699954682,0.002730068111986285,5.422432707768225,0.9369418132611638,0.46711772665764545,0.9395936181840392,0.5580178228126349,0.060081190798376184,0.6368064952638701,0.7605177993527508,0.46208530805687204,0.37267080745341613,2.165961503982544,5.961586952209473,6.886496543884277,4.375892162322998,5.8979339599609375,6.354525566101074,4.636853218078613,5.904603958129883,7.014141082763672,5.490590572357178,2.065303325653076,5.4907379150390625,nan,0.8249619482496194,0.42857142857142855,0.9686248331108144,-0.48082414269447327,-0.38564684987068176,-0.39352312684059143,1.6174068450927734,1.4705653190612793,1.4821935892105103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.0009916274537819772,uncertainty_weighting,-0.8451606822724971,0.6456272755555416,0.14921952668487057,0.17057373839927978,0.003020374046894864,0.14921952668487057,0.8528686741950602,0.0037061461529143054,0.43353335771896195,0.23626003807387913,0.19563586410634087,0.0016374523524593193,0.23626003807387913,0.9781793068000525,0.0021698252538645056,4.550105697175788,0.9336941813261164,0.48497970230040593,0.9394625059687799,0.571340876641555,0.06035182679296346,0.6378890392422192,0.6828478964401294,0.6042654028436019,0.36801242236024845,1.9291911125183105,5.388579368591309,6.202035903930664,4.529706001281738,5.436366558074951,5.7343363761901855,4.258820533752441,3.7717018127441406,4.7380690574646,5.400208473205566,0.5601486563682556,6.219141483306885,nan,0.9528158295281582,0.5,0.9355807743658211,-0.5545686483383179,-0.4483252465724945,-0.45871400833129883,1.74118971824646,1.5656877756118774,1.5820382833480835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.0009890738003669026,uncertainty_weighting,-1.048883777743957,0.6014221782360935,0.1317194516719437,0.16602088172110205,0.0029707539732986552,0.1317194516719437,0.8301043942659937,0.003766646870544399,0.4520403757792203,0.2477223971054583,0.2017609419656542,0.002557029112220738,0.2477223971054583,1.008804701258591,0.003689118922361663,6.273443935062949,0.9382949932341001,0.46630581867388365,0.9566059388858827,0.5882442239591404,0.014614343707713126,0.5910690121786197,0.6731391585760518,0.5485781990521327,0.37422360248447206,2.6785168647766113,7.229022979736328,7.8470354080200195,4.572587966918945,7.29921293258667,7.227301597595215,5.0044074058532715,5.201714992523193,10.15339469909668,9.418970108032227,2.2570362091064453,8.20738410949707,nan,0.9512937595129376,0.42857142857142855,0.9425901201602136,-0.626721203327179,-0.5106129050254822,-0.5238742232322693,1.8714643716812134,1.6663122177124023,1.6885567903518677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.000986184960198838,uncertainty_weighting,-1.1994018564640239,0.6135824929673325,0.14114965758399614,0.16298105070282148,0.002660536213893297,0.14114965758399614,0.8149052359742084,0.0034006708449790517,0.4218742544176775,0.2253333590027444,0.1947356151953763,0.0018052775717462654,0.2253333590027444,0.9736780573937825,0.002672921016835009,5.083259421160331,0.937212449255751,0.47117726657645465,0.9569823462516476,0.601441265804769,0.015155615696887685,0.5434370771312584,0.5879180151024811,0.6670616113744076,0.36024844720496896,2.237290143966675,6.302388668060303,7.426754951477051,6.067504405975342,6.1345672607421875,6.930819988250732,6.132760047912598,3.711538076400757,4.773018836975098,4.693610191345215,1.290625810623169,6.062550067901611,nan,0.923896499238965,0.47619047619047616,0.9465954606141522,-0.6955173015594482,-0.5724202394485474,-0.5889813899993896,2.0047459602355957,1.7725518941879272,1.8021517992019653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0009829629131445337,uncertainty_weighting,-1.3943080855581373,0.5772728418235057,0.12474978738079862,0.16226116421128353,0.0016254671844225283,0.12474978738079862,0.811305809416942,0.0021898889310223674,0.4183105428744717,0.21538066211508156,0.20175761186060306,0.0011722650909191438,0.21538066211508156,1.0087880582706208,0.001648303435665476,4.062042038761891,0.9483085250338295,0.49282814614343706,0.9593032993934245,0.6052679471883973,0.010554803788903925,0.5299052774018944,0.6440129449838188,0.6018957345971564,0.4052795031055901,1.7389291524887085,4.674733638763428,5.074615955352783,4.275136947631836,4.6953301429748535,5.414767265319824,3.6287190914154053,3.7405669689178467,4.100728988647461,4.898195743560791,0.9190434217453003,5.151607036590576,nan,0.958904109589041,0.5238095238095238,0.951935914552737,-0.7643104791641235,-0.6333640217781067,-0.6541910171508789,2.1475131511688232,1.8839375972747803,1.9235857725143433,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
