metric,baseline_value,zero_epoch_value,abs_diff,tolerance,pass,details,run_dir
logits_main,baseline_checkpoint,zero_epoch_run,0,1e-06,true,mean_abs_diff=0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\00_runner_preflight\bi_bu_zero_epoch_d7vxybbe\a0_fixed_zero_or_short_seed21
logits_turn,baseline_checkpoint,zero_epoch_run,0,1e-06,true,mean_abs_diff=0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\00_runner_preflight\bi_bu_zero_epoch_d7vxybbe\a0_fixed_zero_or_short_seed21
theta_hat,baseline_checkpoint,zero_epoch_run,0,1e-06,true,mean_abs_diff=0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\00_runner_preflight\bi_bu_zero_epoch_d7vxybbe\a0_fixed_zero_or_short_seed21
model_state_max_abs_diff,baseline_checkpoint,zero_epoch_run,0,1e-06,true,state_tensors=100,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\00_runner_preflight\bi_bu_zero_epoch_d7vxybbe\a0_fixed_zero_or_short_seed21
