source_scope,candidate_id,raw_candidate_id,path_tag,J_control_path,path_fail,path_catastrophic,ey_rmse,xy_rmse,epsi_rmse,j_du,omega_cmd_rms,source_file
uncertainty_stability_14,s01_lr13_select_edges_flat_seed21,s01_lr13_select_edges_flat_seed21,path_closed_loop_sharp_turn_transition_theta10_v1,0.679656541817957,false,false,0.0205408189293081,0.370727090242071,0.0309641735071299,2.2500143202978,0.0795112352116028,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_path_metrics.csv
uncertainty_stability_14,s01_lr13_select_edges_flat_seed42,s01_lr13_select_edges_flat_seed42,path_closed_loop_sharp_turn_transition_theta10_v1,0.853651622000998,false,false,0.0311027631799267,0.532910385041965,0.0415356671694172,2.36195734915861,0.0810011571251793,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_path_metrics.csv
uncertainty_stability_14,s01_lr13_select_edges_flat_seed101,s01_lr13_select_edges_flat_seed101,path_closed_loop_sharp_turn_transition_theta10_v1,0.764972471101294,false,false,0.0322499452558001,0.374812065960075,0.030700562094096,2.71604913262575,0.0833869520664593,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_path_metrics.csv
uncertainty_stability_14,s01_lr13_select_edges_flat_seed21,s01_lr13_select_edges_flat_seed21,path_factory_logistics_showcase_theta10_v3,2.21613537740415,true,true,0.0499218676965829,1.12118129387306,0.0676278960174337,4.26828961669766,0.0860416836162834,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_path_metrics.csv
uncertainty_stability_14,s01_lr13_select_edges_flat_seed42,s01_lr13_select_edges_flat_seed42,path_factory_logistics_showcase_theta10_v3,2.37202879808951,true,true,0.0528551492496013,1.09224759521403,0.0732220203514742,4.85858176083031,0.086994775990355,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_path_metrics.csv
uncertainty_stability_14,s01_lr13_select_edges_flat_seed101,s01_lr13_select_edges_flat_seed101,path_factory_logistics_showcase_theta10_v3,0.998802788086851,false,false,0.0264587888295638,0.349420822263083,0.0321175728461817,1.42523301517247,0.0817046295800328,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\closed_loop_path_metrics.csv
bi_bu_a2_sentinel,a2_freeze_early_seed21,a2_freeze_early_seed21,path_factory_logistics_showcase_theta10_v3,3.57242748906417,true,true,0.0347196921876962,0.536194005101105,0.0444311720018994,14.1797045689688,0.0918407782084153,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\06_sentinel_closed_loop\sentinel_closed_loop_results.csv
bi_bu_a2_sentinel,a2_freeze_early_seed42,a2_freeze_early_seed42,path_factory_logistics_showcase_theta10_v3,2.58736013155446,true,true,0.0336807051091568,0.639282431759132,0.0466543841169629,8.51555767384069,0.0955618239162963,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\06_sentinel_closed_loop\sentinel_closed_loop_results.csv
bi_bu_a2_sentinel,a2_freeze_early_seed21,a2_freeze_early_seed21,path_closed_loop_long_updown_theta10_v1,1.88446618089355,true,true,0.0348170050727177,0.531464639351801,0.0353602095956674,46.5679777336584,0.0575842285057581,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\06_sentinel_closed_loop\sentinel_closed_loop_results.csv
bi_bu_a2_sentinel,a2_freeze_early_seed42,a2_freeze_early_seed42,path_closed_loop_long_updown_theta10_v1,1.41485127200861,true,true,0.0207991478987452,0.418166748957056,0.0259449707679122,33.7538258070015,0.0611249433977903,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\15_bi_bu_uncertainty_stabilization\06_sentinel_closed_loop\sentinel_closed_loop_results.csv
