model,seed,best_epoch,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,model_file,meta_file,report_file
TCN,73,65,0.924586776859504,0.90599173553719,0.923258559622196,0.785123966942149,0.476309265698971,0.93542757417103,0.974358974358974,0.892744479495268,0.865470852017937,0.957446808510638,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_transition_rich_v2_seed73_staged.mat,E:\Matlab\Simulink\S-Function_16\data\models\TCN_meta_transition_rich_v2_seed73_staged.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\transition_rich_v2_seed73\tcn_staged\TCN_train_report.md
GRU,73,45,0.945247933884298,0.883264462809917,0.920897284533648,0.619834710743802,0.339561764974397,0.949389179755672,0.987179487179487,0.927444794952681,0.914798206278027,0.957446808510638,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_transition_rich_v2_seed73_h96_l2_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_transition_rich_v2_seed73_h96_l2_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\transition_rich_v2_seed73\gru_h96_l2_inputstats\GRU_train_report.md
