controller,n_cases,ey_rmse_mean,ey_rmse_std,ey_rmse_median,epsi_rmse_mean,epsi_rmse_std,epsi_rmse_median,ev_rmse_mean,ev_rmse_std,ev_rmse_median,eomega_rmse_mean,eomega_rmse_std,eomega_rmse_median,j_du_mean,j_du_std,j_du_median,viol_rate_mean,viol_rate_std,viol_rate_median
Mamba2,12,0.0274952820293279,0.0219382400740771,0.0335284515119245,0.0709754252471127,0.0659547056117935,0.0630003226551438,0.0450066803912868,0.0246033992266892,0.0523115328953277,0.0362583506235875,0.0272049613597609,0.051004925283185,2323624.47378287,3326504.70827302,735650.156839077,0.00316193448174529,0.00600874195799471,0
GRU,12,0.0191868042097984,0.0193435835875525,0.0133347370900675,0.0256119469341919,0.0192105984773903,0.0348345870331067,0.0317912691372996,0.0203411495012944,0.038066692189134,0.0203352797873726,0.0185948021865464,0.017838273342554,8541.54910469862,5593.67620519584,11704.9620633195,0,0,0
IMU,12,0.0250093971439492,0.0228961988632374,0.0185145702639329,0.0399746978873956,0.0444697059477379,0.0445840322678705,0.099568356918423,0.0829515136413165,0.093527538660203,0.0233229331199039,0.0205266724321336,0.0183664658984809,225392.498786382,773767.331825931,979.607371619945,0.000459924527597804,0.00133373688686844,0
