controller,metric,n_groups_checked,n_invariant,invariant_ratio
Mamba2,ey_rmse,20,0,0
Mamba2,epsi_rmse,20,0,0
Mamba2,ev_rmse,30,0,0
Mamba2,eomega_rmse,20,0,0
Mamba2,j_du,30,0,0
Mamba2,viol_rate,0,0,NaN
GRU,ey_rmse,20,0,0
GRU,epsi_rmse,20,0,0
GRU,ev_rmse,30,0,0
GRU,eomega_rmse,20,0,0
GRU,j_du,30,0,0
GRU,viol_rate,0,0,NaN
IMU,ey_rmse,20,0,0
IMU,epsi_rmse,20,0,0
IMU,ev_rmse,30,0,0
IMU,eomega_rmse,20,0,0
IMU,j_du,30,0,0
IMU,viol_rate,1,0,0
