model,role,case_name,summary_type,seed,n_seeds,best_epoch,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,lambda_phy,lambda_smooth,turn_transition_weight,decision,model_file,meta_file,report_file
TCN,main,staged_bestbase_inputstats_turn_lam050,frozen_single,NaN,1,60,0.9303,0.8989,0.9257,0.6341,0.738,0.9585,0.7778,0.9012,0.9173,0.8276,NaN,NaN,NaN,mainline temporary best,data/models/TCN_model_staged_bestbase_v1_staged_bestbase_inputstats_turn_lam050.mat,data/models/TCN_meta_staged_bestbase_v1_staged_bestbase_inputstats_turn_lam050.mat,results/tcn/experiments/staged_bestbase_v1/staged_bestbase_inputstats_turn_lam050/TCN_train_report.md
GRU,fair_baseline,h96_l2_turn0p05_last_mean_inputstats,grid_best_single,NaN,1,48,0.948314606741573,0.88314606741573,0.913366336633663,0.585365853658537,0.415603367657159,0.962264150943396,0.666666666666667,0.95679012345679,0.977443609022556,0.862068965517241,NaN,NaN,NaN,GRU temporary best,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l2_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l2_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l2_turn0p05_last_mean_inputstats\GRU_train_report.md
PG-TCN,ablation,best_single_phy0p005,single,21,1,64,0.928089887640449,0.878651685393258,0.905940594059406,0.609756097560976,0.992602141374475,0.954716981132075,0.777777777777778,0.901234567901235,0.917293233082707,0.827586206896552,0.005,0,1,ablation only,E:\Matlab\Simulink\S-Function_16\data\models\TCN_model_pg_confirm_v3_production_current_phy0p005_smooth0p000_trans1p00_staged_seed21.mat,,E:\Matlab\Simulink\S-Function_16\results\tcn\experiments\pg_confirm_v3\production_current_phy0p005_smooth0p000_trans1p00_staged_seed21\TCN_train_report.md
PG-TCN,ablation,mean_phy0p005_seed5,mean,NaN,5,NaN,0.904269662921348,0.887640449438202,0.916336633663366,0.604878048780488,1.32242304000547,0.929811320754717,0.777777777777778,0.876543209876543,0.88421052631579,0.841379310344828,0.005,0,1,ablation only; not mainline,,,results/tcn/experiments/pg_confirm_v3/TCN_pg_auto_experiment_pipeline_report.md
TCN-control,ablation,mean_phy0_seed5,mean,NaN,5,NaN,0.923146067415731,0.885842696629214,0.914356435643565,0.604878048780488,1.12706632919178,0.947924528301887,0.755555555555556,0.901234567901234,0.915789473684211,0.83448275862069,0,0,1,ablation only; not mainline,,,results/tcn/experiments/pg_confirm_v3/TCN_pg_auto_experiment_pipeline_report.md
