seed,run_tag,offline_rank,offline_v2_status,offline_v2_failures,offline_score_vs_baseline,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall,checkpoint_file,source
21,uncertainty_anchor_same_recipe_seed21,3,fail,flat_peak_theta_error_ratio=1.3324>1.15,1.09351261643159,0.960022209883398,0.506662965019434,0.451564828614009,0.877005279064178,2.43688559532166,7.10931348800659,0.933862433862434,0.6875,0.976727272727273,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed21\modern_tcn_seed21.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed21\metrics_test.csv
42,uncertainty_anchor_same_recipe_seed42,2,fail,theta_edge_p95_ratio=1.24186>1.05,1.07901896581399,0.967240421987785,0.564408661854525,0.497764530551416,0.875044822692871,3.42140817642212,5.89323759078979,0.94047619047619,0.697916666666667,0.984,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed42\modern_tcn_seed42.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed42\metrics_test.csv
101,uncertainty_seed101_rerun_20260622,1,pass,none,0.970838817749306,0.967518045530261,0.58717379233759,0.491803278688525,0.609225153923035,2.27067041397095,5.24426937103271,0.958994708994709,0.697916666666667,0.979272727272727,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\metrics_test.csv
