variant,offline_csv,closed_loop_summary_csv,trajectory_mat,path_file,n_samples,t_start_s,t_end_s,offline_acc_main,offline_acc_turn,offline_acc_turn_transition,offline_theta_mae_deg,closed_loop_ey_rmse,closed_loop_epsi_rmse,closed_loop_xy_rmse,closed_loop_j_du
ModernTCN,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_theta10_uniform_h0_v2_seed21\modern_tcn_seed21_summary.csv,E:\Matlab\Simulink\S-Function_16\results\compare\causal_modern_tcn_closed_loop\path_factory_logistics_showcase_theta10_v3\causal_tcn_gru_modern_closed_loop_summary.csv,E:\Matlab\Simulink\S-Function_16\results\compare\tcn_gru_modern_closed_loop\path_factory_logistics_showcase_theta10_v3\tcn_gru_modern_closed_loop_compare.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_factory_logistics_showcase_theta10_v3.mat,19001,0.000,190.000,0.9807125636,0.9022234128,0.7757009346,0.2518547475,0.02458746093,0.04375451181,0.8035502694,0.5990764105
ModernTCN_causal,E:\Matlab\Simulink\S-Function_16\results\modern_tcn\modern_tcn_causal_theta10_uniform_h0_v2_seed11\modern_tcn_seed11_summary.csv,E:\Matlab\Simulink\S-Function_16\results\compare\causal_modern_tcn_closed_loop\path_factory_logistics_showcase_theta10_v3\causal_tcn_gru_modern_closed_loop_summary.csv,E:\Matlab\Simulink\S-Function_16\results\compare\causal_modern_tcn_closed_loop\path_factory_logistics_showcase_theta10_v3\tcn_gru_modern_closed_loop_compare.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_factory_logistics_showcase_theta10_v3.mat,19001,0.000,190.000,0.9783016341,0.9006161264,0.7906542056,0.2507186532,23.131826,1.273409039,27.48385334,268.8677552
