case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,disturbance_scale,disturbance_noise_scale,disturbance_process_scale,noise_enabled,noise_signature,process_signature,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
1,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,1,ok,,2877.2577397,14950,0.0174206092317006,0.0936736980469324,0.0990895172361685,0.216336313378844,0.0506445259198747,0.0381425155467582,888978.301847093,0.00040133779264214,0.0334448160535117,0.00668896321070234,0.0185887,0.38813284,0.403719407,0,
2,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,2,ok,,2838.2034787,14950,0.0188222801066933,0.102405293441462,0.10149856803327,0.22533148787528,0.052077882166099,0.0411951816661994,1317738.10695128,0.00100334448160535,0.0936454849498328,0.00668896321070234,0.1602386,0.390738175,0.41315253,0,
3,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,1,ok,,2830.2266263,14950,0.0146485198773134,0.066497440691666,0.0776279799299747,0.165424840799334,0.0449872811375807,0.0318401136009891,594031.799152817,0,0,0,0.178116,0.390410275,0.4056539,0,
4,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,2,ok,,2833.518787,14950,0.0158898586413985,0.0772660060937127,0.0847390059420679,0.185070124265569,0.046794093283607,0.0338097695874484,565170.825869246,6.68896321070234e-05,0,0.00668896321070234,0.14494685,0.3899508,0.4056329,0,
5,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,1,ok,,2558.9520638,11950,0.0451441239267688,0.186399241679069,0.0556416514834407,0.321866507733121,0.0103015899128153,0.051554427068883,15910.8183082199,0,0,0,0.151783,0.45596775,0.48226763,0,
6,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,2,ok,,2636.0965244,11950,0.0451241567245231,0.188068709987321,0.0559095734124838,0.323167713377877,0.0099706120486714,0.0518766878672795,13695.2357917205,0,0,0,0.1714882,0.454261765,0.479758037,0,
7,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,1,ok,,2633.4633786,11950,0.0451451039240594,0.179816529332018,0.0521691631472704,0.307274306537799,0.00945067980830506,0.0498469788947785,15812.1562688226,0,0,0,0.16993185,0.457035585,0.482354353,0,
8,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,2,ok,,2634.3178469,11950,0.0451040638299108,0.181493362651516,0.0525836566938873,0.308211064294632,0.00892567984859785,0.0501725377839041,11676.5922168448,0,0,0,0.168239,0.45461224,0.479222717,0,
9,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,1,ok,,2640.1558029,11950,0,0,0,0,0.07360358344577,0,1206284.53891353,0,0,0,0.1705141,0.45883401,0.484831146,0,
10,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,2,ok,,2614.4362666,11950,0,0,0,0,0.0738620361975613,0,1202163.13475747,0,0,0,0.16608775,0.45231772,0.476291433,0,
11,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,1,ok,,2620.9353132,11950,0,0,0,0,0.0702530592439292,0,1191817.98853314,0,0,0,0.1659983,0.455374755,0.481554021,0,
12,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,2,ok,,2621.2857035,11950,0,0,0,0,0.0700309071056648,0,1182593.24583242,0,0,0,0.1680999,0.45418977,0.480812641,0,
